Overall_ACC,Precisioin_non_built,Precisioin_built,Recall_non_built,Recall_built
99.55,99.1,100.0,100.0,99.09
99.6,99.2,100.0,100.0,99.19
99.75,99.5,100.0,100.0,99.5
99.65,99.4,99.9,99.9,99.4
99.6,99.2,100.0,100.0,99.19
99.44,99.1,99.8,99.8,99.09
99.39,98.9,99.9,99.9,98.89
98.99,98.3,99.69,99.7,98.29
98.81,99.41,98.2,98.25,99.39
98.66,99.12,98.2,98.25,99.09
