,1990_1992,1993_1995,1996_1998,1999_2001,2002_2004,2005_2007,2008_2010,2011_2013,2014_2016,2017_2019
1,78694.08477176473,102902.69361882356,118491.50937882355,130948.8243811765,144581.08870588237,159811.9849129412,175747.97902588238,187608.41887058827,199474.90671529414,215202.13560000004
2,71344.54928470589,90857.65809882355,103138.73093647062,112770.26877176473,124505.53917176473,136599.08460705884,147902.1855247059,160587.57744000002,173325.92740235297,190383.39057882357
3,65608.37268705883,82890.70944,93602.35637647059,101518.46676705882,111108.9924282353,121084.04062588236,132871.6064047059,146050.8567811765,159291.76881882356,177123.1771764706
4,61280.36683764705,77078.82954352941,86493.14776941176,93035.51003294118,101247.83240470588,111222.88060235295,123279.92172705883,136828.46586352942,150441.0924564706,168793.68529411763
5,57929.10983999999,72342.72107294116,80561.1635435294,86318.55612705881,94530.87849882351,104505.92669647057,116562.96782117645,130300.91683764705,144188.2965317647,162946.6112752941
6,54371.15781176469,67354.37774117646,74796.75393882352,80554.14652235294,88766.46889411764,98741.5170917647,110798.55821647058,124536.50723294118,138601.23656470588,157726.68626823527
7,50359.88408470588,62166.59856,69608.97475764705,75366.36734117646,83578.68971294117,93553.73791058823,105610.77903529411,119348.7280517647,133413.4573835294,152795.96498823527
8,46241.144668235276,58047.85914352939,65490.23534117645,71247.62792470586,79459.95029647056,89434.99849411762,101492.0396188235,115229.9886352941,129294.7179670588,148677.22557176466
9,46241.144668235276,58047.85914352939,65490.23534117645,71247.62792470587,79459.95029647058,89434.99849411764,101492.03961882352,115229.98863529411,129294.71796705881,148677.2255717647
10,46241.144668235276,58047.85914352939,65490.23534117645,71247.62792470586,79459.95029647056,89434.99849411762,101492.0396188235,115229.9886352941,129294.7179670588,148677.22557176466
