Sensor,Span,Harmonic,Index,Mean_Err
Landsat_5,5,3,NDBI,21.626000000000005
Landsat_5,5,3,NDVI,24.558000000000007
Landsat_5,5,4,EVI,23.066
Landsat_5,5,4,NDBI,20.866000000000003
Landsat_5,5,4,NDVI,24.13
Landsat_5,5,5,EVI,22.608
Landsat_5,5,5,NDBI,20.532000000000004
Landsat_5,5,5,NDVI,23.64
Landsat_5,5,6,EVI,22.268000000000008
Landsat_5,5,6,NDBI,20.193999999999996
Landsat_5,5,6,NDVI,23.282000000000004
Landsat_5,5,7,EVI,21.863999999999997
Landsat_5,5,7,NDBI,19.827999999999996
Landsat_5,5,7,NDVI,22.91000000000001
Landsat_5,5,8,EVI,21.49
Landsat_5,5,8,NDBI,19.50399999999999
Landsat_5,5,8,NDVI,22.439999999999994
Landsat_5,5,9,EVI,21.19200000000001
Landsat_5,5,9,NDBI,19.205999999999996
Landsat_5,5,9,NDVI,22.132
Landsat_5,5,10,EVI,20.820000000000004
Landsat_5,5,10,NDBI,18.970000000000002
Landsat_5,5,10,NDVI,21.778000000000002
Landsat_7,1,1,EVI,108.81
Landsat_7,1,1,NDBI,110.57
Landsat_7,1,1,NDVI,107.06
Landsat_7,1,2,EVI,90.56565656565657
Landsat_7,1,2,NDBI,93.66666666666667
Landsat_7,1,2,NDVI,94.47474747474747
Landsat_7,1,3,EVI,65.61616161616162
Landsat_7,1,3,NDBI,73.45454545454545
Landsat_7,1,3,NDVI,74.42424242424242
Landsat_7,1,4,EVI,54.0
Landsat_7,1,4,NDBI,61.98936170212766
Landsat_7,1,4,NDVI,63.98936170212766
Landsat_7,1,5,EVI,46.30120481927711
Landsat_7,1,5,NDBI,54.792682926829265
Landsat_7,1,5,NDVI,56.10843373493976
Landsat_7,1,6,EVI,40.71232876712329
Landsat_7,1,6,NDBI,47.763888888888886
Landsat_7,1,6,NDVI,50.82432432432432
Landsat_7,1,7,EVI,32.546875
Landsat_7,1,7,NDBI,39.84126984126984
Landsat_7,1,7,NDVI,41.43939393939394
Landsat_7,1,8,EVI,28.56
Landsat_7,1,8,NDBI,34.21568627450981
Landsat_7,1,8,NDVI,34.43396226415094
Landsat_7,1,9,EVI,24.35135135135135
Landsat_7,1,9,NDBI,30.27027027027027
Landsat_7,1,9,NDVI,31.68421052631579
Landsat_7,1,10,EVI,21.107142857142858
Landsat_7,1,10,NDBI,27.142857142857142
Landsat_7,1,10,NDVI,23.82758620689655
Landsat_7,2,1,EVI,62.92
Landsat_7,2,1,NDBI,61.18
Landsat_7,2,1,NDVI,60.885
Landsat_7,2,2,EVI,55.995
Landsat_7,2,2,NDBI,55.21
Landsat_7,2,2,NDVI,56.53
Landsat_7,2,3,EVI,44.93
Landsat_7,2,3,NDBI,47.745
Landsat_7,2,3,NDVI,50.005
Landsat_7,2,4,EVI,41.13
Landsat_7,2,4,NDBI,43.96
Landsat_7,2,4,NDVI,47.01
Landsat_7,2,5,EVI,38.71
Landsat_7,2,5,NDBI,41.815
Landsat_7,2,5,NDVI,44.5
Landsat_7,2,6,EVI,36.015
Landsat_7,2,6,NDBI,39.505
Landsat_7,2,6,NDVI,41.845
Landsat_7,2,7,EVI,33.16161616161616
Landsat_7,2,7,NDBI,37.10204081632653
Landsat_7,2,7,NDVI,38.823232323232325
Landsat_7,2,8,EVI,30.56122448979592
Landsat_7,2,8,NDBI,34.12244897959184
Landsat_7,2,8,NDVI,35.63265306122449
Landsat_7,2,9,EVI,29.23913043478261
Landsat_7,2,9,NDBI,33.40760869565217
Landsat_7,2,9,NDVI,33.391304347826086
Landsat_7,2,10,EVI,28.040697674418606
Landsat_7,2,10,NDBI,31.810344827586206
Landsat_7,2,10,NDVI,31.804597701149426
Landsat_7,3,1,EVI,44.47333333333333
Landsat_7,3,1,NDBI,42.356666666666655
Landsat_7,3,1,NDVI,42.05999999999999
Landsat_7,3,2,EVI,40.589999999999996
Landsat_7,3,2,NDBI,39.413333333333334
Landsat_7,3,2,NDVI,39.33333333333334
Landsat_7,3,3,EVI,32.653333333333336
Landsat_7,3,3,NDBI,34.97999999999998
Landsat_7,3,3,NDVI,34.806666666666665
