system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,Mean_EVI,Mean_NDBI,Mean_NDVI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
000000000000000006c1,39,39,40,58,66,199,53,1,20,108,-59,-21,32,-33,-5,-6,0,12,11,3,488,43,-8,-71,-70,-45,-5,-4,41,-53,-20,15,-29,-4,-2,0,1.446165,340.5,0.12166779,101143.336,0.008773667,162.58333,288.38666,2.504664,"{""type"":""Point"",""coordinates"":[117.64018235605131,33.32206399331248]}"
00000000000000000ebb,30,29,26,59,51,199,28,0,21,723,-122,-67,77,-38,52,-30,-3,23,4,12,217,11,29,-79,-94,-64,26,-2,398,-93,-61,44,-28,48,-15,-1,2.4053335,340.5,0.12166779,101143.336,0.008773667,162.58333,288.38666,2.504664,"{""type"":""Point"",""coordinates"":[117.63667750262329,33.35763424241582]}"
00000000000000000461,30,31,31,63,55,201,43,1,55,1159,-113,-27,25,-32,-11,7,-7,19,12,9,109,55,1,-9,29,0,4,-1,1367,-113,-30,38,-46,-24,22,-8,1.4653151,332.25,0.06750111,100738.664,0.008499,163.58333,287.02664,1.7506639,"{""type"":""Point"",""coordinates"":[115.45538782660178,35.18534841860643]}"
00000000000000000800,33,31,28,56,46,199,31,1,72,642,-126,-5,26,-36,18,-29,-3,17,7,7,-661,53,6,-32,24,3,13,4,473,-125,-7,23,-38,13,-23,-2,1.1494707,329.08334,0.058334447,100533.336,0.007700334,163.58333,287.01,1.8853306,"{""type"":""Point"",""coordinates"":[114.5253620380867,36.21778192191497]}"
0000000000000000080a,37,36,34,60,46,199,33,1,76,683,-140,0,20,-49,12,-10,-3,17,6,7,-536,65,-5,-36,28,0,0,3,457,-134,0,16,-45,10,-10,-2,1.4769558,329.08334,0.058334447,100533.336,0.007700334,163.58333,287.01,1.8853306,"{""type"":""Point"",""coordinates"":[114.50568848423889,36.23233642775342]}"
00000000000000000792,35,36,36,59,55,200,42,1,28,134,-109,-22,33,-28,15,-3,0,15,11,5,-180,28,-29,-30,-7,-6,-16,0,80,-89,-36,33,-32,17,-4,0,2.1630964,337.41666,0.10250112,101062.0,0.008649667,163.58333,287.94333,2.172664,"{""type"":""Point"",""coordinates"":[117.18500623871766,33.68695669161701]}"
00000000000000001233,37,36,37,64,54,201,41,1,31,224,-106,7,26,-43,-1,11,0,15,10,5,-34,66,22,8,5,-40,17,0,87,-96,0,23,-41,-21,26,0,4.0424905,315.83334,0.06666778,101094.664,0.0068303337,163.58333,285.76,1.7673305,"{""type"":""Point"",""coordinates"":[116.02375376507611,39.37113779118344]}"
00000000000000001e3a,35,35,42,59,55,203,43,0,29,702,-124,-48,82,-144,90,-29,-3,18,6,8,-425,77,14,-46,72,-30,26,2,280,-106,-45,66,-113,62,-14,0,1.4875,325.75,0.049167782,100998.0,0.0074650003,163.58333,286.75,2.062664,"{""type"":""Point"",""coordinates"":[114.92798764950548,37.131639010010275]}"
0000000000000000144c,40,42,44,69,59,201,52,1,73,1067,-100,0,28,-41,32,-28,-6,14,11,4,-621,44,22,-27,12,6,-2,4,795,-93,-4,23,-33,24,-24,-4,2.9483519,331.16666,0.061667785,100515.336,0.007853667,163.58333,287.31665,1.8359972,"{""type"":""Point"",""coordinates"":[114.39492887317235,36.0738733536171]}"
000000000000000000f6,38,40,47,65,76,203,66,1,18,159,-31,-14,29,-25,-5,-2,0,12,12,2,-166,87,-97,49,-6,20,-26,1,233,-26,-29,33,-37,-2,-9,0,1.1645113,324.83334,0.072501116,101406.664,0.0067660003,163.58333,286.86667,1.8073306,"{""type"":""Point"",""coordinates"":[117.06831156414898,37.21652691676472]}"
000000000000000001a1,39,42,50,67,79,200,68,1,18,2,-35,-17,33,-17,-3,-1,0,11,14,1,-267,93,-112,55,-17,24,-29,1,83,-34,-28,37,-28,0,-7,0,3.013627,324.83334,0.072501116,101406.664,0.0067660003,163.58333,286.86667,1.8073306,"{""type"":""Point"",""coordinates"":[117.0289689155544,37.21976422412953]}"
000000000000000002d2,38,41,48,68,81,201,69,1,19,254,-46,-23,35,-25,-5,7,0,12,13,2,-16,96,-101,52,-10,30,-34,0,270,-39,-40,39,-40,1,1,-1,1.1642714,324.83334,0.072501116,101406.664,0.0067660003,163.58333,286.86667,1.8073306,"{""type"":""Point"",""coordinates"":[117.07558881706822,37.20116531363559]}"
00000000000000000a69,29,26,24,66,41,198,23,0,16,1041,-108,-85,157,-48,29,-70,-5,21,1,10,-1041,144,-53,-45,-35,14,33,6,1011,-91,-93,140,-46,22,-60,-5,2.9751675,324.83334,0.072501116,101406.664,0.0067660003,163.58333,286.86667,1.8073306,"{""type"":""Point"",""coordinates"":[117.06238541884893,37.22191796993834]}"
000000000000000015b8,29,29,23,64,49,198,24,0,17,159,-121,-78,102,-186,109,-19,0,18,8,7,-147,188,-61,3,89,-57,-32,0,227,-95,-76,78,-162,79,-12,0,2.3290553,324.83334,0.072501116,101406.664,0.0067660003,163.58333,286.86667,1.8073306,"{""type"":""Point"",""coordinates"":[117.02546406212643,37.24886877670537]}"
