system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,Mean_EVI,Mean_NDBI,Mean_NDVI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,split,srad,temp,wind,.geo
0000000000000000069f,37,32,29,36,30,189,24,1,49,-286,-107,9,23,-26,30,17,2,10,4,0,-1591,51,8,0,-2,-29,44,8,-352,-73,-17,21,-23,19,19,2,2.8366263,360.25,0.19500111,98932.0,0.010877667,0.3277873649195632,138.0,289.84332,2.5553305,"{""type"":""Point"",""coordinates"":[116.47973697970046,30.32878539276165]}"
0000000000000000163a,24,21,18,52,43,190,22,0,1365,627,-153,15,18,-73,-28,98,-2,18,5,5,264,87,-52,-22,27,-19,-66,-2,881,-142,7,11,-71,-34,87,-3,22.032898,309.0,0.16000111,85965.336,0.0071803336,0.40766942605569023,139.0,280.99,1.2759972,"{""type"":""Point"",""coordinates"":[116.1649690363377,31.040792353470625]}"
00000000000000001643,25,19,16,41,27,187,13,0,954,-548,-260,2,54,-59,-12,47,4,28,-2,16,1201,52,-61,-33,53,-42,-58,-8,-190,-244,-38,56,-76,-1,35,2,17.93964,325.16666,0.16000111,90782.0,0.008236334,0.8765251938199475,140.0,283.97665,1.1426638,"{""type"":""Point"",""coordinates"":[116.05689826320638,31.040252802243153]}"
000000000000000015d8,45,43,43,45,22,194,17,0,7,-27,-3,-10,7,12,-35,25,0,1,10,-7,-142,160,-95,67,18,-69,118,0,33,4,-18,12,12,-29,23,0,0.0,366.75,0.19250111,101237.336,0.011084334,0.977642730072011,141.0,290.87,3.0126638,"{""type"":""Point"",""coordinates"":[116.89772419424834,30.38969225405067]}"
000000000000000015e8,31,30,24,58,31,192,17,0,15,2078,-116,-105,116,-201,88,1,-10,29,-3,11,-1438,61,55,-63,17,-48,38,6,1788,-71,-93,82,-139,27,17,-8,1.4191366,366.75,0.19250111,101237.336,0.011084334,0.7491620422598221,141.0,290.87,3.0126638,"{""type"":""Point"",""coordinates"":[116.89691263785664,30.32339433958804]}"
000000000000000015f0,32,30,25,57,33,193,16,0,12,503,-152,-81,108,-139,100,26,-1,25,0,10,-547,97,56,-54,-35,-53,29,2,643,-99,-81,74,-89,40,27,-2,0.0,366.75,0.19250111,101237.336,0.011084334,0.2510518781895168,141.0,290.87,3.0126638,"{""type"":""Point"",""coordinates"":[116.82630723177634,30.366513846774858]}"
000000000000000015f1,33,29,26,47,29,184,18,0,17,576,-142,-57,59,-141,34,44,-1,18,1,4,-657,90,55,-18,13,-34,12,2,812,-106,-61,37,-122,13,37,-3,3.3512914,366.75,0.19250111,101237.336,0.011084334,0.3734928946774402,141.0,290.87,3.0126638,"{""type"":""Point"",""coordinates"":[116.8025892732731,30.35061715151932]}"
0000000000000000160d,28,22,17,40,29,186,15,0,369,-580,-143,3,0,36,-95,38,5,25,1,9,-192,55,-24,-16,-14,16,-30,0,-1177,-70,-63,-6,61,-84,11,8,41.485256,360.41666,0.29000112,97134.0,0.011457001,0.7876421110534586,141.0,290.79666,5.553331,"{""type"":""Point"",""coordinates"":[118.19129603254986,30.491560417616643]}"
0000000000000000161a,28,27,21,64,37,193,18,0,146,-119,-59,-42,2,42,11,-61,2,27,1,11,-575,93,-14,-18,-88,-29,7,2,-770,-30,-70,0,61,-6,-46,5,4.389513,359.33334,0.26083446,97482.664,0.011388,0.4482320373279993,141.0,290.19333,4.3639975,"{""type"":""Point"",""coordinates"":[118.46321647389,30.351691794873204]}"
00000000000000001624,30,26,24,39,31,192,16,0,127,271,-138,24,-12,-35,42,-19,0,20,0,6,-497,101,-71,-19,-44,-34,-78,1,-273,-98,-15,-10,-1,19,-14,2,4.394593,362.33334,0.28083444,97886.0,0.0116116665,0.9761857951179306,141.0,290.98334,5.237331,"{""type"":""Point"",""coordinates"":[118.22875694049984,30.47027266918749]}"
00000000000000001617,27,23,18,54,35,193,16,0,330,-710,-30,-62,7,-66,9,30,6,33,0,16,321,66,4,4,41,3,-32,-3,-654,-10,-97,-4,-27,-28,8,5,31.982676,353.75,0.2725011,95345.336,0.011154334,0.3272887912324385,142.0,289.18665,4.1053305,"{""type"":""Point"",""coordinates"":[118.34167475647625,30.015092092752784]}"
000000000000000015a7,31,27,27,50,42,189,20,0,83,-847,-12,-105,129,-90,50,93,6,17,6,4,287,59,29,-32,4,-27,-13,-2,-882,-6,-115,121,-92,47,106,6,5.6480865,359.41666,0.24583445,98086.664,0.010895667,0.8643998865602344,143.0,289.79,2.4953306,"{""type"":""Point"",""coordinates"":[116.92521009314177,29.69817040358124]}"
000000000000000015fa,28,24,21,56,39,192,20,0,208,391,-124,-24,39,-140,6,34,0,18,0,5,-772,136,9,47,16,-23,7,3,770,-113,-44,45,-150,-5,54,-2,32.032074,360.66666,0.2591678,97982.0,0.011148334,0.42512997623949245,143.0,290.33667,4.138664,"{""type"":""Point"",""coordinates"":[117.40787656846993,30.196466028101703]}"
000000000000000005ea,30,26,25,33,30,191,22,1,312,267,-65,-6,22,-63,39,-17,0,14,10,2,-754,105,12,-11,20,-35,33,3,433,-63,4,15,-50,43,-29,-1,9.104966,329.33334,0.15250112,92744.0,0.008508334,0.6727310829036165,144.0,284.93332,2.5053306,"{""type"":""Point"",""coordinates"":[116.63820005383674,31.017346400131604]}"
00000000000000001657,27,23,18,57,35,191,16,0,723,-1522,-26,25,34,-31,4,119,10,24,-1,9,23,73,-13,3,11,-43,-28,-1,-1912,-11,20,20,-13,17,104,12,27.760565,329.33334,0.15250112,92744.0,0.008508334,0.9465537729614084,144.0,284.93332,2.5053306,"{""type"":""Point"",""coordinates"":[116.66730460641259,31.052377098007476]}"
000000000000000006f6,44,39,38,53,48,199,41,1,39,224,-83,-16,12,-44,20,2,0,10,11,0,-288,41,16,-2,-1,-15,30,1,154,-77,-13,10,-36,8,3,0,1.0801868,359.0,0.16083445,100943.336,0.010499001,0.7103312320892433,144.0,289.8,2.846664,"{""type"":""Point"",""coordinates"":[116.76136042493295,30.84729412235739]}"
00000000000000001683,29,25,19,48,33,192,16,0,100,-1636,-94,-63,17,28,-46,56,10,19,1,6,634,73,-55,6,14,-17,-20,-4,-1997,-60,-91,13,30,-40,15,12,8.382029,356.08334,0.18916778,99784.664,0.010401667,0.44588857312783603,145.0,289.37997,2.7193305,"{""type"":""Point"",""coordinates"":[118.60308509663345,30.755664054810136]}"
00000000000000001699,42,38,31,19,6,189,4,0,0,395,-13,-15,-34,13,11,-22,-3,-8,-4,-14,1046,30,-90,-43,31,-11,-19,-8,670,5,-33,-40,15,6,-10,-4,0.0,362.5,0.14000112,101567.336,0.010810334,0.557578370243091,145.0,290.18,2.984664,"{""type"":""Point"",""coordinates"":[120.23648948531914,31.068550257528337]}"
0000000000000000169a,29,24,17,62,33,198,14,0,24,-2120,-110,2,85,13,-26,5,13,24,-1,9,557,90,-3,14,0,3,-10,-4,-2178,-104,18,68,13,-17,-11,14,14.667984,362.5,0.14000112,101567.336,0.010810334,0.9330506988674102,145.0,290.18,2.984664,"{""type"":""Point"",""coordinates"":[120.2736828472059,31.0709760085014]}"
0000000000000000171b,42,36,29,31,15,191,9,0,0,-485,-85,-12,-5,-52,2,8,2,4,-2,-5,840,26,-22,9,6,2,-2,-6,-756,-92,-9,-4,-48,4,11,4,0.0,362.5,0.14000112,101567.336,0.010810334,0.7856886468619341,145.0,290.18,2.984664,"{""type"":""Point"",""coordinates"":[120.29820790299986,31.09011001112174]}"
0000000000000000066b,36,33,30,40,32,197,27,1,115,-453,-78,0,2,-45,14,-1,3,10,6,0,249,15,-26,-11,-15,-55,-26,-2,-51,-77,6,-4,-25,8,-7,0,1.4281822,351.75,0.14250112,99823.336,0.010045,0.5773765161283828,145.0,288.73334,1.9773306,"{""type"":""Point"",""coordinates"":[116.5007571820664,31.382239098436138]}"
00000000000000000915,34,32,32,56,55,201,38,1,121,24,-82,-40,38,-8,11,4,0,15,8,2,-264,86,-2,-18,-9,-38,20,1,35,-71,-33,16,-18,0,20,0,1.8543341,352.33334,0.10250112,99866.664,0.009861333,0.5537780150460676,146.0,289.06332,2.2693305,"{""type"":""Point"",""coordinates"":[112.02768576502007,32.59308123489304]}"
000000000000000008f2,35,33,33,60,56,202,44,1,168,70,-46,-19,8,-29,-7,21,0,12,8,0,199,42,-45,-45,-32,-28,-14,-1,123,-41,-40,7,-40,-11,26,0,1.1113567,343.75,0.101667784,99607.336,0.008981001,0.8434483567782174,146.0,287.96664,2.438664,"{""type"":""Point"",""coordinates"":[113.2406816472858,33.441179959753185]}"
0000000000000000064b,37,34,32,48,51,200,39,1,32,224,-104,-10,19,-52,17,16,0,12,9,0,-112,81,10,-10,-30,-11,20,0,178,-90,-2,12,-30,-1,14,0,1.4241171,356.75,0.1525011,100823.336,0.010354,0.9033949673586436,147.0,289.62332,3.132664,"{""type"":""Point"",""coordinates"":[116.89933838882969,30.913859582883237]}"
0000000000000000066d,30,27,24,50,38,194,19,1,25,513,-173,23,8,-108,31,-15,-1,20,7,7,-517,140,26,-24,-6,0,31,2,375,-142,23,-4,-74,-7,-2,0,3.7308764,356.75,0.1525011,100823.336,0.010354,0.5184627055502256,147.0,289.62332,3.132664,"{""type"":""Point"",""coordinates"":[116.85918418384342,30.911973383137628]}"
0000000000000000164f,29,26,23,45,35,190,19,0,46,458,-97,-11,34,-92,15,0,-1,21,5,7,65,36,16,-24,0,-11,16,-1,42,-75,-9,17,-67,-7,14,1,2.9823577,356.75,0.1525011,100823.336,0.010354,0.7620129912283002,147.0,289.62332,3.132664,"{""type"":""Point"",""coordinates"":[116.8454412343967,30.901191276790392]}"
0000000000000000164b,35,30,25,48,32,192,16,0,15,364,-197,13,1,-80,-2,5,0,19,6,7,-253,114,22,1,-2,6,16,0,443,-174,19,-8,-50,-25,1,-1,2.35016,359.08334,0.16083445,101144.664,0.010451,0.43394993492633305,147.0,289.98666,3.344664,"{""type"":""Point"",""coordinates"":[116.98665650565827,30.856457575022226]}"
