system:index,Built,DEM,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,Landsat_B1,Landsat_B10,Landsat_B11,Landsat_B2,Landsat_B3,Landsat_B4,Landsat_B5,Landsat_B6,Landsat_B7,Landsat_B8,Landsat_B9,Mean_EVI,Mean_NDBI,Mean_NDVI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,Sentinel_B1,Sentinel_B10,Sentinel_B11,Sentinel_B12,Sentinel_B2,Sentinel_B3,Sentinel_B4,Sentinel_B5,Sentinel_B6,Sentinel_B7,Sentinel_B8,Sentinel_B8A,Sentinel_B9,lrad,prec,pres,shum,split,srad,temp,wind,.geo
00000000000000000cae,0,62,-1893,-243,3,162,-43,129,-111,8,35,199,197,30,25,21,84,37,21,24,0,47,-18,19,248,90,-9,-82,-5,9,55,-1,-1402,-142,-37,144,-25,62,-44,5,2.1741114,1687.0,20.0,2022.0,1502.5,1407.0,1344.5,1298.5,1540.0,2326.0,2549.5,2595.5,2742.0,748.0,342.0,0.076667786,100548.0,0.008075667,0.6328722486399095,149.75,288.55667,2.546664,"{""type"":""Point"",""coordinates"":[114.7462569860723,35.263770628833385]}"
00000000000000000be3,0,358,493,-96,40,-24,-38,11,14,-1,46,191,190,44,43,43,52,26,25,41,0,14,-3,5,-1444,3,-59,46,63,41,-5,5,-22,-64,11,0,-14,1,12,0,16.04313,1607.0,14.0,2089.0,2031.0,1562.0,1385.0,1368.0,1378.0,1531.0,1706.0,1601.0,1745.0,533.0,298.5,0.076667786,94274.0,0.0058000004,0.3177901533437839,155.33333,282.22,2.090664,"{""type"":""Point"",""coordinates"":[117.59463709789142,40.22929624802016]}"
0000000000000000143d,0,948,30,-195,10,55,-8,-48,91,1,34,192,191,28,22,19,44,40,22,22,1,35,-15,14,102,142,-28,-4,54,31,-27,-1,123,-109,-11,80,25,-34,49,0,54.509567,1189.0,32.5,1250.0,800.0,910.0,812.5,691.5,876.5,1164.5,1360.0,1641.0,1518.0,881.5,320.5,0.076667786,92149.336,0.0069233337,0.5397808375489476,151.75,284.88333,2.1533306,"{""type"":""Point"",""coordinates"":[111.8316726009127,34.8977051869518]}"
00000000000000000519,1,50,1340,-177,-17,44,-33,52,-62,-3,38,200,197,33,28,27,55,44,29,26,0,30,-11,13,219,77,-9,-7,-19,14,-12,-1,680,-96,-44,39,-35,15,-11,-1,1.8543341,1852.5,21.0,2187.5,1712.0,1597.5,1462.0,1499.0,1590.0,1924.0,2143.5,2153.0,2234.0,811.0,338.5,0.076667786,100934.0,0.008489334,0.33458690215507403,157.33333,287.97333,2.152664,"{""type"":""Point"",""coordinates"":[115.84930035456217,35.0300290107128]}"
0000000000000000119c,0,43,1044,-129,-30,170,41,75,-140,-1,34,197,195,28,22,16,93,37,16,20,0,53,-19,21,950,41,0,-112,-94,0,68,-4,707,-57,-42,126,14,35,-61,-1,2.925363,1733.5,15.0,1697.0,1017.0,1425.0,1177.5,999.0,1213.0,1892.5,2162.0,2051.5,2262.5,1039.0,338.5,0.076667786,100934.0,0.008489334,0.34002019181686693,157.33333,287.97333,2.152664,"{""type"":""Point"",""coordinates"":[115.88244485269243,35.02913273140106]}"
00000000000000000dd9,0,57,-1241,-157,-63,224,50,48,-113,6,33,197,195,27,22,16,89,33,15,19,0,55,-20,20,32,58,10,-110,-65,41,50,-1,-1107,-84,-72,194,28,10,-43,4,2.1753356,1523.0,20.0,1591.0,982.0,1250.0,1083.0,921.0,1200.0,2316.0,2922.0,2732.0,3094.0,911.0,340.5,0.076667786,100594.0,0.008087,0.33837928316294175,150.25,288.28333,2.6073306,"{""type"":""Point"",""coordinates"":[114.94307724747034,35.43059005834385]}"
00000000000000001475,0,55,2498,-215,-25,95,-45,53,-118,-7,35,198,197,31,25,21,71,44,24,22,0,41,-16,17,-2926,94,-4,-26,28,49,44,9,1625,-121,-51,92,-43,4,-41,-4,2.4575708,1621.0,20.0,1896.0,1367.0,1381.0,1246.0,1205.0,1352.0,2168.0,2499.0,2536.0,2701.0,818.0,340.5,0.076667786,100594.0,0.008087,0.8332258521932381,150.25,288.28333,2.6073306,"{""type"":""Point"",""coordinates"":[114.94577500360771,35.46238790795598]}"
000000000000000009eb,1,67,999,-133,-42,48,2,44,-79,-2,43,203,200,40,37,38,65,60,51,37,0,28,-10,11,-15,-1,-8,15,4,16,49,0,869,-81,-44,47,-5,20,-35,-2,1.1360682,1772.5,15.0,2153.5,1725.0,1491.0,1349.0,1370.0,1478.0,1941.5,2140.0,1823.0,2278.0,627.5,342.5,0.076667786,100512.664,0.007998333,0.6040541692632262,149.16667,288.64334,2.556664,"{""type"":""Point"",""coordinates"":[114.6190566694217,35.28425127997186]}"
000000000000000011fe,0,63,-932,-193,-41,69,-84,64,-45,4,41,202,199,37,32,30,69,53,31,33,0,38,-13,15,1985,70,1,-9,30,8,25,-7,-208,-107,-61,62,-57,20,0,1,2.9293575,1715.5,16.5,1977.5,1323.5,1485.5,1303.5,1162.0,1376.0,2241.0,2717.5,2715.5,2965.5,787.0,342.5,0.076667786,100512.664,0.007998333,0.633454455845595,149.16667,288.64334,2.556664,"{""type"":""Point"",""coordinates"":[114.65624557220747,35.215081704430816]}"
00000000000000001d13,1,62,6,-117,-17,24,-15,45,-59,0,49,204,201,45,42,44,67,62,54,41,0,24,-9,10,69,23,-20,11,11,15,38,0,262,-67,-23,33,-6,33,-32,0,0.92740995,1867.0,21.0,2370.5,1994.0,1676.5,1543.0,1592.5,1861.0,2249.0,2480.0,2199.0,2564.5,703.5,342.5,0.076667786,100512.664,0.007998333,0.33372230860191254,149.16667,288.64334,2.556664,"{""type"":""Point"",""coordinates"":[114.67097844208803,35.227928374565785]}"
