system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,Mean_EVI,Mean_NDBI,Mean_NDVI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,split,srad,temp,wind,.geo
00000000000000000bb5,28,26,21,53,42,195,23,0,378,825,-113,-12,12,-109,18,6,-4,25,3,12,-564,103,-21,-19,17,-23,-9,3,1305,-101,-36,8,-127,-10,7,-7,13.156641,362.25,0.28416777,98019.336,0.011830334,0.8538998633385574,143.0,291.16998,5.5619974,"{""type"":""Point"",""coordinates"":[118.23145023753615,30.131514762157206]}"
00000000000000000bb1,27,23,19,74,47,195,22,0,360,1228,-152,45,-26,-117,11,-7,-7,27,6,11,-911,110,-18,-8,1,-12,11,5,1378,-98,0,-28,-143,5,-20,-8,22.817133,358.0,0.2541678,97731.336,0.011498667,0.39530788413276463,144.0,290.05,4.2339973,"{""type"":""Point"",""coordinates"":[118.49313258285758,30.14418306825005]}"
00000000000000000ba8,28,22,16,25,12,185,6,0,519,742,-235,-3,43,-33,-40,39,-3,23,-4,13,232,-18,-26,1,15,-16,-20,-3,1447,-185,-59,17,-101,-36,31,-8,37.094833,349.91666,0.23500112,96711.336,0.010655667,0.8176014597032013,145.0,288.68332,3.6819973,"{""type"":""Point"",""coordinates"":[118.58637684498623,30.460569665295196]}"
00000000000000000bbc,27,21,17,28,19,185,8,0,620,1214,-171,-52,11,-96,-18,-12,-7,21,1,9,-803,-37,-59,-11,62,-23,-18,4,2147,-116,-104,-19,-157,-32,-24,-14,22.111076,349.91666,0.23500112,96711.336,0.010655667,0.33668282524776083,145.0,288.68332,3.6819973,"{""type"":""Point"",""coordinates"":[118.54379688902686,30.491827963679846]}"
00000000000000000c4f,28,23,17,37,22,187,10,0,282,161,-187,40,-33,-21,6,10,0,19,0,7,-282,30,-58,-25,32,19,-16,0,288,-183,1,-32,-38,6,16,0,23.921904,344.75,0.16666777,98777.336,0.009407334,0.7646244694594784,145.0,287.57,1.1573305,"{""type"":""Point"",""coordinates"":[116.28354545155092,31.342084893449858]}"
00000000000000000623,42,48,53,72,73,201,58,1,373,141,-32,5,-15,-11,4,3,0,10,13,0,179,-2,-27,-41,-5,15,18,-1,337,-35,0,-12,-10,6,1,-1,6.552982,340.16666,0.18333444,96756.664,0.008606333,0.6970788468428085,148.0,286.98,1.3879973,"{""type"":""Point"",""coordinates"":[116.35361130640374,30.84837322481233]}"
0000000000000000090c,30,27,28,61,50,201,32,1,131,435,-144,23,32,-42,6,-25,-1,21,9,9,0,97,-17,9,12,-6,-37,0,653,-125,0,53,-39,-7,-23,-3,1.102024,343.5,0.10750111,99795.336,0.008890334,0.475510992340912,148.0,287.93668,2.3793306,"{""type"":""Point"",""coordinates"":[113.90875754441622,32.69898934401344]}"
0000000000000000077d,28,24,21,52,43,193,27,1,510,566,-156,48,-3,-49,-3,27,-2,20,7,9,-123,110,-27,-31,47,5,7,0,748,-159,24,14,-72,30,29,-3,8.560255,342.08334,0.16833445,96948.0,0.009180001,0.9741822328458091,148.0,287.38333,1.2746639,"{""type"":""Point"",""coordinates"":[115.61654419777437,31.199790519733337]}"
00000000000000000896,42,42,43,56,55,200,47,1,140,-185,-65,-50,49,23,31,-53,2,10,7,-1,643,2,-1,-39,-32,-47,52,-5,267,-50,-40,29,5,14,-26,-1,1.1088855,342.58334,0.08500111,99923.336,0.008839,0.735501806283984,149.0,287.75,2.1393306,"{""type"":""Point"",""coordinates"":[113.11240222818026,33.24714217741249]}"
0000000000000000004a,34,34,33,67,53,200,37,1,84,52,-117,-17,36,-19,10,-16,1,20,5,9,221,44,-2,-2,-9,-32,0,-2,190,-122,-14,30,-14,-7,-14,0,0.92740995,341.5,0.09333445,100310.664,0.008763667,0.25360051837361797,149.0,287.62332,2.1313305,"{""type"":""Point"",""coordinates"":[113.88746979598704,33.270320584688285]}"
00000000000000000939,31,29,28,62,53,200,34,1,86,237,-124,-13,44,-17,4,-24,0,19,5,7,16,52,4,-11,-10,-33,-6,-1,587,-122,-10,32,-13,-8,-18,-2,1.4452097,341.5,0.09333445,100310.664,0.008763667,0.4535702542216059,149.0,287.62332,2.1313305,"{""type"":""Point"",""coordinates"":[113.8252162861799,33.22396822923773]}"
000000000000000013ce,33,32,33,69,60,201,42,1,90,56,-122,-16,45,-23,13,-20,1,20,5,8,217,65,0,-4,0,-34,-2,-2,285,-117,-10,32,-20,-5,-7,0,4.7966113,341.5,0.09333445,100310.664,0.008763667,0.9984613751975112,149.0,287.62332,2.1313305,"{""type"":""Point"",""coordinates"":[113.84407828363598,33.23717162745698]}"
00000000000000001547,29,28,24,67,43,200,25,0,86,1629,-64,-33,79,32,30,-113,-9,27,0,13,-1190,19,20,-63,-63,-35,82,7,1498,-89,-28,69,17,14,-96,-8,0.0,341.5,0.09333445,100310.664,0.008763667,0.26675979718316567,149.0,287.62332,2.1313305,"{""type"":""Point"",""coordinates"":[113.89016309302333,33.26573662880536]}"
000000000000000016ed,33,38,40,61,64,200,42,0,150,3,-92,-28,31,-33,50,-34,1,14,12,2,71,25,2,-33,11,-38,15,0,280,-84,-20,18,-41,41,-27,-1,1.8543341,341.75,0.083334446,99600.664,0.008801667,0.5942822187367003,149.0,287.61002,2.096664,"{""type"":""Point"",""coordinates"":[113.0501487183731,33.21723052754597]}"
000000000000000008e5,37,38,41,64,64,204,50,1,133,-168,-76,-4,12,-8,24,-46,2,12,13,1,-216,77,-24,29,0,-22,-34,1,159,-56,-23,28,-16,15,-45,0,2.3855267,345.25,0.11000111,100000.664,0.009036,0.38446341120664207,149.0,288.28333,2.4719973,"{""type"":""Point"",""coordinates"":[113.87614813841235,32.49606011417217]}"
