idx,Year,Base,Built,Percent,Lon
2000,1990_1992,3820,52,0.013612565445026177,110.353990235
2000,1993_1995,3820,78,0.020418848167539267,110.35987469228013
2000,1996_1998,3820,80,0.020942408376963352,110.36575914956026
2000,1999_2001,3820,78,0.020418848167539267,110.3716436068404
2000,2002_2004,3820,84,0.02198952879581152,110.37752806412053
2000,2005_2007,3820,110,0.028795811518324606,110.38341252140066
2000,2008_2010,3820,149,0.03900523560209424,110.3892969786808
2000,2011_2013,3820,158,0.041361256544502616,110.39518143596094
2000,2014_2016,3820,187,0.04895287958115183,110.40106589324107
2000,2017_2019,3820,212,0.05549738219895288,110.4069503505212
2200,1990_1992,4120,31,0.007524271844660194,110.41283480780133
2200,1993_1995,4120,33,0.008009708737864078,110.41871926508146
2200,1996_1998,4120,46,0.01116504854368932,110.4246037223616
2200,1999_2001,4120,47,0.011407766990291262,110.43048817964173
2200,2002_2004,4120,52,0.01262135922330097,110.43637263692186
2200,2005_2007,4120,55,0.013349514563106795,110.44225709420199
2200,2008_2010,4120,63,0.01529126213592233,110.44814155148214
2200,2011_2013,4120,86,0.02087378640776699,110.45402600876227
2200,2014_2016,4120,123,0.029854368932038834,110.4599104660424
2200,2017_2019,4120,132,0.03203883495145631,110.46579492332253
2400,1990_1992,4715,20,0.0042417815482502655,110.47167938060267
2400,1993_1995,4715,24,0.005090137857900318,110.4775638378828
2400,1996_1998,4715,30,0.006362672322375398,110.48344829516293
2400,1999_2001,4715,31,0.006574761399787911,110.48933275244306
2400,2002_2004,4715,38,0.008059384941675504,110.4952172097232
2400,2005_2007,4715,36,0.007635206786850477,110.50110166700333
2400,2008_2010,4715,58,0.012301166489925769,110.50698612428347
2400,2011_2013,4715,63,0.013361611876988335,110.5128705815636
2400,2014_2016,4715,63,0.013361611876988335,110.51875503884374
2400,2017_2019,4715,104,0.022057264050901377,110.52463949612387
2600,1990_1992,5846,35,0.0059869996578857335,110.530523953404
2600,1993_1995,5846,52,0.008894970920287376,110.53640841068413
2600,1996_1998,5846,69,0.011802942182689019,110.54229286796426
2600,1999_2001,5846,69,0.011802942182689019,110.5481773252444
2600,2002_2004,5846,81,0.013855627779678413,110.55406178252453
2600,2005_2007,5846,118,0.020184741703729046,110.55994623980466
2600,2008_2010,5846,171,0.029250769757098873,110.5658306970848
2600,2011_2013,5846,195,0.03335614095107766,110.57171515436494
2600,2014_2016,5846,214,0.0366062264796442,110.57759961164507
2600,2017_2019,5846,251,0.04293534040369484,110.5834840689252
2800,1990_1992,5909,53,0.008969368759519378,110.58936852620533
2800,1993_1995,5909,63,0.01066170248773058,110.59525298348547
2800,1996_1998,5909,74,0.012523269588762905,110.6011374407656
2800,1999_2001,5909,74,0.012523269588762905,110.60702189804573
2800,2002_2004,5909,66,0.01116940260619394,110.61290635532586
2800,2005_2007,5909,72,0.012184802843120663,110.618790812606
