idx,Year,Base,Built,Percent,Lat
2000,1990_1992,6281,24,0.003821047603884732,42.6149092688
2000,1993_1995,6281,19,0.0030249960197420793,42.6090575738463
2000,1996_1998,6281,25,0.003980257920713263,42.6032058788926
2000,1999_2001,6281,20,0.0031842063365706097,42.59735418393891
2000,2002_2004,6281,25,0.003980257920713263,42.59150248898521
2000,2005_2007,6281,24,0.003821047603884732,42.585650794031515
2000,2008_2010,6281,35,0.005572361088998567,42.57979909907782
2000,2011_2013,6281,42,0.006686833306798281,42.57394740412413
2000,2014_2016,6281,132,0.021015761821366025,42.56809570917043
2000,2017_2019,6281,159,0.02531444037573635,42.56224401421673
2200,1990_1992,6633,12,0.0018091361374943465,42.55639231926303
2200,1993_1995,6633,10,0.0015076134479119555,42.55054062430934
2200,1996_1998,6633,13,0.001959897482285542,42.544688929355644
2200,1999_2001,6633,10,0.0015076134479119555,42.538837234401946
2200,2002_2004,6633,11,0.001658374792703151,42.53298553944825
2200,2005_2007,6633,9,0.0013568521031207597,42.52713384449455
2200,2008_2010,6633,11,0.001658374792703151,42.52128214954086
2200,2011_2013,6633,20,0.003015226895823911,42.51543045458716
2200,2014_2016,6633,60,0.009045680687471733,42.50957875963346
2200,2017_2019,6633,103,0.01552841851349314,42.503727064679765
2400,1990_1992,7863,5,0.0006358896095637797,42.497875369726074
2400,1993_1995,7863,4,0.0005087116876510238,42.492023674772376
2400,1996_1998,7863,11,0.0013989571410403154,42.48617197981868
2400,1999_2001,7863,3,0.00038153376573826786,42.48032028486498
2400,2002_2004,7863,14,0.0017804909067785832,42.47446858991129
2400,2005_2007,7863,12,0.0015261350629530714,42.46861689495759
2400,2008_2010,7863,23,0.0029250922039933866,42.46276520000389
2400,2011_2013,7863,34,0.004324049345033702,42.456913505050196
2400,2014_2016,7863,52,0.006613251939463309,42.4510618100965
2400,2017_2019,7863,93,0.011827546737886304,42.44521011514281
2600,1990_1992,10224,4,0.0003912363067292645,42.43935842018911
2600,1993_1995,10224,4,0.0003912363067292645,42.43350672523541
2600,1996_1998,10224,6,0.0005868544600938967,42.42765503028171
2600,1999_2001,10224,4,0.0003912363067292645,42.42180333532802
2600,2002_2004,10224,3,0.00029342723004694836,42.415951640374324
2600,2005_2007,10224,1,9.780907668231612e-05,42.410099945420626
2600,2008_2010,10224,1,9.780907668231612e-05,42.40424825046693
2600,2011_2013,10224,3,0.00029342723004694836,42.39839655551324
2600,2014_2016,10224,58,0.005672926447574335,42.39254486055954
2600,2017_2019,10224,96,0.009389671361502348,42.38669316560584
2800,1990_1992,11452,62,0.005413901501921062,42.38084147065214
2800,1993_1995,11452,58,0.005064617534055187,42.37498977569845
2800,1996_1998,11452,80,0.006985679357317499,42.369138080744754
2800,1999_2001,11452,66,0.0057631854697869364,42.363286385791056
2800,2002_2004,11452,76,0.006636395389451624,42.35743469083736
2800,2005_2007,11452,70,0.006112469437652812,42.35158299588366
2800,2008_2010,11452,89,0.007771568285015718,42.34573130092997
2800,2011_2013,11452,123,0.010740482011875654,42.33987960597627
2800,2014_2016,11452,159,0.01388403772266853,42.334027911022574
2800,2017_2019,11452,253,0.022092210967516592,42.328176216068876
3000,1990_1992,11763,12,0.00102014792144861,42.322324521115185
3000,1993_1995,11763,19,0.0016152342089602993,42.31647282616149
3000,1996_1998,11763,21,0.0017852588625350675,42.31062113120779
3000,1999_2001,11763,18,0.001530221882172915,42.30476943625409
3000,2002_2004,11763,20,0.0017002465357476835,42.2989177413004
3000,2005_2007,11763,20,0.0017002465357476835,42.2930660463467
3000,2008_2010,11763,21,0.0017852588625350675,42.287214351393004
3000,2011_2013,11763,44,0.0037405423786449035,42.281362656439306
3000,2014_2016,11763,58,0.004930714953668282,42.27551096148561
3000,2017_2019,11763,79,0.00671597381620335,42.26965926653192
3200,1990_1992,12423,14,0.0011269419624889319,42.26380757157822
