time,NDVI,NDBI,EVI
2017-01-15 02:55:16.320,0.29524141550064087,-0.33124375343322754,0.725405752658844
2017-01-15 02:55:40.210,0.2944636642932892,-0.33092203736305237,0.6884052753448486
2017-01-24 02:49:26.150,0.47210338711738586,-0.33267509937286377,0.7096734046936035
2017-01-31 02:55:09.840,0.04329072684049606,-0.18635544180870056,0.22412727773189545
2017-02-09 02:49:17.750,0.41236743330955505,-0.4247034192085266,0.7893843054771423
2017-02-16 02:55:02.810,0.623822033405304,-0.44164037704467773,0.8209245800971985
2017-02-16 02:55:26.700,0.6232601404190063,-0.4289993345737457,0.7939101457595825
2017-02-25 02:49:12.880,0.4456605613231659,-0.4243413507938385,0.775458037853241
2017-03-04 02:54:56.640,0.259553462266922,-0.4123067557811737,0.5724517107009888
2017-03-04 02:55:20.530,0.2590498626232147,-0.41150012612342834,0.5559806823730469
2017-03-29 02:48:55.590,0.47101613879203796,-0.49575042724609375,0.8564753532409668
2017-04-14 02:48:47.860,0.7423228025436401,-0.5989073514938354,0.9379525780677795
2017-04-21 02:54:30.350,0.4119888246059418,-0.5320339202880859,0.7589088082313538
2017-04-21 02:54:54.240,0.41213366389274597,-0.5318321585655212,0.7524543404579163
2017-04-30 02:48:37.230,0.753771960735321,-0.6098549365997314,0.8599770665168762
2017-05-07 02:54:26.400,0.6660655736923218,-0.5496124625205994,0.8040703535079956
2017-05-07 02:54:50.300,0.663773238658905,-0.5451108813285828,0.7935478091239929
2017-05-16 02:48:46.290,0.7001323699951172,-0.5162399411201477,0.7199327945709229
2017-05-23 02:54:37.880,0.04186059534549713,-0.23521862924098969,0.321645051240921
2017-05-23 02:55:01.770,0.04200194403529167,-0.23187614977359772,0.3303816318511963
2017-06-01 02:48:56.030,0.12512072920799255,-0.3219336271286011,0.24934452772140503
2017-06-08 02:55:10.110,0.025600161403417587,-0.7195961475372314,0.20777401328086853
2017-06-17 02:49:02.760,0.1946345865726471,0.10776408016681671,0.19992147386074066
2017-06-24 02:54:51.800,0.08074361085891724,-0.13282270729541779,0.2959577739238739
2017-06-24 02:55:15.690,0.08140014857053757,-0.12950833141803741,0.2926643192768097
2017-07-03 02:49:06.860,0.16409780085086823,-0.06378724426031113,0.4057195484638214
2017-07-10 02:54:54.840,0.32262158393859863,0.01943572238087654,0.29262062907218933
2017-07-10 02:55:18.740,0.3237326443195343,0.019420914351940155,0.2926890552043915
2017-07-19 02:49:11.350,0.3703668713569641,-0.1681603044271469,0.6547401547431946
2017-07-26 02:55:01.840,0.5857220888137817,-0.20483839511871338,0.7442114353179932
2017-07-26 02:55:25.740,0.5859847068786621,-0.2046332061290741,0.7404469847679138
2017-08-04 02:49:18.830,0.6938649415969849,-0.3270377516746521,1.094144582748413
2017-08-11 02:55:08.320,0.17479607462882996,-0.4636267423629761,0.5796344876289368
2017-08-11 02:55:32.200,0.17467084527015686,-0.46416178345680237,0.5818864107131958
2017-08-27 02:55:12.330,0.7281153202056885,-0.3820449411869049,0.8916923999786377
2017-08-27 02:55:36.210,0.7292464971542358,-0.38331568241119385,0.8851991295814514
2017-09-12 02:55:13.190,0.6303344964981079,-0.30276817083358765,0.6569870114326477
2017-09-12 02:55:37.080,0.6292288303375244,-0.3040069043636322,0.6441441774368286
2017-09-21 02:49:29.560,0.24603135883808136,-0.08169838041067123,0.3479703366756439
2017-09-28 02:55:19.670,0.08769528567790985,-0.07754845172166824,0.18594081699848175
2017-09-28 02:55:43.550,0.08641666918992996,-0.07463058084249496,0.14524990320205688
2017-10-07 02:49:35.690,0.05029747262597084,-0.16895677149295807,0.27686306834220886
2017-10-23 02:49:38.040,0.16742011904716492,0.10455479472875595,0.16799572110176086
2017-10-30 02:55:24.780,0.13060255348682404,0.12033193558454514,0.09771764278411865
2017-10-30 02:55:48.670,0.1313868761062622,0.12165754288434982,0.09540468454360962
2017-11-08 02:49:36.580,0.10405858606100082,0.08032539486885071,0.0976293534040451
2017-11-15 02:55:21.610,0.08770622313022614,-0.014165293425321579,0.1227153018116951
2017-11-15 02:55:45.500,0.0890941396355629,-0.016633277758955956,0.11928936839103699
2017-11-24 02:49:31.200,0.19417473673820496,0.01709720492362976,0.18149226903915405
2017-12-01 02:55:15.460,0.1543465554714203,-0.06982353329658508,0.2002059817314148
2017-12-01 02:55:39.340,0.1590748429298401,-0.0783926248550415,0.19595752656459808
2017-12-10 02:49:28.430,0.2625412046909332,-0.031203266233205795,0.25498664379119873
2017-12-17 02:55:17.720,0.28779980540275574,-0.05566836893558502,0.2735148072242737
2017-12-17 02:55:41.610,0.2901955842971802,-0.05347765237092972,0.2627564072608948
2017-12-26 02:49:30.830,0.22884014248847961,-0.11424510180950165,0.25638923048973083
2018-01-11 02:49:24.940,0.02400396578013897,-0.8568612933158875,0.07416705042123795
2018-01-18 02:55:08.350,0.03651846945285797,-0.12196561694145203,0.16694416105747223
2018-02-03 02:54:58.840,0.3253668248653412,-0.06909718364477158,0.2839060425758362
2018-02-03 02:55:22.720,0.3336465358734131,-0.07405657321214676,0.28365275263786316
2018-02-12 02:49:09.340,0.3192436397075653,-0.05618525668978691,0.282211571931839
2018-02-19 02:54:53.680,0.052057329565286636,-0.0886639878153801,0.2467770129442215
2018-03-07 02:54:45.660,0.02170129120349884,-0.6106410026550293,0.2345045804977417
2018-03-16 02:48:53.240,0.29946914315223694,-0.16189588606357574,0.5497555136680603
2018-03-23 02:54:37.660,0.5974851250648499,-0.4098607301712036,0.7036941647529602
2018-03-23 02:55:01.560,0.5974085927009583,-0.4089466333389282,0.6920756101608276
