year,seed,Overall_ACC,Precisioin_non_built,Precisioin_built,Recall_non_built,Recall_built
1990_1992,0,94.46,94.3,94.62,94.62,94.3
1990_1992,1,95.17,95.0,95.34,95.08,95.26
1990_1992,2,95.31,94.98,95.63,95.31,95.32
1990_1992,3,94.83,94.36,95.32,95.45,94.19
1990_1992,4,95.17,95.57,94.78,94.57,95.75
1990_1992,5,95.34,94.96,95.69,95.29,95.39
1990_1992,6,95.55,95.74,95.36,95.34,95.77
1990_1992,7,95.1,94.69,95.48,95.17,95.03
1990_1992,8,95.24,95.17,95.32,95.25,95.24
1990_1992,9,94.9,94.87,94.93,94.95,94.85
1993_1995,0,94.3,94.07,94.53,94.53,94.07
1993_1995,1,93.67,93.46,93.9,94.08,93.25
1993_1995,2,94.51,95.06,93.92,94.23,94.8
1993_1995,3,93.88,93.11,94.65,94.59,93.19
1993_1995,4,95.02,94.24,95.81,95.82,94.23
1993_1995,5,94.17,93.92,94.42,94.3,94.05
1993_1995,6,94.28,94.55,94.02,93.9,94.66
1993_1995,7,94.12,94.37,93.88,93.66,94.57
1993_1995,8,93.59,92.79,94.38,94.21,93.0
1993_1995,9,93.3,93.17,93.43,93.4,93.2
1996_1998,0,94.91,94.37,95.48,95.55,94.27
1996_1998,1,93.26,93.9,92.63,92.55,93.97
1996_1998,2,93.82,93.37,94.26,94.16,93.48
1996_1998,3,94.29,94.14,94.44,94.67,93.89
1996_1998,4,93.11,92.09,94.18,94.32,91.9
1996_1998,5,94.2,93.92,94.48,94.45,93.95
1996_1998,6,94.3,94.13,94.47,94.6,93.99
1996_1998,7,94.04,94.23,93.86,93.65,94.42
1996_1998,8,93.56,92.4,94.78,94.91,92.22
1996_1998,9,93.1,92.33,93.94,94.31,91.85
1999_2001,0,93.89,93.99,93.79,94.21,93.55
1999_2001,1,93.74,93.34,94.14,94.15,93.34
1999_2001,2,93.9,93.45,94.35,94.26,93.55
1999_2001,3,94.2,93.57,94.85,94.96,93.43
1999_2001,4,92.89,93.02,92.76,92.79,92.99
1999_2001,5,94.06,93.27,94.83,94.71,93.43
1999_2001,6,94.42,94.56,94.28,94.56,94.28
1999_2001,7,93.65,93.65,93.64,94.04,93.24
1999_2001,8,93.16,92.06,94.26,94.14,92.22
1999_2001,9,92.37,91.86,92.86,92.57,92.18
2002_2004,0,92.91,92.18,93.65,93.62,92.23
2002_2004,1,92.89,91.37,94.56,94.85,90.89
2002_2004,2,94.07,94.14,93.99,94.37,93.75
2002_2004,3,93.53,93.44,93.62,93.59,93.47
2002_2004,4,93.98,92.7,95.27,95.2,92.81
2002_2004,5,94.02,93.38,94.68,94.79,93.24
2002_2004,6,93.42,92.3,94.61,94.81,92.01
2002_2004,7,93.33,92.42,94.3,94.54,92.1
2002_2004,8,93.07,91.75,94.42,94.43,91.74
2002_2004,9,92.6,91.4,93.85,93.91,91.32
2005_2007,0,93.51,93.04,93.97,93.74,93.28
2005_2007,1,93.74,93.39,94.13,94.55,92.89
2005_2007,2,94.3,93.72,94.89,94.98,93.61
2005_2007,3,93.54,93.23,93.85,93.92,93.15
2005_2007,4,93.91,93.91,93.9,93.67,94.14
2005_2007,5,93.81,92.94,94.71,94.8,92.83
2005_2007,6,93.45,93.45,93.45,93.6,93.29
2005_2007,7,93.36,91.72,95.05,95.02,91.77
2005_2007,8,94.27,93.88,94.66,94.67,93.87
2005_2007,9,92.76,91.55,94.0,93.99,91.57
2008_2010,0,92.09,91.62,92.57,92.66,91.53
2008_2010,1,93.14,93.65,92.64,92.72,93.58
2008_2010,2,92.77,91.84,93.71,93.76,91.79
2008_2010,3,92.31,92.26,92.36,92.86,91.72
2008_2010,4,92.37,91.7,93.02,92.83,91.93
2008_2010,5,92.54,91.54,93.59,93.69,91.4
2008_2010,6,92.55,91.24,93.89,93.82,91.34
2008_2010,7,92.8,92.44,93.15,93.16,92.44
2008_2010,8,92.13,91.69,92.57,92.62,91.65
2008_2010,9,92.54,91.22,93.97,94.21,90.87
2011_2013,0,92.59,91.53,93.61,93.22,92.01
2011_2013,1,92.74,92.62,92.85,92.85,92.62
2011_2013,2,92.45,92.93,91.96,92.31,92.6
2011_2013,3,92.19,91.65,92.76,92.97,91.4
2011_2013,4,91.94,91.08,92.82,92.8,91.11
2011_2013,5,92.51,91.69,93.37,93.5,91.52
2011_2013,6,91.69,90.9,92.51,92.65,90.73
2011_2013,7,91.71,91.42,92.01,92.24,91.17
2011_2013,8,92.83,92.77,92.89,93.15,92.5
2011_2013,9,93.3,92.57,94.0,93.71,92.92
2014_2016,0,91.96,92.18,91.72,92.18,91.72
2014_2016,1,92.61,91.95,93.24,92.84,92.4
2014_2016,2,91.49,92.15,90.82,91.05,91.95
2014_2016,3,92.6,92.34,92.88,93.24,91.94
2014_2016,4,92.65,92.45,92.86,92.91,92.4
2014_2016,5,92.59,91.51,93.69,93.65,91.56
2014_2016,6,91.39,91.27,91.51,91.94,90.82
2014_2016,7,92.13,92.36,91.9,92.36,91.9
2014_2016,8,92.05,91.09,93.0,92.77,91.37
2014_2016,9,93.21,92.97,93.45,93.22,93.21
2017_2019,0,92.29,91.44,93.17,93.29,91.29
2017_2019,1,91.47,91.06,91.91,92.41,90.48
2017_2019,2,91.79,90.63,93.07,93.53,89.98
2017_2019,3,92.3,91.3,93.36,93.52,91.09
2017_2019,4,91.72,91.96,91.47,91.96,91.47
2017_2019,5,92.06,91.62,92.53,92.89,91.2
2017_2019,6,92.76,92.37,93.16,93.46,92.03
2017_2019,7,91.83,91.15,92.56,92.9,90.73
2017_2019,8,92.68,91.44,94.02,94.28,91.07
2017_2019,9,92.37,91.39,93.43,93.78,90.92
