year,seed,band,importance
1990_1992,7,temp,83.04309923758056
1990_1992,7,wind,79.16982211581328
1990_1992,8,B7,99.53656741780199
1990_1992,8,DEM,88.41816753420044
1990_1992,8,EVI_sin_2,97.32452701923815
1990_1992,8,Mean_EVI,93.33026206557625
1990_1992,8,Mean_NDBI,89.07629564206286
1990_1992,8,NDBI_cos_3,98.22617259991084
1990_1992,8,NDBI_sin_2,93.18605583874836
1990_1992,8,NDBI_sin_3,79.97890981705937
1990_1992,8,NDVI_cos_3,85.03973906590127
1990_1992,8,SLOPE,93.14258845407944
1990_1992,8,prec,87.33166127995203
1990_1992,8,pres,79.20014896970822
1990_1992,8,random,84.3872482262894
1990_1992,8,shum,108.96726985266741
1990_1992,8,temp,94.37381677355069
1990_1992,8,wind,90.64387237930474
1990_1992,9,B7,94.61181439868564
1990_1992,9,DEM,84.27588544053513
1990_1992,9,EVI_sin_2,99.2398239949636
1990_1992,9,Mean_EVI,93.26640538395108
1990_1992,9,Mean_NDBI,80.96540156898328
1990_1992,9,NDBI_cos_3,98.81962504476418
1990_1992,9,NDBI_sin_2,89.85877602215933
1990_1992,9,NDBI_sin_3,83.82971382023382
1990_1992,9,NDVI_cos_3,81.27180233467232
1990_1992,9,SLOPE,90.03507173213636
1990_1992,9,prec,83.60991013203004
1990_1992,9,pres,82.07115519517839
1990_1992,9,random,70.51300707086517
1990_1992,9,shum,94.8653023311193
1990_1992,9,temp,94.17235926338353
1990_1992,9,wind,84.05417451468819
1993_1995,0,B7,114.92218789234359
1993_1995,0,DEM,117.88792267468381
1993_1995,0,EVI_sin_2,119.54689463241928
1993_1995,0,Mean_EVI,100.40660341103725
1993_1995,0,Mean_NDBI,88.22275366404757
1993_1995,0,SLOPE,119.97009489204018
1993_1995,0,random,102.00377580872477
1993_1995,0,shum,130.10684623414173
1993_1995,0,B4,97.91564701259654
1993_1995,0,EVI_cos_3,102.9552798589467
1993_1995,0,EVI_sin_3,99.68146661415444
1993_1995,0,EVI_t,65.96484966283727
1993_1995,0,NDBI_constant,105.80159632458674
1993_1995,0,NDVI_constant,92.71897325516272
1993_1995,0,NDVI_t,51.097549370478205
1993_1995,0,lrad,120.67294672150803
1993_1995,1,B7,97.32646616157282
1993_1995,1,DEM,112.92042119132812
1993_1995,1,EVI_sin_2,115.98292708388466
1993_1995,1,Mean_EVI,99.19507820331278
1993_1995,1,Mean_NDBI,94.16608442136682
1993_1995,1,SLOPE,103.70658640532594
1993_1995,1,random,96.69258219730149
1993_1995,1,shum,120.0531506398559
1993_1995,1,B4,108.66043942532603
1993_1995,1,EVI_cos_3,97.97501657218393
1993_1995,1,EVI_sin_3,108.73142598954875
1993_1995,1,EVI_t,61.57467144367962
1993_1995,1,NDBI_constant,118.34996733655817
1993_1995,1,NDVI_constant,88.85788589802051
1993_1995,1,NDVI_t,55.71313729581304
1993_1995,1,lrad,118.97347311724513
1993_1995,2,B7,98.77517844147377
1993_1995,2,DEM,111.99059083491497
1993_1995,2,EVI_sin_2,113.43463421683606
