year,seed,Overall_ACC,Precisioin_non_built,Precisioin_built,Recall_non_built,Recall_built
Landsat_1990_1992,0,94.1,93.9,94.3,94.51,93.67
Landsat_1990_1992,1,94.2,93.75,94.68,95.06,93.28
Landsat_1990_1992,2,95.18,94.37,96.03,96.14,94.22
Landsat_1990_1992,3,94.53,93.9,95.18,95.28,93.78
Landsat_1990_1992,4,94.89,94.31,95.5,95.7,94.06
Landsat_1990_1992,5,93.99,94.21,93.77,93.7,94.28
Landsat_1990_1992,6,94.07,94.36,93.76,94.36,93.76
Landsat_1990_1992,7,94.19,94.93,93.48,93.36,95.03
Landsat_1990_1992,8,94.23,94.12,94.34,94.43,94.02
Landsat_1990_1992,9,94.67,94.85,94.49,94.54,94.81
Landsat_1993_1995,0,94.58,93.92,95.29,95.55,93.57
Landsat_1993_1995,1,95.1,94.01,96.21,96.18,94.04
Landsat_1993_1995,2,94.86,94.5,95.24,95.53,94.15
Landsat_1993_1995,3,94.92,94.88,94.96,94.88,94.96
Landsat_1993_1995,4,94.49,93.88,95.09,94.96,94.05
Landsat_1993_1995,5,94.06,93.72,94.41,94.54,93.58
Landsat_1993_1995,6,94.01,94.25,93.76,93.86,94.16
Landsat_1993_1995,7,95.3,95.19,95.42,95.4,95.21
Landsat_1993_1995,8,94.22,92.27,96.12,95.87,92.72
Landsat_1993_1995,9,94.13,94.26,94.0,94.16,94.11
Landsat_1996_1998,0,94.91,94.21,95.65,95.86,93.93
Landsat_1996_1998,1,93.81,94.8,92.78,93.15,94.52
Landsat_1996_1998,2,94.3,94.44,94.15,94.33,94.26
Landsat_1996_1998,3,94.03,92.78,95.22,94.84,93.29
Landsat_1996_1998,4,94.33,92.71,95.95,95.83,92.91
Landsat_1996_1998,5,93.97,93.59,94.37,94.53,93.4
Landsat_1996_1998,6,93.99,93.54,94.44,94.49,93.48
Landsat_1996_1998,7,94.53,93.88,95.24,95.49,93.54
Landsat_1996_1998,8,94.3,93.96,94.67,94.89,93.69
Landsat_1996_1998,9,94.33,94.22,94.46,94.83,93.81
Landsat_1999_2001,0,92.89,91.22,94.48,94.05,91.84
Landsat_1999_2001,1,94.2,93.44,94.98,95.03,93.39
Landsat_1999_2001,2,93.67,94.12,93.24,93.08,94.25
Landsat_1999_2001,3,94.21,93.52,94.97,95.24,93.15
Landsat_1999_2001,4,93.08,92.13,94.01,93.84,92.34
Landsat_1999_2001,5,93.34,93.16,93.52,93.66,93.01
Landsat_1999_2001,6,93.89,93.35,94.46,94.57,93.22
Landsat_1999_2001,7,93.82,93.56,94.1,94.47,93.13
Landsat_1999_2001,8,93.24,92.38,94.12,94.14,92.35
Landsat_1999_2001,9,94.19,94.94,93.42,93.73,94.69
Landsat_2002_2004,0,93.86,93.1,94.62,94.63,93.1
Landsat_2002_2004,1,93.61,92.62,94.65,94.78,92.44
Landsat_2002_2004,2,92.37,92.23,92.51,92.33,92.41
Landsat_2002_2004,3,93.87,93.25,94.51,94.59,93.15
Landsat_2002_2004,4,93.67,92.55,94.77,94.58,92.8
Landsat_2002_2004,5,93.18,91.55,94.85,94.8,91.64
Landsat_2002_2004,6,93.16,91.83,94.56,94.64,91.7
Landsat_2002_2004,7,93.8,92.85,94.87,95.29,92.23
Landsat_2002_2004,8,92.43,89.58,95.49,95.53,89.49
Landsat_2002_2004,9,92.83,92.61,93.05,93.04,92.63
Landsat_2005_2007,0,93.87,92.78,95.01,95.14,92.6
Landsat_2005_2007,1,93.51,91.88,95.17,95.1,91.99
Landsat_2005_2007,2,93.39,94.58,92.23,92.18,94.61
Landsat_2005_2007,3,93.11,91.81,94.4,94.2,92.07
Landsat_2005_2007,4,93.0,93.07,92.93,92.75,93.24
Landsat_2005_2007,5,93.65,92.54,94.78,94.8,92.52
Landsat_2005_2007,6,93.38,93.97,92.8,92.83,93.95
Landsat_2005_2007,7,93.65,93.56,93.74,93.87,93.43
Landsat_2005_2007,8,92.67,93.13,92.22,92.27,93.08
Landsat_2005_2007,9,92.39,91.96,92.84,93.13,91.63
Landsat_2008_2010,0,93.21,92.35,94.16,94.6,91.75
Landsat_2008_2010,1,92.99,92.12,93.86,93.82,92.18
Landsat_2008_2010,2,92.35,92.24,92.47,92.94,91.72
Landsat_2008_2010,3,93.29,92.81,93.78,93.83,92.75
Landsat_2008_2010,4,92.95,92.42,93.49,93.57,92.33
Landsat_2008_2010,5,92.82,92.08,93.62,93.94,91.68
Landsat_2008_2010,6,92.36,91.34,93.42,93.49,91.24
Landsat_2008_2010,7,93.82,92.89,94.77,94.78,92.87
Landsat_2008_2010,8,91.7,91.14,92.26,92.18,91.22
Landsat_2008_2010,9,91.82,90.85,92.83,92.87,90.79
Landsat_2011_2013,0,92.12,92.25,91.99,92.04,92.2
Landsat_2011_2013,1,91.33,89.55,93.22,93.35,89.35
Landsat_2011_2013,2,93.1,92.56,93.65,93.71,92.5
Landsat_2011_2013,3,92.22,92.27,92.17,91.86,92.58
Landsat_2011_2013,4,92.67,91.99,93.33,93.04,92.32
Landsat_2011_2013,5,92.97,92.33,93.61,93.59,92.35
Landsat_2011_2013,6,92.05,90.99,93.1,92.9,91.23
Landsat_2011_2013,7,92.78,91.27,94.15,93.39,92.25
Landsat_2011_2013,8,92.78,92.27,93.32,93.59,91.94
Landsat_2011_2013,9,92.3,91.88,92.71,92.59,92.01
Landsat_2014_2016,0,93.0,92.87,93.12,93.28,92.7
Landsat_2014_2016,1,93.32,92.29,94.44,94.8,91.78
Landsat_2014_2016,2,92.91,92.12,93.76,94.0,91.81
Landsat_2014_2016,3,92.13,90.79,93.51,93.45,90.86
Landsat_2014_2016,4,93.49,94.05,92.9,93.35,93.64
Landsat_2014_2016,5,92.91,93.25,92.56,92.64,93.18
Landsat_2014_2016,6,93.85,93.96,93.76,93.53,94.17
Landsat_2014_2016,7,91.86,90.59,93.18,93.21,90.54
Landsat_2014_2016,8,92.46,91.22,93.72,93.64,91.32
Landsat_2014_2016,9,92.66,92.78,92.54,92.37,92.95
Landsat_2017_2019,0,92.0,91.06,92.98,93.14,90.86
Landsat_2017_2019,1,92.06,91.28,92.85,92.79,91.34
Landsat_2017_2019,2,92.48,91.46,93.54,93.58,91.4
Landsat_2017_2019,3,91.93,90.95,93.0,93.47,90.32
Landsat_2017_2019,4,92.03,91.13,92.98,93.22,90.82
Landsat_2017_2019,5,92.11,91.98,92.25,93.07,91.04
Landsat_2017_2019,6,92.29,92.98,91.55,92.18,92.41
Landsat_2017_2019,7,91.61,89.81,93.49,93.47,89.83
Landsat_2017_2019,8,92.58,92.57,92.59,93.16,91.96
Landsat_2017_2019,9,93.01,91.38,94.69,94.66,91.42
