year,seed,Overall_ACC,Precisioin_non_built,Precisioin_built,Recall_non_built,Recall_built
Sentinel_2014_2016,0,94.35,94.1,94.61,94.95,93.71
Sentinel_2014_2016,1,93.28,91.79,94.95,95.31,91.19
Sentinel_2014_2016,2,93.26,92.86,93.68,93.86,92.65
Sentinel_2014_2016,3,93.52,93.21,93.85,94.31,92.67
Sentinel_2014_2016,4,94.46,94.53,94.39,94.73,94.18
Sentinel_2014_2016,5,94.81,94.14,95.51,95.64,93.97
Sentinel_2014_2016,6,94.87,94.42,95.32,95.27,94.48
Sentinel_2014_2016,7,93.68,93.47,93.9,94.1,93.25
Sentinel_2014_2016,8,95.05,95.56,94.53,94.72,95.4
Sentinel_2014_2016,9,93.67,93.06,94.28,94.27,93.07
Sentinel_2017_2019,0,94.27,93.23,95.34,95.38,93.17
Sentinel_2017_2019,1,94.02,93.28,94.78,94.8,93.25
Sentinel_2017_2019,2,95.32,95.22,95.42,95.32,95.32
Sentinel_2017_2019,3,94.95,93.9,96.02,95.99,93.94
Sentinel_2017_2019,4,94.61,93.92,95.25,94.9,94.34
Sentinel_2017_2019,5,94.94,95.61,94.25,94.54,95.37
Sentinel_2017_2019,6,94.14,93.87,94.41,94.28,94.0
Sentinel_2017_2019,7,94.16,93.62,94.69,94.47,93.87
Sentinel_2017_2019,8,94.37,94.4,94.35,94.5,94.24
Sentinel_2017_2019,9,94.44,94.95,93.95,93.76,95.1
