Year,Combo,Percent,Tree,Overall_ACC,Precisioin_non_built,Precisioin_built,Recall_non_built,Recall_built
2017_2019,Landsat,1,1,62.5,55.56,83.33,90.91,38.46
2017_2019,Landsat,1,10,62.5,56.25,75.0,81.82,46.15
2017_2019,Landsat,1,20,75.0,69.23,81.82,81.82,69.23
2017_2019,Landsat,1,30,70.83,66.67,75.0,72.73,69.23
2017_2019,Landsat,1,40,70.83,66.67,75.0,72.73,69.23
2017_2019,Landsat,1,50,75.0,72.73,76.92,72.73,76.92
2017_2019,Landsat,1,60,75.0,72.73,76.92,72.73,76.92
2017_2019,Landsat,1,70,75.0,72.73,76.92,72.73,76.92
2017_2019,Landsat,1,80,75.0,72.73,76.92,72.73,76.92
2017_2019,Landsat,1,90,75.0,72.73,76.92,72.73,76.92
2017_2019,Landsat,1,100,75.0,72.73,76.92,72.73,76.92
2017_2019,Landsat,1,110,75.0,72.73,76.92,72.73,76.92
2017_2019,Landsat,1,120,75.0,72.73,76.92,72.73,76.92
2017_2019,Landsat,2,1,72.41,70.97,74.07,75.86,68.97
2017_2019,Landsat,2,10,79.31,77.42,81.48,82.76,75.86
2017_2019,Landsat,2,20,77.59,75.0,80.77,82.76,72.41
2017_2019,Landsat,2,30,79.31,79.31,79.31,79.31,79.31
2017_2019,Landsat,2,40,79.31,79.31,79.31,79.31,79.31
2017_2019,Landsat,2,50,79.31,77.42,81.48,82.76,75.86
2017_2019,Landsat,2,60,81.03,80.0,82.14,82.76,79.31
2017_2019,Landsat,2,70,79.31,77.42,81.48,82.76,75.86
2017_2019,Landsat,2,80,77.59,76.67,78.57,79.31,75.86
2017_2019,Landsat,2,90,79.31,77.42,81.48,82.76,75.86
2017_2019,Landsat,2,100,81.03,80.0,82.14,82.76,79.31
2017_2019,Landsat,2,110,79.31,77.42,81.48,82.76,75.86
2017_2019,Landsat,2,120,79.31,77.42,81.48,82.76,75.86
2017_2019,Landsat,3,1,66.67,60.47,74.29,74.29,60.47
2017_2019,Landsat,3,10,71.79,66.67,76.92,74.29,69.77
2017_2019,Landsat,3,20,71.79,66.67,76.92,74.29,69.77
2017_2019,Landsat,3,30,71.79,67.57,75.61,71.43,72.09
2017_2019,Landsat,3,40,71.79,67.57,75.61,71.43,72.09
2017_2019,Landsat,3,50,70.51,66.67,73.81,68.57,72.09
2017_2019,Landsat,3,60,69.23,64.86,73.17,68.57,69.77
2017_2019,Landsat,3,70,67.95,63.16,72.5,68.57,67.44
2017_2019,Landsat,3,80,69.23,64.86,73.17,68.57,69.77
2017_2019,Landsat,3,90,70.51,65.79,75.0,71.43,69.77
2017_2019,Landsat,3,100,69.23,64.86,73.17,68.57,69.77
2017_2019,Landsat,3,110,69.23,64.86,73.17,68.57,69.77
2017_2019,Landsat,3,120,69.23,64.86,73.17,68.57,69.77
2017_2019,Landsat,5,1,74.07,70.69,78.0,78.85,69.64
2017_2019,Landsat,5,10,81.48,79.63,83.33,82.69,80.36
2017_2019,Landsat,5,20,84.26,84.31,84.21,82.69,85.71
2017_2019,Landsat,5,30,83.33,81.48,85.19,84.62,82.14
2017_2019,Landsat,5,40,86.11,86.27,85.96,84.62,87.5
2017_2019,Landsat,5,50,87.04,88.0,86.21,84.62,89.29
2017_2019,Landsat,5,60,87.96,88.24,87.72,86.54,89.29
2017_2019,Landsat,5,70,88.89,90.0,87.93,86.54,91.07
2017_2019,Landsat,5,80,88.89,90.0,87.93,86.54,91.07
2017_2019,Landsat,5,90,88.89,90.0,87.93,86.54,91.07
2017_2019,Landsat,5,100,88.89,90.0,87.93,86.54,91.07
2017_2019,Landsat,5,110,88.89,90.0,87.93,86.54,91.07
2017_2019,Landsat,5,120,88.89,90.0,87.93,86.54,91.07
2017_2019,Landsat,7,1,68.29,67.14,69.15,61.84,73.86
2017_2019,Landsat,7,10,79.88,83.08,77.78,71.05,87.5
2017_2019,Landsat,7,20,81.1,85.71,78.22,71.05,89.77
2017_2019,Landsat,7,30,82.32,87.3,79.21,72.37,90.91
2017_2019,Landsat,7,40,81.71,85.94,79.0,72.37,89.77
2017_2019,Landsat,7,50,82.93,87.5,80.0,73.68,90.91
2017_2019,Landsat,7,60,82.32,86.15,79.8,73.68,89.77
2017_2019,Landsat,7,70,81.71,85.94,79.0,72.37,89.77
2017_2019,Landsat,7,80,81.71,85.94,79.0,72.37,89.77
2017_2019,Landsat,7,90,81.71,85.94,79.0,72.37,89.77
2017_2019,Landsat,7,100,81.71,87.1,78.43,71.05,90.91
2017_2019,Landsat,7,110,82.32,87.3,79.21,72.37,90.91
2017_2019,Landsat,7,120,82.32,86.15,79.8,73.68,89.77
2017_2019,Landsat,10,1,78.99,72.41,89.25,91.3,67.48
2017_2019,Landsat,10,10,84.45,80.0,89.81,90.43,78.86
2017_2019,Landsat,10,20,84.87,81.6,88.5,88.7,81.3
2017_2019,Landsat,10,30,84.87,81.6,88.5,88.7,81.3
2017_2019,Landsat,10,40,83.61,79.69,88.18,88.7,78.86
2017_2019,Landsat,10,50,84.03,80.31,88.29,88.7,79.67
2017_2019,Landsat,10,60,85.29,82.79,87.93,87.83,82.93
2017_2019,Landsat,10,70,84.87,82.11,87.83,87.83,82.11
2017_2019,Landsat,10,80,85.29,82.79,87.93,87.83,82.93
2017_2019,Landsat,10,90,85.29,82.79,87.93,87.83,82.93
2017_2019,Landsat,10,100,85.29,82.79,87.93,87.83,82.93
2017_2019,Landsat,10,110,84.87,82.11,87.83,87.83,82.11
2017_2019,Landsat,10,120,85.29,82.79,87.93,87.83,82.93
2017_2019,Landsat,20,1,81.97,78.97,84.71,82.51,81.51
2017_2019,Landsat,20,10,83.4,80.87,85.66,83.41,83.4
2017_2019,Landsat,20,20,83.2,80.79,85.33,82.96,83.4
2017_2019,Landsat,20,30,83.61,81.5,85.44,82.96,84.15
2017_2019,Landsat,20,40,84.63,82.46,86.54,84.3,84.91
2017_2019,Landsat,20,50,84.84,83.11,86.31,83.86,85.66
2017_2019,Landsat,20,60,84.22,82.59,85.61,82.96,85.28
2017_2019,Landsat,20,70,84.84,82.82,86.59,84.3,85.28
2017_2019,Landsat,20,80,84.63,82.46,86.54,84.3,84.91
2017_2019,Landsat,20,90,84.43,82.67,85.93,83.41,85.28
2017_2019,Landsat,20,100,84.22,82.3,85.88,83.41,84.91
2017_2019,Landsat,20,110,83.81,81.58,85.77,83.41,84.15
2017_2019,Landsat,20,120,84.22,81.74,86.43,84.3,84.15
2017_2019,Landsat,30,1,79.29,78.24,80.21,77.55,80.83
2017_2019,Landsat,30,10,85.87,83.33,88.35,87.46,84.46
2017_2019,Landsat,30,20,86.69,84.55,88.74,87.76,85.75
2017_2019,Landsat,30,30,85.87,83.9,87.73,86.59,85.23
2017_2019,Landsat,30,40,85.46,83.38,87.43,86.3,84.72
2017_2019,Landsat,30,50,85.73,83.66,87.7,86.59,84.97
