Year,Combo,Percent,Tree,Overall_ACC,Precisioin_non_built,Precisioin_built,Recall_non_built,Recall_built
2017_2019,Landsat,5,120,77.89,76.0,79.38,74.22,80.89
2017_2019,Landsat,7,1,75.82,71.58,79.71,76.4,75.34
2017_2019,Landsat,7,10,79.35,74.0,84.77,83.15,76.26
2017_2019,Landsat,7,20,78.59,73.85,83.17,80.9,76.71
2017_2019,Landsat,7,30,79.85,75.52,83.9,81.46,78.54
2017_2019,Landsat,7,40,80.1,76.19,83.65,80.9,79.45
2017_2019,Landsat,7,50,80.35,76.6,83.73,80.9,79.91
2017_2019,Landsat,7,60,80.1,76.76,83.02,79.78,80.37
2017_2019,Landsat,7,70,80.1,77.35,82.41,78.65,81.28
2017_2019,Landsat,7,80,80.86,78.33,82.95,79.21,82.19
2017_2019,Landsat,7,90,80.35,77.78,82.49,78.65,81.74
2017_2019,Landsat,7,100,80.35,77.78,82.49,78.65,81.74
2017_2019,Landsat,7,110,80.6,78.21,82.57,78.65,82.19
2017_2019,Landsat,7,120,81.11,78.14,83.64,80.34,81.74
2017_2019,Landsat,10,1,74.39,72.73,75.71,70.5,77.67
2017_2019,Landsat,10,10,77.89,74.02,81.66,79.69,76.38
2017_2019,Landsat,10,20,78.42,75.37,81.21,78.54,78.32
2017_2019,Landsat,10,30,78.07,75.76,80.07,76.63,79.29
2017_2019,Landsat,10,40,78.95,76.81,80.78,77.39,80.26
2017_2019,Landsat,10,50,78.77,75.93,81.33,78.54,78.96
2017_2019,Landsat,10,60,78.42,75.56,81.0,78.16,78.64
2017_2019,Landsat,10,70,78.25,75.28,80.94,78.16,78.32
2017_2019,Landsat,10,80,78.6,75.65,81.27,78.54,78.64
2017_2019,Landsat,10,90,79.12,76.49,81.46,78.54,79.61
2017_2019,Landsat,10,100,79.47,76.67,82.0,79.31,79.61
2017_2019,Landsat,10,110,79.47,76.87,81.79,78.93,79.94
2017_2019,Landsat,10,120,79.47,76.67,82.0,79.31,79.61
2017_2019,Landsat,20,1,75.94,74.01,77.33,70.22,80.47
2017_2019,Landsat,20,10,81.17,78.03,83.76,79.88,82.19
2017_2019,Landsat,20,20,80.56,79.22,81.54,75.94,84.22
2017_2019,Landsat,20,30,80.73,79.79,81.41,75.54,84.84
2017_2019,Landsat,20,40,81.52,80.54,82.23,76.73,85.31
2017_2019,Landsat,20,50,81.43,80.37,82.2,76.73,85.16
2017_2019,Landsat,20,60,81.08,80.08,81.8,76.13,85.0
2017_2019,Landsat,20,70,81.69,81.13,82.09,76.33,85.94
2017_2019,Landsat,20,80,81.52,81.05,81.85,75.94,85.94
2017_2019,Landsat,20,90,81.95,81.91,81.98,75.94,86.72
2017_2019,Landsat,20,100,82.3,82.2,82.37,76.53,86.88
2017_2019,Landsat,20,110,81.95,81.78,82.07,76.13,86.56
2017_2019,Landsat,20,120,82.21,82.3,82.15,76.13,87.03
2017_2019,Landsat,30,1,75.72,72.94,77.91,72.19,78.55
2017_2019,Landsat,30,10,80.2,76.24,83.73,80.61,79.88
2017_2019,Landsat,30,20,80.66,77.72,83.09,79.21,81.82
2017_2019,Landsat,30,30,81.23,78.63,83.33,79.34,82.74
2017_2019,Landsat,30,40,81.17,78.46,83.38,79.46,82.53
2017_2019,Landsat,30,50,81.28,78.81,83.28,79.21,82.94
2017_2019,Landsat,30,60,80.94,78.5,82.91,78.7,82.74
2017_2019,Landsat,30,70,81.28,78.95,83.15,78.95,83.15
2017_2019,Landsat,30,80,81.45,79.26,83.2,78.95,83.45
2017_2019,Landsat,30,90,81.51,79.28,83.28,79.08,83.45
2017_2019,Landsat,30,100,81.74,79.69,83.35,79.08,83.86
2017_2019,Landsat,30,110,81.91,79.92,83.47,79.21,84.07
2017_2019,Landsat,30,120,81.79,79.79,83.37,79.08,83.96
2017_2019,Landsat,50,1,74.52,71.07,77.47,72.91,75.84
2017_2019,Landsat,50,10,79.51,75.07,83.71,81.35,78.0
2017_2019,Landsat,50,20,81.86,79.06,84.25,81.05,82.53
2017_2019,Landsat,50,30,82.21,79.97,84.05,80.52,83.58
2017_2019,Landsat,50,40,82.48,80.18,84.38,80.97,83.71
2017_2019,Landsat,50,50,82.82,80.65,84.61,81.2,84.14
2017_2019,Landsat,50,60,83.13,80.97,84.91,81.58,84.39
2017_2019,Landsat,50,70,82.92,80.79,84.68,81.28,84.26
2017_2019,Landsat,50,80,83.06,81.08,84.68,81.2,84.57
2017_2019,Landsat,50,90,83.16,81.26,84.71,81.2,84.76
2017_2019,Landsat,50,100,83.06,81.22,84.55,80.97,84.76
2017_2019,Landsat,50,110,83.03,81.3,84.41,80.75,84.88
2017_2019,Landsat,50,120,83.23,81.73,84.43,80.67,85.32
2017_2019,Landsat,70,1,76.36,75.27,77.2,71.61,80.33
2017_2019,Landsat,70,10,81.32,78.73,83.58,80.79,81.76
2017_2019,Landsat,70,20,81.97,80.46,83.22,79.78,83.81
2017_2019,Landsat,70,30,82.14,80.97,83.09,79.46,84.39
2017_2019,Landsat,70,40,82.39,81.65,82.96,79.08,85.15
2017_2019,Landsat,70,50,82.24,81.7,82.66,78.6,85.28
2017_2019,Landsat,70,60,82.24,81.95,82.47,78.23,85.59
2017_2019,Landsat,70,70,82.39,81.79,82.85,78.87,85.33
2017_2019,Landsat,70,80,82.46,81.96,82.84,78.82,85.5
2017_2019,Landsat,70,90,82.24,81.95,82.47,78.23,85.59
2017_2019,Landsat,70,100,82.53,82.28,82.72,78.55,85.86
2017_2019,Landsat,70,110,82.41,82.23,82.55,78.28,85.86
2017_2019,Landsat,70,120,82.56,82.29,82.76,78.6,85.86
2017_2019,Landsat,100,1,77.04,73.44,80.02,75.26,78.45
2017_2019,Landsat,100,10,82.13,78.02,85.78,82.93,81.5
2017_2019,Landsat,100,20,82.74,79.34,85.63,82.4,83.01
2017_2019,Landsat,100,30,83.4,80.33,85.95,82.67,83.98
2017_2019,Landsat,100,40,83.3,80.34,85.75,82.36,84.04
2017_2019,Landsat,100,50,83.38,80.74,85.53,81.94,84.52
2017_2019,Landsat,100,60,83.4,80.88,85.43,81.75,84.7
2017_2019,Landsat,100,70,83.35,80.77,85.44,81.79,84.58
2017_2019,Landsat,100,80,83.48,80.97,85.51,81.86,84.76
2017_2019,Landsat,100,90,83.4,80.84,85.47,81.83,84.64
2017_2019,Landsat,100,100,83.5,80.93,85.58,81.98,84.7
2017_2019,Landsat,100,110,83.65,81.18,85.64,82.02,84.95
2017_2019,Landsat,100,120,83.53,80.99,85.59,81.98,84.76
2017_2019,Fourier,1,1,60.66,51.72,68.75,60.0,61.11
2017_2019,Fourier,1,10,72.13,64.29,78.79,72.0,72.22
2017_2019,Fourier,1,20,75.41,65.62,86.21,84.0,69.44
2017_2019,Fourier,1,30,68.85,60.0,77.42,72.0,66.67
2017_2019,Fourier,1,40,72.13,62.5,82.76,80.0,66.67
2017_2019,Fourier,1,50,68.85,59.38,79.31,76.0,63.89
2017_2019,Fourier,1,60,68.85,60.0,77.42,72.0,66.67
2017_2019,Fourier,1,70,68.85,60.0,77.42,72.0,66.67
2017_2019,Fourier,1,80,70.49,61.29,80.0,76.0,66.67
2017_2019,Fourier,1,90,70.49,61.29,80.0,76.0,66.67
2017_2019,Fourier,1,100,72.13,62.5,82.76,80.0,66.67
2017_2019,Fourier,1,110,70.49,61.29,80.0,76.0,66.67
2017_2019,Fourier,1,120,68.85,60.0,77.42,72.0,66.67
2017_2019,Fourier,2,1,68.03,67.8,68.25,66.67,69.35
2017_2019,Fourier,2,10,78.69,77.42,80.0,80.0,77.42
2017_2019,Fourier,2,20,80.33,79.03,81.67,81.67,79.03
2017_2019,Fourier,2,30,78.69,77.42,80.0,80.0,77.42
2017_2019,Fourier,2,40,80.33,80.0,80.65,80.0,80.65
2017_2019,Fourier,2,50,80.33,80.0,80.65,80.0,80.65
2017_2019,Fourier,2,60,80.33,80.0,80.65,80.0,80.65
2017_2019,Fourier,2,70,78.69,79.31,78.12,76.67,80.65
2017_2019,Fourier,2,80,79.51,80.7,78.46,76.67,82.26
2017_2019,Fourier,2,90,79.51,80.7,78.46,76.67,82.26
2017_2019,Fourier,2,100,79.51,80.7,78.46,76.67,82.26
2017_2019,Fourier,2,110,80.33,81.03,79.69,78.33,82.26
2017_2019,Fourier,2,120,81.15,81.36,80.95,80.0,82.26
2017_2019,Fourier,3,1,70.31,64.89,75.51,71.76,69.16
2017_2019,Fourier,3,10,76.04,70.1,82.11,80.0,72.9
2017_2019,Fourier,3,20,77.08,71.13,83.16,81.18,73.83
2017_2019,Fourier,3,30,75.52,70.21,80.61,77.65,73.83
2017_2019,Fourier,3,40,75.0,69.89,79.8,76.47,73.83
2017_2019,Fourier,3,50,76.56,73.26,79.25,74.12,78.5
2017_2019,Fourier,3,60,75.52,71.11,79.41,75.29,75.7
2017_2019,Fourier,3,70,75.0,70.33,79.21,75.29,74.77
2017_2019,Fourier,3,80,75.0,70.33,79.21,75.29,74.77
2017_2019,Fourier,3,90,76.04,71.91,79.61,75.29,76.64
2017_2019,Fourier,3,100,76.04,71.91,79.61,75.29,76.64
2017_2019,Fourier,3,110,75.0,70.79,78.64,74.12,75.7
2017_2019,Fourier,3,120,75.52,71.59,78.85,74.12,76.64
2017_2019,Fourier,5,1,64.56,60.15,68.42,62.5,66.24
2017_2019,Fourier,5,10,77.19,71.72,82.86,81.25,73.89
2017_2019,Fourier,5,20,80.0,75.91,83.78,81.25,78.98
2017_2019,Fourier,5,30,80.7,76.64,84.46,82.03,79.62
2017_2019,Fourier,5,40,80.0,75.54,84.25,82.03,78.34
2017_2019,Fourier,5,50,80.35,76.47,83.89,81.25,79.62
2017_2019,Fourier,5,60,80.0,75.91,83.78,81.25,78.98
2017_2019,Fourier,5,70,81.4,76.98,85.62,83.59,79.62
2017_2019,Fourier,5,80,81.05,77.21,84.56,82.03,80.25
2017_2019,Fourier,5,90,81.75,78.36,84.77,82.03,81.53
2017_2019,Fourier,5,100,81.75,77.94,85.23,82.81,80.89
2017_2019,Fourier,5,110,81.75,77.94,85.23,82.81,80.89
2017_2019,Fourier,5,120,81.4,77.78,84.67,82.03,80.89
2017_2019,Fourier,7,1,74.56,73.91,75.0,66.85,80.82
2017_2019,Fourier,7,10,81.36,78.26,84.04,80.9,81.74
2017_2019,Fourier,7,20,82.87,80.56,84.79,81.46,84.02
2017_2019,Fourier,7,30,83.88,83.93,83.84,79.21,87.67
2017_2019,Fourier,7,40,84.63,83.43,85.59,82.02,86.76
2017_2019,Fourier,7,50,84.38,82.95,85.52,82.02,86.3
2017_2019,Fourier,7,60,84.63,82.68,86.24,83.15,85.84
2017_2019,Fourier,7,70,84.63,82.68,86.24,83.15,85.84
2017_2019,Fourier,7,80,84.89,83.15,86.3,83.15,86.3
2017_2019,Fourier,7,90,84.13,82.86,85.14,81.46,86.3
2017_2019,Fourier,7,100,84.13,82.49,85.45,82.02,85.84
2017_2019,Fourier,7,110,83.88,82.39,85.07,81.46,85.84
2017_2019,Fourier,7,120,83.63,82.66,84.38,80.34,86.3
2017_2019,Fourier,10,1,76.67,76.23,76.99,71.26,81.23
2017_2019,Fourier,10,10,84.74,83.46,85.81,83.14,86.08
2017_2019,Fourier,10,20,83.86,82.13,85.34,82.76,84.79
2017_2019,Fourier,10,30,84.74,84.25,85.13,81.99,87.06
2017_2019,Fourier,10,40,85.09,83.59,86.36,83.91,86.08
2017_2019,Fourier,10,50,86.14,85.0,87.1,84.67,87.38
2017_2019,Fourier,10,60,85.61,84.29,86.73,84.29,86.73
2017_2019,Fourier,10,70,85.61,84.03,86.97,84.67,86.41
2017_2019,Fourier,10,80,85.79,84.09,87.25,85.06,86.41
2017_2019,Fourier,10,90,86.14,84.73,87.34,85.06,87.06
2017_2019,Fourier,10,100,86.32,85.06,87.38,85.06,87.38
2017_2019,Fourier,10,110,85.79,84.35,87.01,84.67,86.73
2017_2019,Fourier,10,120,85.44,84.23,86.45,83.91,86.73
2017_2019,Fourier,20,1,73.32,69.67,76.26,70.22,75.78
2017_2019,Fourier,20,10,84.48,80.52,87.99,85.6,83.59
2017_2019,Fourier,20,20,86.22,83.24,88.75,86.19,86.25
2017_2019,Fourier,20,30,85.79,83.33,87.8,84.81,86.56
2017_2019,Fourier,20,40,85.79,83.33,87.8,84.81,86.56
2017_2019,Fourier,20,50,85.79,83.46,87.68,84.62,86.72
2017_2019,Fourier,20,60,86.31,84.05,88.15,85.21,87.19
2017_2019,Fourier,20,70,86.57,84.68,88.09,85.01,87.81
2017_2019,Fourier,20,80,86.31,84.18,88.03,85.01,87.34
2017_2019,Fourier,20,90,85.61,83.79,87.05,83.63,87.19
2017_2019,Fourier,20,100,85.61,83.79,87.05,83.63,87.19
2017_2019,Fourier,20,110,85.88,84.16,87.23,83.83,87.5
2017_2019,Fourier,20,120,86.05,84.36,87.38,84.02,87.66
2017_2019,Fourier,30,1,75.61,71.48,79.23,75.13,76.0
2017_2019,Fourier,30,10,83.95,79.3,88.33,86.48,81.92
2017_2019,Fourier,30,20,84.69,80.89,88.08,85.84,83.76
2017_2019,Fourier,30,30,84.8,81.85,87.3,84.57,84.98
2017_2019,Fourier,30,40,85.2,82.09,87.87,85.33,85.09
2017_2019,Fourier,30,50,84.91,81.51,87.89,85.46,84.47
2017_2019,Fourier,30,60,85.08,81.96,87.76,85.2,84.98
2017_2019,Fourier,30,70,84.91,81.82,87.57,84.95,84.88
2017_2019,Fourier,30,80,84.74,81.52,87.53,84.95,84.58
2017_2019,Fourier,30,90,84.8,81.62,87.54,84.95,84.68
2017_2019,Fourier,30,100,84.69,81.42,87.51,84.95,84.47
2017_2019,Fourier,30,110,85.03,82.02,87.59,84.95,85.09
2017_2019,Fourier,30,120,85.08,82.12,87.61,84.95,85.19
2017_2019,Fourier,50,1,78.93,75.99,81.41,77.55,80.05
2017_2019,Fourier,50,10,85.21,80.83,89.39,87.9,83.02
2017_2019,Fourier,50,20,86.75,82.93,90.28,88.74,85.13
2017_2019,Fourier,50,30,86.92,83.61,89.89,88.13,85.94
2017_2019,Fourier,50,40,87.02,83.89,89.81,87.98,86.25
2017_2019,Fourier,50,50,87.06,84.25,89.51,87.52,86.68
2017_2019,Fourier,50,60,87.26,84.67,89.5,87.44,87.11
2017_2019,Fourier,50,70,87.06,84.25,89.51,87.52,86.68
2017_2019,Fourier,50,80,87.26,84.83,89.35,87.21,87.3
2017_2019,Fourier,50,90,87.47,85.05,89.54,87.44,87.48
2017_2019,Fourier,50,100,87.3,84.84,89.4,87.29,87.3
2017_2019,Fourier,50,110,87.36,85.01,89.37,87.21,87.48
2017_2019,Fourier,50,120,87.53,85.28,89.45,87.29,87.73
2017_2019,Fourier,70,1,79.11,78.39,79.66,74.71,82.78
2017_2019,Fourier,70,10,85.84,82.95,88.46,86.71,85.1
2017_2019,Fourier,70,20,86.47,84.21,88.45,86.5,86.44
2017_2019,Fourier,70,30,86.56,84.49,88.37,86.34,86.75
2017_2019,Fourier,70,40,86.81,84.68,88.67,86.71,86.89
2017_2019,Fourier,70,50,86.39,84.22,88.3,86.29,86.49
2017_2019,Fourier,70,60,86.59,84.5,88.41,86.39,86.75
2017_2019,Fourier,70,70,86.61,84.72,88.24,86.13,87.02
2017_2019,Fourier,70,80,86.56,84.74,88.13,85.97,87.07
2017_2019,Fourier,70,90,86.49,84.54,88.18,86.07,86.84
2017_2019,Fourier,70,100,86.64,84.88,88.14,85.97,87.2
2017_2019,Fourier,70,110,86.59,84.64,88.27,86.18,86.93
2017_2019,Fourier,70,120,86.49,84.72,88.01,85.81,87.07
2017_2019,Fourier,100,1,78.08,75.1,80.47,75.41,80.2
2017_2019,Fourier,100,10,85.98,82.02,89.51,87.44,84.82
2017_2019,Fourier,100,20,86.84,83.6,89.62,87.36,86.43
2017_2019,Fourier,100,30,86.92,83.97,89.42,87.02,86.85
2017_2019,Fourier,100,40,86.91,83.79,89.56,87.25,86.64
2017_2019,Fourier,100,50,86.91,83.87,89.49,87.13,86.73
2017_2019,Fourier,100,60,87.18,84.29,89.61,87.25,87.12
2017_2019,Fourier,100,70,86.97,84.14,89.35,86.9,87.03
2017_2019,Fourier,100,80,87.13,84.4,89.41,86.94,87.27
2017_2019,Fourier,100,90,87.14,84.33,89.51,87.09,87.18
2017_2019,Fourier,100,100,87.04,84.32,89.32,86.83,87.21
2017_2019,Fourier,100,110,86.99,84.3,89.24,86.71,87.21
2017_2019,Fourier,100,120,87.28,84.6,89.51,87.06,87.45
2017_2019,Landsat_Fourier,1,1,68.85,59.38,79.31,76.0,63.89
2017_2019,Landsat_Fourier,1,10,77.05,70.37,82.35,76.0,77.78
2017_2019,Landsat_Fourier,1,20,78.69,73.08,82.86,76.0,80.56
2017_2019,Landsat_Fourier,1,30,83.61,75.86,90.62,88.0,80.56
2017_2019,Landsat_Fourier,1,40,81.97,75.0,87.88,84.0,80.56
2017_2019,Landsat_Fourier,1,50,85.25,78.57,90.91,88.0,83.33
2017_2019,Landsat_Fourier,1,60,85.25,78.57,90.91,88.0,83.33
2017_2019,Landsat_Fourier,1,70,85.25,78.57,90.91,88.0,83.33
2017_2019,Landsat_Fourier,1,80,85.25,78.57,90.91,88.0,83.33
2017_2019,Landsat_Fourier,1,90,86.89,79.31,93.75,92.0,83.33
2017_2019,Landsat_Fourier,1,100,85.25,78.57,90.91,88.0,83.33
2017_2019,Landsat_Fourier,1,110,85.25,78.57,90.91,88.0,83.33
2017_2019,Landsat_Fourier,1,120,85.25,78.57,90.91,88.0,83.33
2017_2019,Landsat_Fourier,2,1,72.95,72.88,73.02,71.67,74.19
2017_2019,Landsat_Fourier,2,10,80.33,79.03,81.67,81.67,79.03
2017_2019,Landsat_Fourier,2,20,81.15,80.33,81.97,81.67,80.65
2017_2019,Landsat_Fourier,2,30,81.97,81.67,82.26,81.67,82.26
2017_2019,Landsat_Fourier,2,40,82.79,81.97,83.61,83.33,82.26
2017_2019,Landsat_Fourier,2,50,83.61,81.25,86.21,86.67,80.65
2017_2019,Landsat_Fourier,2,60,83.61,81.25,86.21,86.67,80.65
2017_2019,Landsat_Fourier,2,70,81.15,80.33,81.97,81.67,80.65
2017_2019,Landsat_Fourier,2,80,83.61,82.26,85.0,85.0,82.26
2017_2019,Landsat_Fourier,2,90,81.97,81.67,82.26,81.67,82.26
2017_2019,Landsat_Fourier,2,100,81.15,81.36,80.95,80.0,82.26
2017_2019,Landsat_Fourier,2,110,81.15,82.46,80.0,78.33,83.87
2017_2019,Landsat_Fourier,2,120,80.33,81.03,79.69,78.33,82.26
2017_2019,Landsat_Fourier,3,1,79.69,77.38,81.48,76.47,82.24
2017_2019,Landsat_Fourier,3,10,81.77,77.17,86.0,83.53,80.37
2017_2019,Landsat_Fourier,3,20,82.81,78.26,87.0,84.71,81.31
2017_2019,Landsat_Fourier,3,30,82.81,78.26,87.0,84.71,81.31
2017_2019,Landsat_Fourier,3,40,84.38,80.22,88.12,85.88,83.18
2017_2019,Landsat_Fourier,3,50,84.38,80.22,88.12,85.88,83.18
2017_2019,Landsat_Fourier,3,60,84.38,80.9,87.38,84.71,84.11
2017_2019,Landsat_Fourier,3,70,84.9,81.82,87.5,84.71,85.05
2017_2019,Landsat_Fourier,3,80,84.38,80.9,87.38,84.71,84.11
2017_2019,Landsat_Fourier,3,90,84.38,80.9,87.38,84.71,84.11
2017_2019,Landsat_Fourier,3,100,84.38,80.9,87.38,84.71,84.11
2017_2019,Landsat_Fourier,3,110,83.85,80.68,86.54,83.53,84.11
2017_2019,Landsat_Fourier,3,120,83.85,81.4,85.85,82.35,85.05
2017_2019,Landsat_Fourier,5,1,71.58,68.22,74.36,68.75,73.89
2017_2019,Landsat_Fourier,5,10,85.61,81.75,89.19,87.5,84.08
2017_2019,Landsat_Fourier,5,20,87.37,85.38,89.03,86.72,87.9
2017_2019,Landsat_Fourier,5,30,86.32,83.97,88.31,85.94,86.62
2017_2019,Landsat_Fourier,5,40,86.32,84.5,87.82,85.16,87.26
2017_2019,Landsat_Fourier,5,50,86.67,84.09,88.89,86.72,86.62
2017_2019,Landsat_Fourier,5,60,85.96,83.33,88.24,85.94,85.99
2017_2019,Landsat_Fourier,5,70,85.96,83.33,88.24,85.94,85.99
2017_2019,Landsat_Fourier,5,80,86.32,84.5,87.82,85.16,87.26
2017_2019,Landsat_Fourier,5,90,85.96,83.85,87.74,85.16,86.62
2017_2019,Landsat_Fourier,5,100,85.96,83.33,88.24,85.94,85.99
2017_2019,Landsat_Fourier,5,110,85.61,83.21,87.66,85.16,85.99
2017_2019,Landsat_Fourier,5,120,85.61,83.21,87.66,85.16,85.99
2017_2019,Landsat_Fourier,7,1,77.83,72.5,83.25,81.46,74.89
2017_2019,Landsat_Fourier,7,10,86.4,83.33,89.1,87.08,85.84
2017_2019,Landsat_Fourier,7,20,87.41,85.16,89.3,87.08,87.67
2017_2019,Landsat_Fourier,7,30,87.91,85.71,89.77,87.64,88.13
2017_2019,Landsat_Fourier,7,40,86.15,83.61,88.32,85.96,86.3
2017_2019,Landsat_Fourier,7,50,86.65,84.15,88.79,86.52,86.76
2017_2019,Landsat_Fourier,7,60,86.4,84.07,88.37,85.96,86.76
2017_2019,Landsat_Fourier,7,70,86.9,85.0,88.48,85.96,87.67
2017_2019,Landsat_Fourier,7,80,86.4,84.44,88.02,85.39,87.21
2017_2019,Landsat_Fourier,7,90,86.15,84.36,87.61,84.83,87.21
2017_2019,Landsat_Fourier,7,100,86.4,84.44,88.02,85.39,87.21
2017_2019,Landsat_Fourier,7,110,86.65,84.92,88.07,85.39,87.67
2017_2019,Landsat_Fourier,7,120,86.15,84.36,87.61,84.83,87.21
2017_2019,Landsat_Fourier,10,1,76.32,75.0,77.36,72.41,79.61
2017_2019,Landsat_Fourier,10,10,84.91,80.49,89.4,88.51,81.88
2017_2019,Landsat_Fourier,10,20,85.79,83.33,88.0,86.21,85.44
2017_2019,Landsat_Fourier,10,30,85.79,83.58,87.75,85.82,85.76
2017_2019,Landsat_Fourier,10,40,86.32,84.27,88.12,86.21,86.41
2017_2019,Landsat_Fourier,10,50,86.49,84.33,88.41,86.59,86.41
2017_2019,Landsat_Fourier,10,60,86.84,85.23,88.24,86.21,87.38
2017_2019,Landsat_Fourier,10,70,86.14,84.47,87.58,85.44,86.73
2017_2019,Landsat_Fourier,10,80,86.32,84.27,88.12,86.21,86.41
2017_2019,Landsat_Fourier,10,90,86.49,84.59,88.16,86.21,86.73
2017_2019,Landsat_Fourier,10,100,86.84,84.96,88.49,86.59,87.06
2017_2019,Landsat_Fourier,10,110,86.67,84.91,88.2,86.21,87.06
2017_2019,Landsat_Fourier,10,120,86.32,84.53,87.87,85.82,86.73
2017_2019,Landsat_Fourier,20,1,79.34,78.12,80.21,73.96,83.59
2017_2019,Landsat_Fourier,20,10,86.49,82.71,89.82,87.77,85.47
2017_2019,Landsat_Fourier,20,20,87.71,84.66,90.31,88.17,87.34
2017_2019,Landsat_Fourier,20,30,87.45,84.84,89.62,87.18,87.66
2017_2019,Landsat_Fourier,20,40,88.58,86.43,90.33,87.97,89.06
2017_2019,Landsat_Fourier,20,50,88.84,86.94,90.38,87.97,89.53
2017_2019,Landsat_Fourier,20,60,88.67,86.6,90.35,87.97,89.22
2017_2019,Landsat_Fourier,20,70,89.01,86.99,90.66,88.36,89.53
2017_2019,Landsat_Fourier,20,80,89.36,87.52,90.85,88.56,90.0
2017_2019,Landsat_Fourier,20,90,89.45,87.84,90.74,88.36,90.31
2017_2019,Landsat_Fourier,20,100,89.54,87.87,90.88,88.56,90.31
2017_2019,Landsat_Fourier,20,110,89.45,87.99,90.61,88.17,90.47
2017_2019,Landsat_Fourier,20,120,89.71,88.21,90.91,88.56,90.62
2017_2019,Landsat_Fourier,30,1,79.41,78.95,79.73,73.21,84.37
2017_2019,Landsat_Fourier,30,10,86.16,81.84,90.16,88.52,84.27
2017_2019,Landsat_Fourier,30,20,87.07,83.99,89.74,87.63,86.62
2017_2019,Landsat_Fourier,30,30,87.75,84.8,90.29,88.27,87.33
2017_2019,Landsat_Fourier,30,40,88.43,86.25,90.24,88.01,88.76
