Year,Combo,Percent,Tree,Overall_ACC,Precisioin_non_built,Precisioin_built,Recall_non_built,Recall_built
2017_2019,Landsat,1,1,73.77,64.52,83.33,80.0,69.44
2017_2019,Landsat,1,10,80.33,74.07,85.29,80.0,80.56
2017_2019,Landsat,1,20,78.69,73.08,82.86,76.0,80.56
2017_2019,Landsat,1,30,78.69,73.08,82.86,76.0,80.56
2017_2019,Landsat,1,40,77.05,70.37,82.35,76.0,77.78
2017_2019,Landsat,1,50,77.05,70.37,82.35,76.0,77.78
2017_2019,Landsat,1,60,77.05,70.37,82.35,76.0,77.78
2017_2019,Landsat,1,70,77.05,70.37,82.35,76.0,77.78
2017_2019,Landsat,1,80,77.05,70.37,82.35,76.0,77.78
2017_2019,Landsat,1,90,77.05,70.37,82.35,76.0,77.78
2017_2019,Landsat,1,100,77.05,70.37,82.35,76.0,77.78
2017_2019,Landsat,1,110,75.41,69.23,80.0,72.0,77.78
2017_2019,Landsat,1,120,75.41,69.23,80.0,72.0,77.78
2017_2019,Landsat,2,1,59.84,59.32,60.32,58.33,61.29
2017_2019,Landsat,2,10,77.05,75.0,79.31,80.0,74.19
2017_2019,Landsat,2,20,77.87,77.97,77.78,76.67,79.03
2017_2019,Landsat,2,30,76.23,76.27,76.19,75.0,77.42
2017_2019,Landsat,2,40,77.05,78.57,75.76,73.33,80.65
2017_2019,Landsat,2,50,77.05,77.59,76.56,75.0,79.03
2017_2019,Landsat,2,60,77.87,78.95,76.92,75.0,80.65
2017_2019,Landsat,2,70,77.05,78.57,75.76,73.33,80.65
2017_2019,Landsat,2,80,76.23,78.18,74.63,71.67,80.65
2017_2019,Landsat,2,90,76.23,78.18,74.63,71.67,80.65
2017_2019,Landsat,2,100,76.23,78.18,74.63,71.67,80.65
2017_2019,Landsat,2,110,77.05,78.57,75.76,73.33,80.65
2017_2019,Landsat,2,120,77.87,78.95,76.92,75.0,80.65
2017_2019,Landsat,3,1,75.0,74.03,75.65,67.06,81.31
2017_2019,Landsat,3,10,80.73,77.91,83.02,78.82,82.24
2017_2019,Landsat,3,20,81.77,81.25,82.14,76.47,85.98
2017_2019,Landsat,3,30,81.77,79.07,83.96,80.0,83.18
2017_2019,Landsat,3,40,81.25,79.52,82.57,77.65,84.11
2017_2019,Landsat,3,50,80.21,77.65,82.24,77.65,82.24
2017_2019,Landsat,3,60,81.77,80.49,82.73,77.65,85.05
2017_2019,Landsat,3,70,81.77,80.49,82.73,77.65,85.05
2017_2019,Landsat,3,80,81.77,81.25,82.14,76.47,85.98
2017_2019,Landsat,3,90,81.77,81.25,82.14,76.47,85.98
2017_2019,Landsat,3,100,81.77,81.25,82.14,76.47,85.98
2017_2019,Landsat,3,110,81.25,80.25,81.98,76.47,85.05
2017_2019,Landsat,3,120,81.25,80.25,81.98,76.47,85.05
2017_2019,Landsat,5,1,65.96,62.6,68.52,60.16,70.7
2017_2019,Landsat,5,10,75.09,71.11,78.67,75.0,75.16
2017_2019,Landsat,5,20,76.14,73.81,77.99,72.66,78.98
2017_2019,Landsat,5,30,76.14,74.19,77.64,71.88,79.62
2017_2019,Landsat,5,40,77.19,75.61,78.4,72.66,80.89
2017_2019,Landsat,5,50,77.54,76.67,78.18,71.88,82.17
2017_2019,Landsat,5,60,76.49,75.21,77.44,71.09,80.89
2017_2019,Landsat,5,70,77.19,76.92,77.38,70.31,82.8
2017_2019,Landsat,5,80,76.84,75.41,77.91,71.88,80.89
2017_2019,Landsat,5,90,76.84,75.83,77.58,71.09,81.53
2017_2019,Landsat,5,100,76.84,75.41,77.91,71.88,80.89
2017_2019,Landsat,5,110,77.89,76.42,79.01,73.44,81.53
