year,seed,Overall_ACC,Precisioin_non_built,Precisioin_built,Recall_non_built,Recall_built
1990_1992,0,94.46,94.79,93.97,95.79,92.57
1990_1992,1,92.48,88.48,96.04,95.2,90.37
1990_1992,2,87.94,87.01,88.63,85.0,90.21
1990_1992,3,87.13,83.11,89.09,78.79,91.53
1990_1992,4,91.87,91.86,91.88,85.29,95.65
1990_1992,5,92.6,86.64,94.34,81.68,96.04
1990_1992,6,95.34,94.4,95.62,86.22,98.33
1990_1992,7,94.33,92.8,95.6,94.59,94.12
1990_1992,8,95.24,97.07,93.9,92.06,97.78
1990_1992,9,94.95,94.92,94.98,95.29,94.58
1993_1995,0,97.25,98.19,95.92,97.14,97.41
1993_1995,1,92.72,92.51,92.91,92.16,93.22
1993_1995,2,88.3,89.88,87.13,83.77,92.09
1993_1995,3,86.11,78.33,89.6,77.18,90.2
1993_1995,4,91.7,92.13,91.47,85.71,95.43
1993_1995,5,92.29,85.84,94.08,80.0,96.01
1993_1995,6,95.48,93.13,96.35,90.33,97.45
1993_1995,7,96.89,96.8,96.97,96.45,97.26
1993_1995,8,95.46,94.96,95.87,94.96,95.87
1993_1995,9,92.96,91.43,94.54,94.51,91.46
1996_1998,0,95.09,95.13,95.02,96.21,93.63
1996_1998,1,94.0,94.05,93.96,92.67,95.11
1996_1998,2,86.3,85.71,86.74,82.84,89.05
1996_1998,3,85.74,83.98,86.55,74.25,92.12
1996_1998,4,91.02,87.01,93.08,86.64,93.29
1996_1998,5,92.34,88.65,93.35,78.38,96.8
1996_1998,6,95.66,95.26,95.77,87.01,98.55
1996_1998,7,94.45,93.77,95.0,93.77,95.0
1996_1998,8,94.06,92.83,94.97,93.2,94.69
1996_1998,9,94.98,95.56,94.35,94.8,95.18
1999_2001,0,96.67,96.81,96.48,97.5,95.52
1999_2001,1,94.4,92.71,95.68,94.24,94.51
1999_2001,2,87.16,82.75,90.58,87.19,87.13
1999_2001,3,84.66,81.14,86.44,75.2,90.05
1999_2001,4,90.09,88.7,90.81,83.27,93.97
1999_2001,5,90.88,82.49,93.38,78.81,94.7
1999_2001,6,94.05,91.32,94.96,85.82,97.04
1999_2001,7,95.67,94.44,96.63,95.58,95.74
1999_2001,8,96.12,94.67,97.21,96.25,96.02
1999_2001,9,93.64,93.55,93.75,94.31,92.92
2002_2004,0,94.15,93.96,94.4,95.56,92.41
2002_2004,1,90.93,90.08,91.61,89.72,91.91
2002_2004,2,88.46,86.89,89.73,87.22,89.46
2002_2004,3,82.99,81.73,83.55,69.11,91.04
2002_2004,4,90.3,82.79,94.6,89.78,90.56
2002_2004,5,92.59,90.21,93.26,79.1,97.12
2002_2004,6,95.05,94.26,95.3,86.14,98.17
2002_2004,7,94.68,93.63,95.52,94.34,94.96
2002_2004,8,95.05,93.04,96.93,96.58,93.73
2002_2004,9,92.8,94.08,91.08,93.43,91.94
