year,seed,band,importance
1990_1992,0,B1,82.57539557698158
1990_1992,0,B2,80.95256654126642
1990_1992,0,B3,96.9875475938903
1990_1992,0,B4,108.28610636131282
1990_1992,0,B5,103.1550598898657
1990_1992,0,B6,81.3222826138151
1990_1992,0,B7,129.71162420093637
1990_1992,0,DEM,129.6545820148726
1990_1992,0,EVI_constant,120.44814400069342
1990_1992,0,EVI_cos_1,104.71987049740085
1990_1992,0,EVI_cos_2,107.21721309295695
1990_1992,0,EVI_cos_3,114.96430820120408
1990_1992,0,EVI_sin_1,118.49576319655826
1990_1992,0,EVI_sin_2,120.99532697561028
1990_1992,0,EVI_sin_3,124.7882820865792
1990_1992,0,EVI_t,70.1009380070681
1990_1992,0,Mean_EVI,104.13059475050636
1990_1992,0,Mean_NDBI,140.03631203986745
1990_1992,0,Mean_NDVI,84.98758702063998
1990_1992,0,NDBI_constant,115.80899249060975
1990_1992,0,NDBI_cos_1,111.50634717867094
1990_1992,0,NDBI_cos_2,116.55734994625465
1990_1992,0,NDBI_cos_3,140.4741297205711
1990_1992,0,NDBI_sin_1,123.46762097726952
1990_1992,0,NDBI_sin_2,126.12208045961978
1990_1992,0,NDBI_sin_3,119.12205053219516
1990_1992,0,NDBI_t,82.87206137393372
1990_1992,0,NDVI_constant,121.79437375904756
1990_1992,0,NDVI_cos_1,93.60492613301692
1990_1992,0,NDVI_cos_2,96.80693446283117
1990_1992,0,NDVI_cos_3,112.07772897579241
1990_1992,0,NDVI_sin_1,117.24785932742292
1990_1992,0,NDVI_sin_2,111.94944935572217
1990_1992,0,NDVI_sin_3,107.99500151948034
1990_1992,0,NDVI_t,72.4416415788952
1990_1992,0,SLOPE,140.2075396533095
1990_1992,0,lrad,129.52256117463165
1990_1992,0,prec,129.72711293593198
1990_1992,0,pres,127.2281162633082
1990_1992,0,random,102.90154651862102
1990_1992,0,shum,130.00597503138766
1990_1992,0,srad,124.03922686874252
1990_1992,0,temp,143.55868501107685
1990_1992,0,wind,109.83013202590216
1990_1992,0,B6_VCID_1,
1990_1992,0,B6_VCID_2,
1990_1992,0,B8,
1990_1992,0,B10,
1990_1992,0,B11,
1990_1992,0,B9,
