param_n_estimators,split0_test_score,variable,value,year
1,0.8816530995616781,split1_test_score,0.8772698810269255,1990_1992
2,0.8979336255479023,split1_test_score,0.8841577958672511,1990_1992
3,0.9229805886036319,split1_test_score,0.9342517219787101,1990_1992
4,0.915466499686913,split1_test_score,0.9223544145272385,1990_1992
5,0.9411396368190357,split1_test_score,0.9311208515967438,1990_1992
6,0.9342517219787101,split1_test_score,0.9342517219787101,1990_1992
7,0.9386349405134627,split1_test_score,0.9398872886662493,1990_1992
8,0.9430181590482154,split1_test_score,0.9380087664370695,1990_1992
9,0.9461490294301816,split1_test_score,0.9380087664370695,1990_1992
10,0.9423919849718222,split1_test_score,0.9492798998121478,1990_1992
11,0.9436443331246086,split1_test_score,0.9417658108954289,1990_1992
12,0.949906073888541,split1_test_score,0.9398872886662493,1990_1992
13,0.9455228553537883,split1_test_score,0.939261114589856,1990_1992
14,0.9455228553537883,split1_test_score,0.9423919849718222,1990_1992
15,0.949906073888541,split1_test_score,0.9423919849718222,1990_1992
16,0.9486537257357546,split1_test_score,0.9492798998121478,1990_1992
17,0.9505322479649343,split1_test_score,0.9448966812773951,1990_1992
18,0.9467752035065748,split1_test_score,0.9430181590482154,1990_1992
19,0.9486537257357546,split1_test_score,0.9417658108954289,1990_1992
20,0.9536631183469004,split1_test_score,0.9430181590482154,1990_1992
21,0.9524107701941139,split1_test_score,0.9423919849718222,1990_1992
22,0.9480275516593613,split1_test_score,0.947401377582968,1990_1992
23,0.9511584220413275,split1_test_score,0.9517845961177207,1990_1992
24,0.9492798998121478,split1_test_score,0.9448966812773951,1990_1992
25,0.9461490294301816,split1_test_score,0.949906073888541,1990_1992
26,0.9511584220413275,split1_test_score,0.9436443331246086,1990_1992
27,0.9530369442705072,split1_test_score,0.9448966812773951,1990_1992
28,0.9530369442705072,split1_test_score,0.947401377582968,1990_1992
29,0.9536631183469004,split1_test_score,0.9461490294301816,1990_1992
30,0.954915466499687,split1_test_score,0.9442705072010019,1990_1992
31,0.9542892924232936,split1_test_score,0.949906073888541,1990_1992
32,0.9492798998121478,split1_test_score,0.9486537257357546,1990_1992
33,0.9530369442705072,split1_test_score,0.9524107701941139,1990_1992
34,0.9492798998121478,split1_test_score,0.9448966812773951,1990_1992
35,0.9524107701941139,split1_test_score,0.9542892924232936,1990_1992
36,0.9561678146524734,split1_test_score,0.9486537257357546,1990_1992
37,0.9574201628052599,split1_test_score,0.9467752035065748,1990_1992
38,0.9467752035065748,split1_test_score,0.9492798998121478,1990_1992
39,0.9530369442705072,split1_test_score,0.9517845961177207,1990_1992
40,0.9511584220413275,split1_test_score,0.9511584220413275,1990_1992
41,0.9542892924232936,split1_test_score,0.949906073888541,1990_1992
42,0.9511584220413275,split1_test_score,0.9480275516593613,1990_1992
43,0.9555416405760802,split1_test_score,0.9486537257357546,1990_1992
44,0.9536631183469004,split1_test_score,0.9461490294301816,1990_1992
45,0.9511584220413275,split1_test_score,0.949906073888541,1990_1992
46,0.9542892924232936,split1_test_score,0.9442705072010019,1990_1992
47,0.9555416405760802,split1_test_score,0.9492798998121478,1990_1992
48,0.9517845961177207,split1_test_score,0.9480275516593613,1990_1992
49,0.9561678146524734,split1_test_score,0.9505322479649343,1990_1992
50,0.9530369442705072,split1_test_score,0.9467752035065748,1990_1992
51,0.949906073888541,split1_test_score,0.9455228553537883,1990_1992
52,0.9517845961177207,split1_test_score,0.9505322479649343,1990_1992
53,0.9524107701941139,split1_test_score,0.9486537257357546,1990_1992
54,0.9492798998121478,split1_test_score,0.9486537257357546,1990_1992
55,0.9492798998121478,split1_test_score,0.949906073888541,1990_1992
56,0.9536631183469004,split1_test_score,0.947401377582968,1990_1992
57,0.9530369442705072,split1_test_score,0.9517845961177207,1990_1992
58,0.954915466499687,split1_test_score,0.9480275516593613,1990_1992
59,0.9530369442705072,split1_test_score,0.949906073888541,1990_1992
60,0.9536631183469004,split1_test_score,0.9492798998121478,1990_1992
61,0.9517845961177207,split1_test_score,0.9517845961177207,1990_1992
62,0.9555416405760802,split1_test_score,0.9486537257357546,1990_1992
63,0.9530369442705072,split1_test_score,0.9455228553537883,1990_1992
64,0.9505322479649343,split1_test_score,0.9480275516593613,1990_1992
65,0.9592986850344396,split1_test_score,0.9505322479649343,1990_1992
66,0.9561678146524734,split1_test_score,0.9486537257357546,1990_1992
67,0.9530369442705072,split1_test_score,0.9492798998121478,1990_1992
68,0.9542892924232936,split1_test_score,0.947401377582968,1990_1992
69,0.9524107701941139,split1_test_score,0.9505322479649343,1990_1992
70,0.9530369442705072,split1_test_score,0.9505322479649343,1990_1992
71,0.9561678146524734,split1_test_score,0.9480275516593613,1990_1992
72,0.954915466499687,split1_test_score,0.9524107701941139,1990_1992
73,0.9542892924232936,split1_test_score,0.9480275516593613,1990_1992
74,0.9542892924232936,split1_test_score,0.947401377582968,1990_1992
75,0.954915466499687,split1_test_score,0.947401377582968,1990_1992
76,0.9567939887288667,split1_test_score,0.9480275516593613,1990_1992
77,0.9542892924232936,split1_test_score,0.9511584220413275,1990_1992
78,0.954915466499687,split1_test_score,0.9492798998121478,1990_1992
79,0.960551033187226,split1_test_score,0.947401377582968,1990_1992
80,0.9530369442705072,split1_test_score,0.9505322479649343,1990_1992
81,0.9574201628052599,split1_test_score,0.9467752035065748,1990_1992
82,0.9555416405760802,split1_test_score,0.9461490294301816,1990_1992
83,0.9542892924232936,split1_test_score,0.9480275516593613,1990_1992
84,0.9530369442705072,split1_test_score,0.9480275516593613,1990_1992
85,0.9555416405760802,split1_test_score,0.9492798998121478,1990_1992
86,0.954915466499687,split1_test_score,0.9486537257357546,1990_1992
87,0.9567939887288667,split1_test_score,0.947401377582968,1990_1992
88,0.9517845961177207,split1_test_score,0.9505322479649343,1990_1992
89,0.9561678146524734,split1_test_score,0.947401377582968,1990_1992
90,0.954915466499687,split1_test_score,0.9480275516593613,1990_1992
91,0.9517845961177207,split1_test_score,0.949906073888541,1990_1992
92,0.954915466499687,split1_test_score,0.9517845961177207,1990_1992
93,0.954915466499687,split1_test_score,0.9492798998121478,1990_1992
94,0.9586725109580463,split1_test_score,0.9486537257357546,1990_1992
