Type,Year,Combo,Percent,Tree,Overall_ACC,Precisioin_non_built,Precisioin_built,Recall_non_built,Recall_built
Each_year,2017_2019,Landsat,100,1,88.71,89.25,88.11,89.12,88.26
Invarient,2017_2019,Landsat,100,1,77.75,77.25,78.24,77.72,77.78
Each_year,2017_2019,Landsat,100,10,92.68,91.39,94.22,94.94,90.22
Invarient,2017_2019,Landsat,100,10,83.07,81.07,85.23,85.6,80.6
Each_year,2017_2019,Landsat,100,20,92.76,91.77,93.92,94.63,90.72
Invarient,2017_2019,Landsat,100,20,83.44,82.04,84.91,84.99,81.94
Each_year,2017_2019,Landsat,100,30,92.82,91.93,93.85,94.56,90.92
Invarient,2017_2019,Landsat,100,30,84.07,82.88,85.28,85.26,82.91
Each_year,2017_2019,Landsat,100,40,92.88,92.04,93.86,94.56,91.05
Invarient,2017_2019,Landsat,100,40,84.44,83.45,85.45,85.34,83.57
Each_year,2017_2019,Landsat,100,50,92.9,92.1,93.83,94.52,91.13
Invarient,2017_2019,Landsat,100,50,84.22,83.25,85.19,85.07,83.39
Each_year,2017_2019,Landsat,100,60,92.88,92.13,93.75,94.44,91.17
Invarient,2017_2019,Landsat,100,60,84.37,83.45,85.29,85.15,83.61
Each_year,2017_2019,Landsat,100,70,92.76,92.08,93.55,94.25,91.13
Invarient,2017_2019,Landsat,100,70,84.44,83.65,85.23,85.03,83.87
Each_year,2017_2019,Landsat,100,80,92.74,92.02,93.58,94.29,91.05
Invarient,2017_2019,Landsat,100,80,84.61,83.84,85.39,85.18,84.06
Each_year,2017_2019,Landsat,100,90,92.78,92.12,93.55,94.25,91.17
Invarient,2017_2019,Landsat,100,90,84.46,83.74,85.19,84.95,83.98
Each_year,2017_2019,Landsat,100,100,92.74,92.02,93.58,94.29,91.05
Invarient,2017_2019,Landsat,100,100,84.44,83.76,85.13,84.88,84.02
Each_year,2017_2019,Landsat,100,110,92.8,92.06,93.66,94.37,91.09
Invarient,2017_2019,Landsat,100,110,84.39,83.66,85.11,84.88,83.91
Each_year,2017_2019,Landsat,100,120,92.8,92.09,93.63,94.33,91.13
Invarient,2017_2019,Landsat,100,120,84.46,83.79,85.13,84.88,84.06
Each_year,2017_2019,Fourier,100,1,90.5,91.83,89.11,89.8,91.26
Invarient,2017_2019,Fourier,100,1,81.69,81.02,82.36,82.04,81.35
Each_year,2017_2019,Fourier,100,10,95.69,95.0,96.47,96.84,94.42
Invarient,2017_2019,Fourier,100,10,87.78,84.65,91.37,91.85,83.84
Each_year,2017_2019,Fourier,100,20,96.12,95.44,96.9,97.22,94.92
Invarient,2017_2019,Fourier,100,20,88.89,86.56,91.44,91.69,86.18
Each_year,2017_2019,Fourier,100,30,96.12,95.61,96.7,97.03,95.13
Invarient,2017_2019,Fourier,100,30,89.19,87.3,91.21,91.35,87.11
Each_year,2017_2019,Fourier,100,40,96.18,95.62,96.82,97.15,95.13
