Type,Year,Combo,Percent,Tree,Overall_ACC,Precisioin_non_built,Precisioin_built,Recall_non_built,Recall_built
Visaull,2008_2010,Landsat,100,10,90.32,91.24,67.52,98.57,23.87
Invarient,2008_2010,Landsat,100,10,79.32,78.03,80.66,80.81,77.86
Visaull,2008_2010,Landsat,100,20,90.58,91.56,68.99,98.5,26.89
Invarient,2008_2010,Landsat,100,20,80.22,79.96,80.48,79.93,80.51
Visaull,2008_2010,Landsat,100,30,90.45,91.52,67.18,98.39,26.59
Invarient,2008_2010,Landsat,100,30,80.53,80.53,80.52,79.82,81.22
Visaull,2008_2010,Landsat,100,40,90.45,91.52,67.18,98.39,26.59
Invarient,2008_2010,Landsat,100,40,80.71,80.77,80.66,79.93,81.48
Visaull,2008_2010,Landsat,100,50,90.58,91.73,67.38,98.27,28.7
Invarient,2008_2010,Landsat,100,50,80.66,80.89,80.44,79.59,81.7
Visaull,2008_2010,Landsat,100,60,90.48,91.78,65.54,98.09,29.31
Invarient,2008_2010,Landsat,100,60,80.66,80.91,80.42,79.55,81.74
Visaull,2008_2010,Landsat,100,70,90.78,91.87,69.23,98.35,29.91
Invarient,2008_2010,Landsat,100,70,81.09,81.52,80.69,79.74,82.41
Visaull,2008_2010,Landsat,100,80,90.55,91.79,66.44,98.16,29.31
Invarient,2008_2010,Landsat,100,80,81.13,81.48,80.8,79.89,82.33
Visaull,2008_2010,Landsat,100,90,90.72,91.8,68.79,98.35,29.31
Invarient,2008_2010,Landsat,100,90,81.05,81.41,80.72,79.82,82.26
Visaull,2008_2010,Landsat,100,100,90.88,91.82,71.32,98.54,29.31
Invarient,2008_2010,Landsat,100,100,81.02,81.47,80.6,79.62,82.37
Visaull,2008_2010,Landsat,100,110,90.78,91.69,70.99,98.57,28.1
Invarient,2008_2010,Landsat,100,110,81.09,81.57,80.65,79.66,82.48
Visaull,2008_2010,Landsat,100,120,90.82,91.78,70.59,98.5,29.0
Invarient,2008_2010,Landsat,100,120,81.21,81.71,80.74,79.74,82.63
Visaull,2008_2010,Fourier,100,1,84.31,92.06,32.04,90.13,37.46
Invarient,2008_2010,Fourier,100,1,81.41,81.32,81.5,80.89,81.92
Visaull,2008_2010,Fourier,100,10,90.35,91.13,69.44,98.76,22.66
Invarient,2008_2010,Fourier,100,10,88.91,86.64,91.39,91.65,86.25
Visaull,2008_2010,Fourier,100,20,90.68,91.28,74.53,98.99,23.87
Invarient,2008_2010,Fourier,100,20,89.69,88.17,91.27,91.34,88.07
Visaull,2008_2010,Fourier,100,30,90.55,91.24,72.22,98.87,23.56
Invarient,2008_2010,Fourier,100,30,90.18,88.91,91.48,91.5,88.89
Visaull,2008_2010,Fourier,100,40,90.65,91.3,73.39,98.91,24.17
Invarient,2008_2010,Fourier,100,40,89.97,88.81,91.16,91.15,88.82
Visaull,2008_2010,Fourier,100,50,90.68,91.36,73.21,98.87,24.77
Invarient,2008_2010,Fourier,100,50,90.16,88.93,91.42,91.42,88.93
Visaull,2008_2010,Fourier,100,60,90.72,91.37,73.87,98.91,24.77
Invarient,2008_2010,Fourier,100,60,90.06,89.03,91.12,91.08,89.08
Visaull,2008_2010,Fourier,100,70,90.75,91.34,75.0,98.99,24.47
Invarient,2008_2010,Fourier,100,70,90.18,89.26,91.11,91.04,89.34
Visaull,2008_2010,Fourier,100,80,90.78,91.37,75.23,98.99,24.77
Invarient,2008_2010,Fourier,100,80,90.27,89.43,91.12,91.04,89.53
Visaull,2008_2010,Fourier,100,90,90.82,91.38,75.93,99.02,24.77
Invarient,2008_2010,Fourier,100,90,90.27,89.58,90.97,90.85,89.71
Visaull,2008_2010,Fourier,100,100,90.88,91.47,75.89,98.99,25.68
Invarient,2008_2010,Fourier,100,100,90.18,89.38,90.98,90.88,89.49
Visaull,2008_2010,Fourier,100,110,90.65,91.33,72.97,98.87,24.47
Invarient,2008_2010,Fourier,100,110,90.12,89.31,90.94,90.85,89.41
Visaull,2008_2010,Fourier,100,120,90.72,91.39,73.45,98.87,25.08
Invarient,2008_2010,Fourier,100,120,90.23,89.36,91.12,91.04,89.45
Visaull,2008_2010,Landsat_Fourier,100,1,86.78,92.89,40.74,92.19,43.2
Invarient,2008_2010,Landsat_Fourier,100,1,83.77,83.85,83.7,83.11,84.42
Visaull,2008_2010,Landsat_Fourier,100,10,91.72,92.27,80.29,98.99,33.23
Invarient,2008_2010,Landsat_Fourier,100,10,90.4,88.17,92.83,93.03,87.85
Visaull,2008_2010,Landsat_Fourier,100,20,92.02,92.65,80.26,98.87,36.86
Invarient,2008_2010,Landsat_Fourier,100,20,91.37,90.28,92.48,92.45,90.31
Visaull,2008_2010,Landsat_Fourier,100,30,91.99,92.59,80.54,98.91,36.25
Invarient,2008_2010,Landsat_Fourier,100,30,91.58,90.71,92.45,92.38,90.79
Visaull,2008_2010,Landsat_Fourier,100,40,92.15,92.6,83.33,99.1,36.25
Invarient,2008_2010,Landsat_Fourier,100,40,91.67,90.91,92.43,92.34,91.02
Visaull,2008_2010,Landsat_Fourier,100,50,92.25,92.7,83.67,99.1,37.16
Invarient,2008_2010,Landsat_Fourier,100,50,91.78,91.27,92.29,92.15,91.43
Visaull,2008_2010,Landsat_Fourier,100,60,92.35,92.82,83.55,99.06,38.37
Invarient,2008_2010,Landsat_Fourier,100,60,91.95,91.37,92.54,92.42,91.5
Visaull,2008_2010,Landsat_Fourier,100,70,92.29,92.76,83.33,99.06,37.76
Invarient,2008_2010,Landsat_Fourier,100,70,91.88,91.32,92.43,92.3,91.46
Visaull,2008_2010,Landsat_Fourier,100,80,92.35,92.85,83.12,99.02,38.67
Invarient,2008_2010,Landsat_Fourier,100,80,91.86,91.26,92.46,92.34,91.39
Visaull,2008_2010,Landsat_Fourier,100,90,92.19,92.72,82.12,98.99,37.46
Invarient,2008_2010,Landsat_Fourier,100,90,91.95,91.37,92.54,92.42,91.5
Visaull,2008_2010,Landsat_Fourier,100,100,92.29,92.82,82.47,98.99,38.37
Invarient,2008_2010,Landsat_Fourier,100,100,91.9,91.29,92.5,92.38,91.43
Visaull,2008_2010,Landsat_Fourier,100,110,92.25,92.82,81.94,98.95,38.37
Invarient,2008_2010,Landsat_Fourier,100,110,91.99,91.47,92.51,92.38,91.61
Visaull,2008_2010,Landsat_Fourier,100,120,92.25,92.76,82.78,99.02,37.76
Invarient,2008_2010,Landsat_Fourier,100,120,91.86,91.19,92.52,92.42,91.32
Visaull,2008_2010,Landsat_Mean,100,1,86.78,92.41,39.88,92.76,38.67
Invarient,2008_2010,Landsat_Mean,100,1,77.22,76.7,77.73,77.29,77.15
Visaull,2008_2010,Landsat_Mean,100,10,90.75,92.1,66.88,98.01,32.33
Invarient,2008_2010,Landsat_Mean,100,10,83.09,81.54,84.73,84.95,81.29
Visaull,2008_2010,Landsat_Mean,100,20,90.85,91.99,69.13,98.27,31.12
Invarient,2008_2010,Landsat_Mean,100,20,84.51,84.11,84.9,84.57,84.46
Visaull,2008_2010,Landsat_Mean,100,30,91.02,92.12,70.39,98.31,32.33
Invarient,2008_2010,Landsat_Mean,100,30,84.78,84.7,84.85,84.37,85.17
Visaull,2008_2010,Landsat_Mean,100,40,91.12,92.22,70.97,98.31,33.23
Invarient,2008_2010,Landsat_Mean,100,40,84.81,85.2,84.45,83.76,85.84
Visaull,2008_2010,Landsat_Mean,100,50,91.09,92.19,70.78,98.31,32.93
Invarient,2008_2010,Landsat_Mean,100,50,84.74,85.17,84.33,83.61,85.84
Visaull,2008_2010,Landsat_Mean,100,60,91.25,92.32,71.97,98.35,34.14
Invarient,2008_2010,Landsat_Mean,100,60,84.91,85.47,84.38,83.61,86.17
Visaull,2008_2010,Landsat_Mean,100,70,91.22,92.35,71.25,98.27,34.44
Invarient,2008_2010,Landsat_Mean,100,70,85.02,85.62,84.46,83.68,86.32
Visaull,2008_2010,Landsat_Mean,100,80,91.32,92.41,72.05,98.31,35.05
Invarient,2008_2010,Landsat_Mean,100,80,85.13,85.71,84.6,83.84,86.4
Visaull,2008_2010,Landsat_Mean,100,90,91.45,92.48,73.29,98.39,35.65
Invarient,2008_2010,Landsat_Mean,100,90,84.95,85.62,84.32,83.49,86.36
Visaull,2008_2010,Landsat_Mean,100,100,91.35,92.39,72.78,98.39,34.74
Invarient,2008_2010,Landsat_Mean,100,100,85.08,85.92,84.31,83.42,86.69
Visaull,2008_2010,Landsat_Mean,100,110,91.35,92.36,73.08,98.42,34.44
Invarient,2008_2010,Landsat_Mean,100,110,85.21,86.01,84.47,83.61,86.77
Visaull,2008_2010,Landsat_Mean,100,120,91.35,92.42,72.5,98.35,35.05
Invarient,2008_2010,Landsat_Mean,100,120,85.15,86.0,84.38,83.49,86.77
Visaull,2008_2010,Fourier_Mean,100,1,84.97,91.77,32.75,91.29,34.14
Invarient,2008_2010,Fourier_Mean,100,1,82.19,81.83,82.54,82.11,82.26
Visaull,2008_2010,Fourier_Mean,100,10,91.12,92.01,73.05,98.57,31.12
Invarient,2008_2010,Fourier_Mean,100,10,89.14,86.86,91.63,91.88,86.47
Visaull,2008_2010,Fourier_Mean,100,20,91.19,92.08,73.43,98.57,31.72
Invarient,2008_2010,Fourier_Mean,100,20,90.06,88.74,91.43,91.46,88.71
Visaull,2008_2010,Fourier_Mean,100,30,91.65,92.35,77.93,98.8,34.14
Invarient,2008_2010,Fourier_Mean,100,30,90.46,89.56,91.38,91.31,89.64
Visaull,2008_2010,Fourier_Mean,100,40,91.49,92.19,77.14,98.8,32.63
Invarient,2008_2010,Fourier_Mean,100,40,90.63,90.01,91.25,91.11,90.16
Visaull,2008_2010,Fourier_Mean,100,50,91.55,92.34,76.35,98.69,34.14
Invarient,2008_2010,Fourier_Mean,100,50,90.73,90.21,91.23,91.08,90.38
Visaull,2008_2010,Fourier_Mean,100,60,91.65,92.38,77.55,98.76,34.44
Invarient,2008_2010,Fourier_Mean,100,60,90.73,90.12,91.33,91.19,90.27
Visaull,2008_2010,Fourier_Mean,100,70,91.65,92.35,77.93,98.8,34.14
Invarient,2008_2010,Fourier_Mean,100,70,90.88,90.3,91.45,91.31,90.46
Visaull,2008_2010,Fourier_Mean,100,80,91.82,92.48,79.05,98.84,35.35
Invarient,2008_2010,Fourier_Mean,100,80,90.97,90.51,91.43,91.27,90.68
Visaull,2008_2010,Fourier_Mean,100,90,91.85,92.49,79.59,98.87,35.35
Invarient,2008_2010,Fourier_Mean,100,90,91.01,90.51,91.5,91.34,90.68
Visaull,2008_2010,Fourier_Mean,100,100,91.75,92.42,78.77,98.84,34.74
Invarient,2008_2010,Fourier_Mean,100,100,91.05,90.61,91.48,91.31,90.79
Visaull,2008_2010,Fourier_Mean,100,110,91.79,92.42,79.31,98.87,34.74
Invarient,2008_2010,Fourier_Mean,100,110,91.07,90.71,91.42,91.23,90.91
Visaull,2008_2010,Fourier_Mean,100,120,91.75,92.42,78.77,98.84,34.74
Invarient,2008_2010,Fourier_Mean,100,120,91.07,90.58,91.54,91.38,90.76
Visaull,2008_2010,Landsat_Fourier_Mean,100,1,86.51,92.97,40.0,91.78,44.11
Invarient,2008_2010,Landsat_Fourier_Mean,100,1,83.64,83.21,84.06,83.72,83.56
Visaull,2008_2010,Landsat_Fourier_Mean,100,10,91.15,92.19,71.71,98.39,32.93
Invarient,2008_2010,Landsat_Fourier_Mean,100,10,90.59,89.14,92.1,92.15,89.08
Visaull,2008_2010,Landsat_Fourier_Mean,100,20,91.99,92.83,77.58,98.61,38.67
Invarient,2008_2010,Landsat_Fourier_Mean,100,20,91.33,90.3,92.38,92.34,90.35
Visaull,2008_2010,Landsat_Fourier_Mean,100,30,91.95,92.76,77.78,98.65,38.07
Invarient,2008_2010,Landsat_Fourier_Mean,100,30,91.46,90.57,92.37,92.3,90.64
Visaull,2008_2010,Landsat_Fourier_Mean,100,40,92.25,92.91,80.75,98.84,39.27
Invarient,2008_2010,Landsat_Fourier_Mean,100,40,91.65,90.79,92.52,92.45,90.87
Visaull,2008_2010,Landsat_Fourier_Mean,100,50,92.02,92.77,78.75,98.72,38.07
Invarient,2008_2010,Landsat_Fourier_Mean,100,50,91.9,91.11,92.69,92.61,91.2
Visaull,2008_2010,Landsat_Fourier_Mean,100,60,92.12,92.84,79.5,98.76,38.67
Invarient,2008_2010,Landsat_Fourier_Mean,100,60,91.78,90.93,92.64,92.57,91.02
Visaull,2008_2010,Landsat_Fourier_Mean,100,70,92.29,92.97,80.49,98.8,39.88
Invarient,2008_2010,Landsat_Fourier_Mean,100,70,91.9,91.33,92.46,92.34,91.46
Visaull,2008_2010,Landsat_Fourier_Mean,100,80,92.22,92.84,81.01,98.87,38.67
Invarient,2008_2010,Landsat_Fourier_Mean,100,80,91.88,91.35,92.4,92.26,91.5
Visaull,2008_2010,Landsat_Fourier_Mean,100,90,92.15,92.84,80.0,98.8,38.67
Invarient,2008_2010,Landsat_Fourier_Mean,100,90,91.95,91.3,92.6,92.49,91.43
Visaull,2008_2010,Landsat_Fourier_Mean,100,100,92.15,92.81,80.38,98.84,38.37
Invarient,2008_2010,Landsat_Fourier_Mean,100,100,92.05,91.54,92.55,92.42,91.69
Visaull,2008_2010,Landsat_Fourier_Mean,100,110,92.29,93.0,80.12,98.76,40.18
Invarient,2008_2010,Landsat_Fourier_Mean,100,110,92.03,91.44,92.61,92.49,91.58
Visaull,2008_2010,Landsat_Fourier_Mean,100,120,92.49,93.08,82.32,98.91,40.79
Invarient,2008_2010,Landsat_Fourier_Mean,100,120,91.95,91.4,92.5,92.38,91.54
