Type,Year,Combo,Percent,Tree,Overall_ACC,Precisioin_non_built,Precisioin_built,Recall_non_built,Recall_built
Visaull,2017_2019,Landsat_Mean,100,100,91.84,93.53,72.2,97.5,49.01
Invarient,2017_2019,Landsat_Mean,100,100,85.76,85.49,86.04,86.37,85.14
Visaull,2017_2019,Landsat_Mean,100,110,91.84,93.56,72.02,97.47,49.3
Invarient,2017_2019,Landsat_Mean,100,110,85.74,85.56,85.92,86.21,85.26
Visaull,2017_2019,Landsat_Mean,100,120,91.74,93.46,71.67,97.47,48.45
Invarient,2017_2019,Landsat_Mean,100,120,85.76,85.7,85.81,86.06,85.45
Visaull,2017_2019,Fourier_Mean,100,1,86.9,93.23,44.56,91.84,49.58
Invarient,2017_2019,Fourier_Mean,100,1,80.98,81.92,80.08,79.83,82.14
Visaull,2017_2019,Fourier_Mean,100,10,91.57,92.5,77.05,98.43,39.72
Invarient,2017_2019,Fourier_Mean,100,10,89.22,86.88,91.92,92.56,85.84
Visaull,2017_2019,Fourier_Mean,100,20,91.97,92.96,77.89,98.36,43.66
Invarient,2017_2019,Fourier_Mean,100,20,89.35,87.53,91.4,91.95,86.72
Visaull,2017_2019,Fourier_Mean,100,30,92.17,93.09,79.1,98.43,44.79
Invarient,2017_2019,Fourier_Mean,100,30,89.7,87.88,91.73,92.25,87.11
Visaull,2017_2019,Fourier_Mean,100,40,91.94,92.86,78.35,98.43,42.82
Invarient,2017_2019,Fourier_Mean,100,40,89.93,88.26,91.77,92.25,87.57
Visaull,2017_2019,Fourier_Mean,100,50,91.9,92.86,77.95,98.4,42.82
Invarient,2017_2019,Fourier_Mean,100,50,89.93,88.4,91.6,92.06,87.76
Visaull,2017_2019,Fourier_Mean,100,60,91.8,92.82,77.04,98.32,42.54
Invarient,2017_2019,Fourier_Mean,100,60,89.98,88.47,91.65,92.1,87.84
Visaull,2017_2019,Fourier_Mean,100,70,91.8,92.82,77.04,98.32,42.54
Invarient,2017_2019,Fourier_Mean,100,70,89.98,88.44,91.68,92.14,87.8
Visaull,2017_2019,Fourier_Mean,100,80,91.9,92.95,77.11,98.29,43.66
Invarient,2017_2019,Fourier_Mean,100,80,90.1,88.55,91.8,92.25,87.91
Visaull,2017_2019,Fourier_Mean,100,90,91.97,92.99,77.61,98.32,43.94
Invarient,2017_2019,Fourier_Mean,100,90,90.27,88.82,91.86,92.29,88.22
Visaull,2017_2019,Fourier_Mean,100,100,91.94,92.92,77.78,98.36,43.38
Invarient,2017_2019,Fourier_Mean,100,100,90.37,88.81,92.08,92.52,88.18
Visaull,2017_2019,Fourier_Mean,100,110,92.03,93.02,78.11,98.36,44.23
Invarient,2017_2019,Fourier_Mean,100,110,90.29,88.79,91.93,92.37,88.18
Visaull,2017_2019,Fourier_Mean,100,120,92.07,92.96,79.08,98.47,43.66
Invarient,2017_2019,Fourier_Mean,100,120,90.23,88.75,91.86,92.29,88.14
Visaull,2017_2019,Landsat_Fourier_Mean,100,1,87.49,93.83,46.96,91.87,54.37
Invarient,2017_2019,Landsat_Fourier_Mean,100,1,83.46,84.8,82.2,81.81,85.14
Visaull,2017_2019,Landsat_Fourier_Mean,100,10,92.2,93.62,75.21,97.84,49.58
Invarient,2017_2019,Landsat_Fourier_Mean,100,10,89.81,87.72,92.19,92.75,86.84
Visaull,2017_2019,Landsat_Fourier_Mean,100,20,92.79,94.16,77.42,97.91,54.08
Invarient,2017_2019,Landsat_Fourier_Mean,100,20,90.44,88.74,92.33,92.78,88.07
Visaull,2017_2019,Landsat_Fourier_Mean,100,30,92.4,93.85,75.62,97.8,51.55
Invarient,2017_2019,Landsat_Fourier_Mean,100,30,90.61,89.06,92.33,92.75,88.45
Visaull,2017_2019,Landsat_Fourier_Mean,100,40,92.36,94.0,74.31,97.58,52.96
Invarient,2017_2019,Landsat_Fourier_Mean,100,40,90.63,89.21,92.19,92.59,88.65
Visaull,2017_2019,Landsat_Fourier_Mean,100,50,92.26,93.87,74.19,97.61,51.83
Invarient,2017_2019,Landsat_Fourier_Mean,100,50,90.69,89.28,92.24,92.63,88.72
Visaull,2017_2019,Landsat_Fourier_Mean,100,60,92.17,93.74,74.07,97.65,50.7
Invarient,2017_2019,Landsat_Fourier_Mean,100,60,90.82,89.48,92.29,92.67,88.95
Visaull,2017_2019,Landsat_Fourier_Mean,100,70,92.2,93.74,74.38,97.69,50.7
