id,longitude,latitude,time,NDVI,NDBI,EVI,Fit_NDVI,Fit_NDBI,Fit_EVI,Y_fraction
LC08_122037_20180111,115.5211446653244,33.64599472481883,2018-01-11,0.02400396578013897,-0.8568612933158875,0.07416705042123795,0.15488267785450294,-0.5055859695502001,0.19046343050067985,2018.027397260274
LC08_123036_20180118,115.5211446653244,33.64599472481883,2018-01-18,0.03651846945285797,-0.12196561694145205,0.16694416105747226,0.14793195280163207,-0.3906180529549808,0.1753409334228362,2018.0465753424658
LC08_123037_20180203,115.5211446653244,33.64599472481883,2018-02-03,0.3336465358734131,-0.07405657321214676,0.2836527526378632,0.133427608719086,-0.1756000962578632,0.17249448810686108,2018.0904109589042
LC08_123036_20180203,115.5211446653244,33.64599472481883,2018-02-03,0.3253668248653412,-0.06909718364477158,0.2839060425758362,0.13342816724378806,-0.17558301726887748,0.17249875938616197,2018.0904109589042
LC08_122037_20180212,115.5211446653244,33.64599472481883,2018-02-12,0.3192436397075653,-0.05618525668978691,0.282211571931839,0.14807274718684038,-0.11493650652058207,0.21176639317785814,2018.1150684931506
LC08_123036_20180219,115.5211446653244,33.64599472481883,2018-02-19,0.052057329565286636,-0.0886639878153801,0.2467770129442215,0.1791134225399036,-0.106026411510026,0.267978747602732,2018.1342465753426
LC08_123036_20180307,115.5211446653244,33.64599472481883,2018-03-07,0.02170129120349884,-0.6106410026550293,0.2345045804977417,0.3187506484470015,-0.20142103472653616,0.4671030812307544,2018.1780821917807
LC08_122037_20180316,115.5211446653244,33.64599472481883,2018-03-16,0.2994691431522369,-0.16189588606357574,0.5497555136680603,0.42738750835328254,-0.3015677074843808,0.5988048118592619,2018.2027397260274
LC08_123037_20180323,115.5211446653244,33.64599472481883,2018-03-23,0.5974085927009583,-0.4089466333389282,0.6920756101608276,0.5151413536492893,-0.3849287567302469,0.6946598282791117,2018.2219178082191
LC08_123036_20180323,115.5211446653244,33.64599472481883,2018-03-23,0.5974851250648499,-0.4098607301712036,0.7036941647529602,0.5151413536492893,-0.3849287567302469,0.6946598282791117,2018.2219178082191
LC08_122037_20180401,115.5211446653244,33.64599472481883,2018-04-01,0.5263745784759521,-0.4324878752231598,0.8290640115737915,0.6164885932175244,-0.479397194006669,0.791532857401041,2018.2465753424658
LC08_123037_20180408,115.5211446653244,33.64599472481883,2018-04-08,0.7651393413543701,-0.5128307938575745,0.8765829205513,0.6755741332541563,-0.5308603865169061,0.835780045978753,2018.2658675799087
LC08_123036_20180408,115.5211446653244,33.64599472481883,2018-04-08,0.7641637921333313,-0.5149962306022644,0.8814424872398376,0.6755741332541563,-0.5308603865169061,0.835780045978753,2018.2658675799087
LC08_122037_20180417,115.5211446653244,33.64599472481883,2018-04-17,0.6995857954025269,-0.4718752801418304,0.8297142982482909,0.71352714057124,-0.5566284169106517,0.8429652613513348,2018.2905251141553
LC08_123036_20180424,115.5211446653244,33.64599472481883,2018-04-24,0.68672114610672,-0.5595221519470215,0.906472146511078,0.7081951604964356,-0.541691440633759,0.808161653697522,2018.309703196347
LC08_122037_20180503,115.5211446653244,33.64599472481883,2018-05-03,0.693861722946167,-0.460147351026535,0.7419167160987854,0.6556563999564728,-0.4801720935521061,0.7170400430589652,2018.3343607305935
LC08_123036_20180510,115.5211446653244,33.64599472481883,2018-05-10,0.6388498544692993,-0.4405751526355744,0.6387951970100403,0.5835822944816265,-0.40626537850057787,0.6191534495249122,2018.3535388127855
LC08_123037_20180510,115.5211446653244,33.64599472481883,2018-05-10,0.6371681690216064,-0.4361253380775452,0.631575882434845,0.5835822944816265,-0.40626537850057787,0.6191534495249122,2018.3535388127855
LC08_123036_20180526,115.5211446653244,33.64599472481883,2018-05-26,0.30732670426368713,-0.10762397199869156,0.23521022498607635,0.3608180387702369,-0.2031209398213143,0.3693170648305815,2018.3973744292236
LC08_123037_20180526,115.5211446653244,33.64599472481883,2018-05-26,0.3029879033565521,-0.1034434735774994,0.23019516468048096,0.3607920842324317,-0.2030990171674958,0.3692912219056996,2018.3973744292236
LC08_122037_20180604,115.5211446653244,33.64599472481883,2018-06-04,0.04196850210428238,-0.4672358334064484,0.2138814926147461,0.2365211685265756,-0.10327429785729336,0.25503384837970344,2018.4220319634703
LC08_123036_20180611,115.5211446653244,33.64599472481883,2018-06-11,0.24342018365859985,0.10788216441869736,0.2196016907691956,0.158899628320615,-0.047945650126262514,0.1974019581195261,2018.441210045662
LC08_123037_20180611,115.5211446653244,33.64599472481883,2018-06-11,0.2419947534799576,0.10739436000585556,0.2183004915714264,0.158899628320615,-0.047945650126262514,0.1974019581195261,2018.441210045662
LC08_123036_20180627,115.5211446653244,33.64599472481883,2018-06-27,0.07367675006389618,-0.1664959192276001,0.3799723088741303,0.08906214933796175,-0.01961881568429646,0.19918388198938075,2018.4850456621004
LC08_123037_20180627,115.5211446653244,33.64599472481883,2018-06-27,0.07254716008901596,-0.15583401918411255,0.3607626259326935,0.08906214933796175,-0.01961881568429646,0.19918388198938075,2018.4850456621004
LC08_123037_20180713,115.5211446653244,33.64599472481883,2018-07-13,0.2472033053636551,-0.1167449876666069,0.17452125251293182,0.18865792889446986,-0.11204749208878084,0.36976254535839903,2018.5288812785388
LC08_122037_20180722,115.5211446653244,33.64599472481883,2018-07-22,0.3595696985721588,0.015194799751043318,0.3676541447639465,0.3000185213857067,-0.18758662993070274,0.5035581096474244,2018.5535388127853
