year,seed,Overall_ACC,Precisioin_non_built,Precisioin_built,Recall_non_built,Recall_built
2017_2019,0,94.62,94.46,94.77,94.62,94.62
2017_2019,1,94.29,94.63,93.94,94.24,94.35
2017_2019,2,94.74,94.73,94.75,94.49,94.98
2017_2019,3,95.15,95.66,94.66,94.59,95.72
2017_2019,4,94.4,94.85,93.93,94.07,94.73
2017_2019,5,94.97,95.86,94.08,94.12,95.84
2017_2019,6,94.6,94.87,94.33,94.49,94.72
2017_2019,7,94.64,95.35,93.99,93.62,95.62
2017_2019,8,94.55,95.65,93.44,93.65,95.5
2017_2019,9,94.75,95.54,93.94,94.14,95.39
2014_2016,0,94.2,94.64,93.77,93.7,94.7
2014_2016,1,94.95,94.77,95.13,95.0,94.9
2014_2016,2,94.82,94.64,95.0,95.05,94.59
2014_2016,3,95.69,95.88,95.51,95.63,95.75
2014_2016,4,94.3,94.28,94.32,94.36,94.24
2014_2016,5,94.67,94.59,94.75,94.75,94.59
2014_2016,6,94.67,94.51,94.83,94.83,94.51
2014_2016,7,95.35,95.34,95.36,95.09,95.59
2014_2016,8,94.97,95.44,94.55,94.14,95.76
2014_2016,9,95.22,94.81,95.63,95.59,94.85
