year,seed,band,importance
2017_2019,1,pres,45.410826315929526
2017_2019,1,shum,65.4402294953195
2017_2019,1,srad,58.10433279670247
2017_2019,1,temp,77.92757622796269
2017_2019,1,wind,62.83294249060953
2017_2019,2,DEM,73.25332146794511
2017_2019,2,EVI_constant,57.740090050541
2017_2019,2,EVI_cos_1,60.982288741840996
2017_2019,2,EVI_cos_2,60.435052815104015
2017_2019,2,EVI_cos_3,56.52516539899387
2017_2019,2,EVI_sin_1,64.96445086279448
2017_2019,2,EVI_sin_2,69.93843429369798
2017_2019,2,EVI_sin_3,59.6927067189312
2017_2019,2,EVI_t,37.477550455642756
2017_2019,2,Landsat_B1,41.74410424745692
2017_2019,2,Landsat_B10,45.84342136414818
2017_2019,2,Landsat_B11,39.49891644226372
2017_2019,2,Landsat_B2,41.54113812399226
2017_2019,2,Landsat_B3,33.758509520851234
2017_2019,2,Landsat_B4,49.26293472348547
2017_2019,2,Landsat_B5,53.862597877279704
2017_2019,2,Landsat_B6,60.94523685799167
2017_2019,2,Landsat_B7,75.6506014880374
2017_2019,2,Landsat_B8,51.90659408210177
2017_2019,2,Landsat_B9,3.4647667949514176
2017_2019,2,Mean_EVI,57.881078598015
2017_2019,2,Mean_NDBI,47.85552886915004
2017_2019,2,Mean_NDVI,43.32382281239601
2017_2019,2,NDBI_constant,56.60064996723548
2017_2019,2,NDBI_cos_1,51.597084531864176
2017_2019,2,NDBI_cos_2,53.83991793829368
2017_2019,2,NDBI_cos_3,70.7930820217622
2017_2019,2,NDBI_sin_1,61.836200190947764
2017_2019,2,NDBI_sin_2,64.76949060438074
2017_2019,2,NDBI_sin_3,52.40949330935418
2017_2019,2,NDBI_t,43.02495078654918
2017_2019,2,NDVI_constant,55.6425652082868
2017_2019,2,NDVI_cos_1,47.754144649042104
2017_2019,2,NDVI_cos_2,55.38646790110863
2017_2019,2,NDVI_cos_3,59.73891681985796
2017_2019,2,NDVI_sin_1,66.47026054192932
2017_2019,2,NDVI_sin_2,73.5307287655976
2017_2019,2,NDVI_sin_3,55.729504012217646
2017_2019,2,NDVI_t,40.19058605267186
2017_2019,2,SLOPE,66.13598838748716
2017_2019,2,Sentinel_B1,64.3175432814557
2017_2019,2,Sentinel_B10,46.01687238250146
2017_2019,2,Sentinel_B11,62.44468044062262
2017_2019,2,Sentinel_B12,86.45734861850373
2017_2019,2,Sentinel_B2,70.24441309811387
2017_2019,2,Sentinel_B3,53.84379216529806
2017_2019,2,Sentinel_B4,59.273565665332505
2017_2019,2,Sentinel_B5,57.72385046518839
2017_2019,2,Sentinel_B6,59.317139056079654
2017_2019,2,Sentinel_B7,60.62165687068596
2017_2019,2,Sentinel_B8,71.11404083758411
2017_2019,2,Sentinel_B8A,61.42988295566067
2017_2019,2,Sentinel_B9,98.7949235117363
2017_2019,2,lrad,65.93927357758623
2017_2019,2,prec,55.193828617480996
2017_2019,2,pres,59.761849889621196
2017_2019,2,shum,77.28011592529234
2017_2019,2,srad,69.18893384060631
2017_2019,2,temp,64.66946372094482
2017_2019,2,wind,51.855659976053275
2017_2019,3,DEM,66.67476141235255
2017_2019,3,EVI_constant,49.395306472251654
2017_2019,3,EVI_cos_1,59.7755685145476
2017_2019,3,EVI_cos_2,57.37193844282211
2017_2019,3,EVI_cos_3,57.98406461094499
2017_2019,3,EVI_sin_1,67.28022838537927
2017_2019,3,EVI_sin_2,65.1703408262829
2017_2019,3,EVI_sin_3,59.79767963559256
