year,seed,Overall_ACC,Precisioin_non_built,Precisioin_built,Recall_non_built,Recall_built
2017_2019,0,92.66,92.09,93.21,92.95,92.38
2017_2019,1,93.76,93.22,94.32,94.54,92.95
2017_2019,2,93.72,93.38,94.07,94.38,93.02
2017_2019,3,94.63,94.56,94.7,94.8,94.46
2017_2019,4,93.84,94.21,93.5,93.18,94.48
2017_2019,5,94.41,94.61,94.2,94.31,94.51
2017_2019,6,93.79,93.82,93.76,93.9,93.67
2017_2019,7,93.6,94.12,93.1,92.89,94.29
2017_2019,8,93.46,92.69,94.25,94.3,92.63
2017_2019,9,94.42,94.29,94.55,94.69,94.14
2014_2016,0,94.05,93.65,94.45,94.49,93.6
2014_2016,1,93.7,94.24,93.16,93.29,94.13
2014_2016,2,94.63,94.46,94.8,94.86,94.39
2014_2016,3,94.83,94.44,95.23,95.24,94.42
2014_2016,4,93.93,93.8,94.06,94.18,93.67
2014_2016,5,93.86,93.4,94.29,93.88,93.84
2014_2016,6,94.21,93.98,94.43,94.31,94.11
2014_2016,7,93.36,93.02,93.69,93.57,93.15
2014_2016,8,94.19,93.92,94.47,94.56,93.82
2014_2016,9,93.82,94.35,93.29,93.24,94.4
2011_2013,0,93.56,92.74,94.37,94.22,92.92
2011_2013,1,94.06,94.24,93.87,94.32,93.79
2011_2013,2,94.41,94.06,94.76,94.76,94.05
2011_2013,3,92.86,92.63,93.08,92.87,92.85
2011_2013,4,93.53,93.51,93.55,93.43,93.62
2011_2013,5,93.91,93.45,94.34,93.86,93.96
2011_2013,6,94.47,95.21,93.76,93.66,95.28
2011_2013,7,93.38,94.41,92.4,92.22,94.54
2011_2013,8,93.76,93.3,94.24,94.36,93.15
2011_2013,9,93.07,92.67,93.46,93.3,92.83
2008_2010,0,93.52,93.27,93.78,93.74,93.3
2008_2010,1,94.37,93.44,95.29,95.18,93.59
2008_2010,2,94.11,93.73,94.47,94.3,93.92
2008_2010,3,93.78,93.54,94.03,94.02,93.55
2008_2010,4,92.4,91.1,93.8,94.07,90.72
2008_2010,5,93.75,92.85,94.65,94.5,93.04
2008_2010,6,93.72,92.94,94.48,94.28,93.18
2008_2010,7,93.35,92.54,94.21,94.4,92.29
2008_2010,8,94.12,93.17,95.12,95.32,92.89
2008_2010,9,93.25,92.03,94.53,94.64,91.86
2005_2007,0,94.4,93.86,94.94,94.89,93.93
2005_2007,1,94.2,92.67,95.83,95.95,92.46
2005_2007,2,93.69,93.22,94.14,93.86,93.53
2005_2007,3,93.99,93.09,94.87,94.71,93.3
2005_2007,4,93.69,92.93,94.48,94.67,92.7
2005_2007,5,93.11,93.41,92.81,92.85,93.37
2005_2007,6,94.44,94.01,94.87,94.83,94.05
2005_2007,7,93.87,92.67,95.18,95.39,92.34
2005_2007,8,93.34,93.9,92.78,92.86,93.83
2005_2007,9,94.92,94.65,95.19,95.2,94.65
2002_2004,0,93.3,92.72,93.89,93.95,92.65
2002_2004,1,93.7,92.87,94.58,94.71,92.69
2002_2004,2,93.28,92.36,94.27,94.49,92.05
2002_2004,3,94.19,94.14,94.24,94.38,93.99
2002_2004,4,93.56,92.9,94.25,94.34,92.78
2002_2004,5,93.8,93.05,94.61,94.87,92.7
2002_2004,6,94.41,93.32,95.54,95.63,93.19
2002_2004,7,93.17,92.05,94.32,94.32,92.06
2002_2004,8,93.49,92.57,94.49,94.87,92.04
2002_2004,9,93.42,92.53,94.33,94.29,92.57
1999_2001,0,93.06,91.87,94.23,93.96,92.22
1999_2001,1,94.17,93.45,94.88,94.79,93.56
1999_2001,2,93.14,92.29,93.96,93.72,92.58
1999_2001,3,92.92,92.56,93.29,93.58,92.23
1999_2001,4,93.83,93.18,94.47,94.28,93.4
1999_2001,5,93.31,93.34,93.27,93.11,93.5
1999_2001,6,93.21,92.42,93.99,93.83,92.61
1999_2001,7,92.96,91.74,94.18,93.99,91.99
1999_2001,8,93.62,92.86,94.39,94.38,92.88
1999_2001,9,92.19,91.49,92.9,92.93,91.46
1996_1998,0,93.72,92.57,95.0,95.34,92.04
1996_1998,1,92.66,91.89,93.44,93.34,92.0
1996_1998,2,93.64,93.33,93.94,93.8,93.48
1996_1998,3,93.6,93.99,93.19,93.53,93.66
1996_1998,4,92.96,92.55,93.4,93.56,92.35
1996_1998,5,93.07,92.32,93.81,93.73,92.42
1996_1998,6,93.46,92.92,94.03,94.29,92.61
1996_1998,7,93.87,93.15,94.62,94.75,92.98
1996_1998,8,93.13,93.18,93.08,93.1,93.16
1996_1998,9,94.09,92.72,95.47,95.4,92.82
1993_1995,0,93.42,92.25,94.61,94.59,92.29
