year,seed,Overall_ACC,Precisioin_non_built,Precisioin_built,Recall_non_built,Recall_built
2005_2007,0,93.38,94.11,79.61,98.87,41.58
2005_2007,1,93.79,94.28,84.14,99.15,42.81
2005_2007,2,93.0,93.94,76.4,98.6,41.55
2005_2007,3,92.48,93.01,82.69,99.01,38.74
2005_2007,4,93.36,93.99,82.63,98.92,44.95
2005_2007,5,93.39,94.01,80.71,99.0,39.79
2005_2007,6,93.16,93.67,83.44,99.08,40.91
2005_2007,7,94.03,94.6,83.95,99.04,47.06
2005_2007,8,92.6,93.09,83.85,99.04,40.42
2005_2007,9,93.5,93.99,84.71,99.09,44.33
2008_2010,0,92.91,93.77,79.89,98.6,45.9
2008_2010,1,91.84,92.84,77.25,98.36,42.32
2008_2010,2,92.89,93.99,77.45,98.31,48.02
2008_2010,3,92.35,93.12,80.23,98.66,42.64
2008_2010,4,92.23,93.34,75.66,98.28,43.33
2008_2010,5,92.73,93.42,81.71,98.79,43.73
2008_2010,6,92.54,93.18,80.89,98.87,39.81
2008_2010,7,92.27,93.03,81.68,98.61,45.71
2008_2010,8,92.26,93.18,78.68,98.46,44.16
2008_2010,9,92.6,93.07,84.71,99.03,42.11
2011_2013,0,91.78,92.53,84.31,98.33,52.98
2011_2013,1,92.06,92.82,84.78,98.3,55.43
2011_2013,2,92.68,93.28,87.16,98.53,58.5
2011_2013,3,92.4,92.59,90.51,98.99,54.99
2011_2013,4,92.3,92.57,89.72,98.86,55.6
2011_2013,5,91.56,92.4,82.56,98.27,50.35
2011_2013,6,90.98,91.86,82.82,98.03,52.28
2011_2013,7,91.7,92.03,88.39,98.78,51.98
2011_2013,8,91.86,92.5,85.51,98.45,53.39
2011_2013,9,91.98,92.74,84.39,98.35,53.66
2014_2016,0,92.81,93.28,87.6,98.81,54.21
2014_2016,1,92.6,93.21,86.26,98.62,54.59
2014_2016,2,92.96,94.09,81.13,98.12,56.73
2014_2016,3,92.96,93.66,85.26,98.6,54.73
2014_2016,4,92.25,93.38,80.6,98.02,54.14
2014_2016,5,93.47,94.32,84.15,98.49,57.5
2014_2016,6,93.08,93.78,85.93,98.55,57.51
2014_2016,7,91.68,92.51,82.59,98.32,50.0
2014_2016,8,92.96,93.96,83.56,98.17,59.51
2014_2016,9,91.74,92.62,82.0,98.28,50.0
2017_2019,0,92.55,93.09,86.38,98.73,52.32
2017_2019,1,92.27,93.54,79.64,97.86,55.3
2017_2019,2,92.64,93.6,81.85,98.3,53.28
2017_2019,3,91.8,93.62,73.65,97.25,53.68
2017_2019,4,92.63,93.78,80.61,98.06,55.35
2017_2019,5,92.06,93.2,81.02,97.95,55.09
2017_2019,6,92.18,93.52,78.89,97.78,55.04
2017_2019,7,92.43,94.0,78.0,97.51,58.65
2017_2019,8,91.65,92.42,82.38,98.44,47.46
2017_2019,9,92.59,94.07,77.36,97.72,55.86
