system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,Mean_EVI,Mean_NDBI,Mean_NDVI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
000000000000000003ee,41,45,47,69,69,203,58,0,15,-212,-225,23,39,-216,178,-77,1,16,12,5,-1176,134,-78,-74,103,-57,36,4,-817,-116,-44,6,-147,83,-1,4,1.1737329,319.41666,0.076667786,101229.336,0.007250667,170.91667,286.52,2.1099973,"{""type"":""Point"",""coordinates"":[116.60882349609669,37.80564551154177]}"
000000000000000014d1,38,38,41,62,58,201,48,1,57,416,-123,29,26,-38,24,-39,0,14,10,5,1117,59,51,-94,1,-4,5,-4,837,-90,8,20,-36,2,-15,-2,3.5935814,335.75,0.076667786,100733.336,0.008354668,151.16667,287.5,1.9486638,"{""type"":""Point"",""coordinates"":[115.02716251603518,35.607375578708755]}"
000000000000000015c3,42,40,40,61,59,201,47,1,11,-8,-116,3,42,-74,40,-22,0,15,13,5,-961,38,-70,-64,44,-2,-5,3,-294,-83,-37,26,-56,8,5,1,2.193848,320.5,0.076667786,101262.0,0.007582667,167.91667,286.39334,2.4979973,"{""type"":""Point"",""coordinates"":[117.33241966044353,37.770338349400596]}"
0000000000000000172d,41,38,38,66,53,200,39,1,12,-438,-134,-10,28,-77,20,3,2,18,10,7,-798,57,-56,-61,57,5,-22,2,-621,-94,-55,19,-66,0,23,3,0.92740995,320.5,0.076667786,101262.0,0.007582667,167.91667,286.39334,2.4979973,"{""type"":""Point"",""coordinates"":[117.31624650092267,37.76279355041815]}"
00000000000000001824,46,43,43,63,67,200,56,1,13,-15,-105,4,42,-63,37,-27,0,14,14,4,-932,33,-76,-53,34,-1,0,3,-227,-76,-30,31,-49,13,-4,1,1.1730584,320.5,0.076667786,101262.0,0.007582667,167.91667,286.39334,2.4979973,"{""type"":""Point"",""coordinates"":[117.32055845164136,37.76306555558242]}"
00000000000000001869,34,34,34,57,44,198,32,1,63,-409,-121,-18,83,-19,26,-35,2,18,12,8,-801,87,-21,-17,52,-3,-4,2,-148,-115,-32,93,-16,25,-26,1,1.4640077,339.91666,0.076667786,100594.664,0.008317,147.25,288.08667,2.2139974,"{""type"":""Point"",""coordinates"":[114.98808295440278,35.06380670119266]}"
00000000000000001245,35,34,34,53,41,200,32,1,100,539,-126,-4,58,-34,43,-43,-1,17,3,5,-985,46,-19,-50,8,-35,17,3,78,-74,-29,30,-22,0,-22,0,1.4640794,340.33334,0.076667786,100236.664,0.007859,152.83333,288.94998,2.1906638,"{""type"":""Point"",""coordinates"":[113.3832435670655,35.070544402884416]}"
00000000000000001e71,37,36,35,60,49,200,37,1,83,557,-148,14,22,-51,26,-29,-1,19,8,7,-898,57,-19,-1,51,10,11,3,573,-120,0,25,-47,19,-18,-1,2.4387596,344.0,0.076667786,100404.664,0.007667667,143.58333,288.96332,2.3133307,"{""type"":""Point"",""coordinates"":[113.9755950101063,34.73017230127278]}"
000000000000000002d2,29,29,26,64,46,200,27,0,14,-480,-153,-4,3,-79,-2,46,2,19,9,8,552,148,-47,-35,49,-26,-20,-2,-499,-112,-42,-4,-69,-29,70,2,1.5000838,317.75,0.076667786,101236.0,0.0069120005,171.66667,286.52664,2.1399972,"{""type"":""Point"",""coordinates"":[116.67889381005048,38.15032510477103]}"
0000000000000000181a,44,42,46,62,67,202,60,1,15,-501,-102,28,21,-31,46,-51,2,11,15,0,-1720,22,-53,-77,18,23,23,6,-260,-60,-2,7,-16,12,-14,1,0.0,320.16666,0.076667786,101274.0,0.007455,170.33333,286.47333,2.0373306,"{""type"":""Point"",""coordinates"":[116.97911170667584,37.619692079410974]}"
