system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,Mean_EVI,Mean_NDBI,Mean_NDVI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
0000000000000000072f,38,34,32,68,42,194,25,1,29,-125,-114,-10,35,-46,25,28,1,19,7,5,-115,91,12,8,29,-12,15,0,60,-86,-19,26,-32,17,27,0,2.14404,371.08334,0.21750112,101015.336,0.012039667,137.0,291.57333,2.746664,"{""type"":""Point"",""coordinates"":[116.1555335785086,30.142836419731907]}"
0000000000000000069f,37,32,29,36,30,189,24,1,49,-286,-107,9,23,-26,30,17,2,10,4,0,-1591,51,8,0,-2,-29,44,8,-352,-73,-17,21,-23,19,19,2,2.8366263,360.25,0.19500111,98932.0,0.010877667,138.0,289.84332,2.5553305,"{""type"":""Point"",""coordinates"":[116.47973697970046,30.32878539276165]}"
000000000000000015ce,42,38,34,25,6,186,3,0,9,547,-15,34,-24,36,-2,-25,-3,-6,-3,-12,1310,-40,80,-73,43,-45,-64,-9,477,-11,45,-9,51,1,-22,-3,0.0,370.25,0.21250111,101255.336,0.0118143335,138.0,291.43332,2.8379972,"{""type"":""Point"",""coordinates"":[116.47165262949055,30.113999413219275]}"
0000000000000000163a,24,21,18,52,43,190,22,0,1365,627,-153,15,18,-73,-28,98,-2,18,5,5,264,87,-52,-22,27,-19,-66,-2,881,-142,7,11,-71,-34,87,-3,22.032898,309.0,0.16000111,85965.336,0.0071803336,139.0,280.99,1.2759972,"{""type"":""Point"",""coordinates"":[116.1649690363377,31.040792353470625]}"
00000000000000001645,26,21,16,64,43,191,17,0,898,506,-206,42,-10,-67,-57,99,-1,31,2,16,346,120,-54,-39,56,-28,-95,-2,592,-194,28,-15,-72,-42,77,-1,32.130585,309.0,0.16000111,85965.336,0.0071803336,139.0,280.99,1.2759972,"{""type"":""Point"",""coordinates"":[116.12642902593277,31.046450952707445]}"
00000000000000001643,25,19,16,41,27,187,13,0,954,-548,-260,2,54,-59,-12,47,4,28,-2,16,1201,52,-61,-33,53,-42,-58,-8,-190,-244,-38,56,-76,-1,35,2,17.93964,325.16666,0.16000111,90782.0,0.008236334,140.0,283.97665,1.1426638,"{""type"":""Point"",""coordinates"":[116.05689826320638,31.040252802243153]}"
000000000000000015d8,45,43,43,45,22,194,17,0,7,-27,-3,-10,7,12,-35,25,0,1,10,-7,-142,160,-95,67,18,-69,118,0,33,4,-18,12,12,-29,23,0,0.0,366.75,0.19250111,101237.336,0.011084334,141.0,290.87,3.0126638,"{""type"":""Point"",""coordinates"":[116.89772419424834,30.38969225405067]}"
000000000000000015e8,31,30,24,58,31,192,17,0,15,2078,-116,-105,116,-201,88,1,-10,29,-3,11,-1438,61,55,-63,17,-48,38,6,1788,-71,-93,82,-139,27,17,-8,1.4191366,366.75,0.19250111,101237.336,0.011084334,141.0,290.87,3.0126638,"{""type"":""Point"",""coordinates"":[116.89691263785664,30.32339433958804]}"
000000000000000015f0,32,30,25,57,33,193,16,0,12,503,-152,-81,108,-139,100,26,-1,25,0,10,-547,97,56,-54,-35,-53,29,2,643,-99,-81,74,-89,40,27,-2,0.0,366.75,0.19250111,101237.336,0.011084334,141.0,290.87,3.0126638,"{""type"":""Point"",""coordinates"":[116.82630723177634,30.366513846774858]}"
000000000000000015f1,33,29,26,47,29,184,18,0,17,576,-142,-57,59,-141,34,44,-1,18,1,4,-657,90,55,-18,13,-34,12,2,812,-106,-61,37,-122,13,37,-3,3.3512914,366.75,0.19250111,101237.336,0.011084334,141.0,290.87,3.0126638,"{""type"":""Point"",""coordinates"":[116.8025892732731,30.35061715151932]}"
0000000000000000160d,28,22,17,40,29,186,15,0,369,-580,-143,3,0,36,-95,38,5,25,1,9,-192,55,-24,-16,-14,16,-30,0,-1177,-70,-63,-6,61,-84,11,8,41.485256,360.41666,0.29000112,97134.0,0.011457001,141.0,290.79666,5.553331,"{""type"":""Point"",""coordinates"":[118.19129603254986,30.491560417616643]}"
0000000000000000161a,28,27,21,64,37,193,18,0,146,-119,-59,-42,2,42,11,-61,2,27,1,11,-575,93,-14,-18,-88,-29,7,2,-770,-30,-70,0,61,-6,-46,5,4.389513,359.33334,0.26083446,97482.664,0.011388,141.0,290.19333,4.3639975,"{""type"":""Point"",""coordinates"":[118.46321647389,30.351691794873204]}"
00000000000000001624,30,26,24,39,31,192,16,0,127,271,-138,24,-12,-35,42,-19,0,20,0,6,-497,101,-71,-19,-44,-34,-78,1,-273,-98,-15,-10,-1,19,-14,2,4.394593,362.33334,0.28083444,97886.0,0.0116116665,141.0,290.98334,5.237331,"{""type"":""Point"",""coordinates"":[118.22875694049984,30.47027266918749]}"
00000000000000001617,27,23,18,54,35,193,16,0,330,-710,-30,-62,7,-66,9,30,6,33,0,16,321,66,4,4,41,3,-32,-3,-654,-10,-97,-4,-27,-28,8,5,31.982676,353.75,0.2725011,95345.336,0.011154334,142.0,289.18665,4.1053305,"{""type"":""Point"",""coordinates"":[118.34167475647625,30.015092092752784]}"
000000000000000015a7,31,27,27,50,42,189,20,0,83,-847,-12,-105,129,-90,50,93,6,17,6,4,287,59,29,-32,4,-27,-13,-2,-882,-6,-115,121,-92,47,106,6,5.6480865,359.41666,0.24583445,98086.664,0.010895667,143.0,289.79,2.4953306,"{""type"":""Point"",""coordinates"":[116.92521009314177,29.69817040358124]}"
