system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,Mean_EVI,Mean_NDBI,Mean_NDVI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
00000000000000001b25,35,31,28,32,29,184,23,1,49,-602,-94,-29,4,-52,14,3,4,12,9,0,473,9,-43,11,-52,-55,-75,-3,-54,-68,-34,9,-23,13,-4,1,2.8366263,356.66666,0.18333445,98930.664,0.010497667,145.0,289.57,2.6559973,"{""type"":""Point"",""coordinates"":[116.47973697970046,30.32878539276165]}"
00000000000000001ca9,30,29,28,61,50,197,33,1,307,-293,-68,-6,18,-23,9,14,3,17,11,5,210,102,-27,-8,8,-52,-47,-1,-224,-57,-24,22,-26,0,13,2,9.864542,343.33334,0.16750112,96272.0,0.0095046675,145.0,287.30667,1.9546639,"{""type"":""Point"",""coordinates"":[116.34983890691251,30.785308158613443]}"
00000000000000000b76,27,25,22,48,38,195,22,0,378,494,-117,-22,6,-38,7,-20,-1,23,2,11,-645,109,-20,-48,20,-38,-38,3,47,-98,-27,-24,-39,-44,-21,1,13.156641,361.0,0.25583446,98020.0,0.011804667,145.0,291.04666,5.438664,"{""type"":""Point"",""coordinates"":[118.23145023753615,30.131514762157206]}"
00000000000000000b2c,31,28,21,81,42,196,18,0,27,-273,-152,-22,7,-25,128,-47,4,29,1,12,44,66,-21,-13,-31,-110,-32,-1,249,-109,-40,12,-28,101,-61,0,1.4200035,363.33334,0.17750111,101062.0,0.010915333,145.0,290.6,2.5053306,"{""type"":""Point"",""coordinates"":[116.42368162035758,30.427420708063874]}"
00000000000000001be5,31,28,26,37,34,195,25,1,126,190,-75,14,-16,-16,13,-13,0,11,9,0,298,41,-15,-18,2,-30,-22,-2,-29,-61,-12,-7,-4,2,-6,0,4.2497582,367.41666,0.24583444,99875.336,0.012184667,146.0,292.32,6.1379976,"{""type"":""Point"",""coordinates"":[117.95845515284205,30.294829338239666]}"
00000000000000001b23,30,25,23,33,31,192,23,1,165,530,-78,-10,23,-36,16,11,-2,12,7,2,-654,13,-1,-33,3,-22,-15,3,341,-67,-6,-15,-41,-3,0,-1,0.92740995,356.08334,0.2150011,99438.0,0.009892334,146.0,289.41,1.0306638,"{""type"":""Point"",""coordinates"":[118.28885224539714,29.620555290644955]}"
00000000000000001ca7,33,31,28,35,33,195,25,1,144,368,-70,5,2,-22,11,3,-1,10,8,0,-585,42,-2,-24,4,-44,-39,3,94,-66,3,-5,-29,4,-1,0,4.2345734,356.08334,0.2150011,99438.0,0.009892334,146.0,289.41,1.0306638,"{""type"":""Point"",""coordinates"":[118.29720860077128,29.67041249952353]}"
00000000000000001b24,36,32,29,39,28,192,21,1,30,-512,-40,-19,-4,-3,8,37,4,9,7,-1,293,19,-49,13,-52,-39,-56,-2,-218,-40,-25,-7,-4,19,12,2,1.0744821,363.16666,0.17916778,100974.0,0.010882334,146.0,290.61334,2.7453306,"{""type"":""Point"",""coordinates"":[116.53525278781585,30.333904440771008]}"
00000000000000001c69,37,30,27,35,28,182,22,1,53,-148,-98,0,-43,-18,-8,13,1,12,7,0,296,-15,-82,2,-63,-49,-79,-2,179,-75,-14,-17,-11,16,-15,0,3.856774,363.16666,0.17916778,100974.0,0.010882334,146.0,290.61334,2.7453306,"{""type"":""Point"",""coordinates"":[116.50964862956694,30.38214745506824]}"
00000000000000000b9c,30,27,25,57,45,193,28,0,312,141,-85,-24,60,0,-4,-18,0,22,7,8,-251,63,-8,-9,-24,-62,-78,0,-95,-55,-61,61,7,-23,-25,2,8.8827505,344.58334,0.15666778,97436.664,0.009508001,148.0,287.67334,2.314664,"{""type"":""Point"",""coordinates"":[116.560045389673,30.85591802379476]}"
00000000000000001adc,32,29,27,42,41,197,31,1,39,640,-16,-28,18,-4,-11,7,-3,8,3,-2,-40,92,-100,31,15,-44,-24,0,809,-34,-41,11,-10,-7,-5,-4,3.6960542,364.0,0.22666778,100455.336,0.011174667,148.0,290.76666,2.9566638,"{""type"":""Point"",""coordinates"":[116.81876243279393,29.684422995033458]}"
00000000000000001c0a,31,27,26,40,41,195,32,1,38,59,-18,-27,25,-15,-2,32,0,11,6,0,414,114,-65,0,3,-42,-15,-3,515,-34,-29,3,-11,-6,2,-2,2.9773657,364.0,0.22666778,100455.336,0.011174667,148.0,290.76666,2.9566638,"{""type"":""Point"",""coordinates"":[116.8060941267011,29.630253835436193]}"
00000000000000000265,32,31,30,58,50,201,34,0,141,619,-113,6,24,-30,10,-28,-2,17,6,6,-118,55,-24,-26,-18,-32,21,0,491,-117,-3,24,-33,13,-20,-2,2.7802885,345.16666,0.084167786,100246.664,0.009101001,149.0,288.31332,2.5559971,"{""type"":""Point"",""coordinates"":[113.91252994390742,32.91620553362994]}"
00000000000000001338,34,33,29,70,54,201,32,1,93,-328,-103,0,39,23,37,-97,3,26,4,13,-305,64,-2,-36,-30,-35,47,1,-785,-125,-16,35,24,44,-37,6,2.7802885,345.16666,0.084167786,100246.664,0.009101001,149.0,288.31332,2.5559971,"{""type"":""Point"",""coordinates"":[113.97666965346019,32.95608773345197]}"
00000000000000001a8d,28,24,21,37,34,194,23,1,253,-440,-68,16,-21,4,0,-1,4,16,5,4,-335,48,-52,-4,-19,0,-16,1,-326,-63,-5,-24,-3,-7,-6,3,10.932759,362.16666,0.22500111,99133.336,0.011665001,149.0,291.15332,5.041331,"{""type"":""Point"",""coordinates"":[117.69488660777498,30.125856162920385]}"
00000000000000000b43,26,19,15,30,25,187,11,0,484,-604,-243,14,46,-48,18,-2,5,19,0,7,127,50,-124,-40,39,-3,-29,-2,-489,-204,-39,39,-53,28,1,4,26.101479,360.33334,0.20333445,99666.0,0.010896667,149.0,290.25665,3.202664,"{""type"":""Point"",""coordinates"":[116.93922504775276,29.998383841105532]}"
00000000000000000b35,27,21,16,36,23,189,10,0,205,297,-130,-16,81,9,-76,2,0,19,-1,6,-998,163,-29,-31,-7,44,-4,4,466,-129,-54,73,-17,-51,-25,-1,44.386944,360.5,0.19666778,99680.0,0.011039667,150.0,290.36,3.5219972,"{""type"":""Point"",""coordinates"":[117.10711912061714,30.044740655657154]}"
