index,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err,year
15,"(6, 7, 13, 16, 17, 22, 24, 25, 30, 35, 37, 38, 39, 41, 42)",[0.9569354  0.95340681 0.94739479 0.95340681],0.9527859549845812,"('B7', 'DEM', 'EVI_sin_2', 'Mean_EVI', 'Mean_NDBI', 'NDBI_cos_3', 'NDBI_sin_2', 'NDBI_sin_3', 'NDVI_cos_3', 'SLOPE', 'prec', 'pres', 'shum', 'temp', 'wind')",0.005497870477159947,0.003429778237663218,0.0019801833887755794,1990_1992
16,"(3, 6, 7, 13, 16, 17, 22, 24, 25, 30, 35, 37, 38, 39, 41, 42)",[0.95543315 0.95240481 0.9488978  0.95340681],0.9525356421405656,"('B4', 'B7', 'DEM', 'EVI_sin_2', 'Mean_EVI', 'Mean_NDBI', 'NDBI_cos_3', 'NDBI_sin_2', 'NDBI_sin_3', 'NDVI_cos_3', 'SLOPE', 'prec', 'pres', 'shum', 'temp', 'wind')",0.0037938147767468964,0.0023667242458817015,0.0013664288804574145,1990_1992
17,"(2, 3, 6, 7, 13, 16, 17, 22, 24, 25, 30, 35, 37, 38, 39, 41, 42)",[0.95643465 0.95390782 0.95190381 0.95190381],0.9535375207099226,"('B3', 'B4', 'B7', 'DEM', 'EVI_sin_2', 'Mean_EVI', 'Mean_NDBI', 'NDBI_cos_3', 'NDBI_sin_2', 'NDBI_sin_3', 'NDVI_cos_3', 'SLOPE', 'prec', 'pres', 'shum', 'temp', 'wind')",0.0029847887759828747,0.0018620234198706955,0.0010750397226997337,1990_1992
18,"(2, 3, 6, 7, 13, 16, 17, 22, 24, 25, 30, 35, 36, 37, 38, 39, 41, 42)",[0.95843766 0.94839679 0.95390782 0.95140281],0.9530362678285966,"('B3', 'B4', 'B7', 'DEM', 'EVI_sin_2', 'Mean_EVI', 'Mean_NDBI', 'NDBI_cos_3', 'NDBI_sin_2', 'NDBI_sin_3', 'NDVI_cos_3', 'SLOPE', 'lrad', 'prec', 'pres', 'shum', 'temp', 'wind')",0.005896679357038345,0.003678570205912779,0.00212382349861668,1990_1992
19,"(2, 3, 6, 7, 13, 16, 17, 22, 24, 25, 30, 35, 36, 37, 38, 39, 40, 41, 42)",[0.95793691 0.9509018  0.9504008  0.95340681],0.9531615810489282,"('B3', 'B4', 'B7', 'DEM', 'EVI_sin_2', 'Mean_EVI', 'Mean_NDBI', 'NDBI_cos_3', 'NDBI_sin_2', 'NDBI_sin_3', 'NDVI_cos_3', 'SLOPE', 'lrad', 'prec', 'pres', 'shum', 'srad', 'temp', 'wind')",0.004781639735024667,0.0029829665816363685,0.0017222165588914153,1990_1992
20,"(2, 3, 6, 7, 11, 13, 16, 17, 22, 24, 25, 30, 35, 36, 37, 38, 39, 40, 41, 42)",[0.9569354  0.95390782 0.9488978  0.9504008 ],0.952535453982577,"('B3', 'B4', 'B7', 'DEM', 'EVI_cos_3', 'EVI_sin_2', 'Mean_EVI', 'Mean_NDBI', 'NDBI_cos_3', 'NDBI_sin_2', 'NDBI_sin_3', 'NDVI_cos_3', 'SLOPE', 'lrad', 'prec', 'pres', 'shum', 'srad', 'temp', 'wind')",0.005007375266518673,0.0031237888903105863,0.0018035203567123793,1990_1992
1,"(13,)",[0.74311467 0.76052104 0.76703407 0.74198397],0.7531634375410812,"('EVI_sin_2',)",0.01742181448894999,0.01086838266616881,0.006274863657968425,1993_1995
2,"(7, 13)",[0.81271908 0.79358717 0.80611222 0.80961924],0.805509428973119,"('DEM', 'EVI_sin_2')",0.01165261308841674,0.007269338000702888,0.004196954251536188,1993_1995
3,"(7, 11, 13)",[0.87330996 0.8747495  0.87124248 0.88827655],0.8768946255053924,"('DEM', 'EVI_cos_3', 'EVI_sin_2')",0.010721606482922103,0.006688541088896462,0.0038616309981602454,1993_1995
4,"(6, 7, 11, 13)",[0.90235353 0.8992986  0.8987976  0.91032064],0.9026925909906944,"('B7', 'DEM', 'EVI_cos_3', 'EVI_sin_2')",0.00738904409184411,0.004609563417076408,0.0026613326796957153,1993_1995
5,"(6, 7, 11, 13, 39)",[0.92288433 0.91983968 0.91983968 0.92785571],0.9226048491575037,"('B7', 'DEM', 'EVI_cos_3', 'EVI_sin_2', 'shum')",0.005252179401639267,0.003276506910608566,0.0018916921468415248,1993_1995
6,"(6, 7, 11, 13, 16, 39)",[0.93690536 0.9258517  0.9243487  0.93737475],0.9311201270844143,"('B7', 'DEM', 'EVI_cos_3', 'EVI_sin_2', 'Mean_EVI', 'shum')",0.009691004781477185,0.0060456130130170874,0.00349043630048172,1993_1995
7,"(6, 7, 11, 13, 16, 36, 39)",[0.94041062 0.93436874 0.92885772 0.94038076],0.936004457588186,"('B7', 'DEM', 'EVI_cos_3', 'EVI_sin_2', 'Mean_EVI', 'lrad', 'shum')",0.007700893609869607,0.004804106867089099,0.002773652392929621,1993_1995
8,"(6, 7, 11, 13, 16, 35, 36, 39)",[0.93990986 0.94438878 0.93086172 0.94839679],0.9408892898465936,"('B7', 'DEM', 'EVI_cos_3', 'EVI_sin_2', 'Mean_EVI', 'SLOPE', 'lrad', 'shum')",0.010453859295907444,0.006521510330526761,0.0037651957448525506,1993_1995
