Tree,CrossFolds,Accuracy,Year,In_Bands
24,split0_test_score,0.8344504021447721,1990_1992,Spectrum
24,split1_test_score,0.8376928236083165,1990_1992,Spectrum
24,split2_test_score,0.8128772635814889,1990_1992,Spectrum
24,split3_test_score,0.8370221327967807,1990_1992,Spectrum
25,split0_test_score,0.8378016085790885,1990_1992,Spectrum
25,split1_test_score,0.8323272971160295,1990_1992,Spectrum
25,split2_test_score,0.824279007377599,1990_1992,Spectrum
25,split3_test_score,0.8437290409121395,1990_1992,Spectrum
26,split0_test_score,0.8424932975871313,1990_1992,Spectrum
26,split1_test_score,0.8390342052313883,1990_1992,Spectrum
26,split2_test_score,0.8189134808853119,1990_1992,Spectrum
26,split3_test_score,0.8417169684775319,1990_1992,Spectrum
27,split0_test_score,0.8424932975871313,1990_1992,Spectrum
27,split1_test_score,0.8417169684775319,1990_1992,Spectrum
27,split2_test_score,0.824279007377599,1990_1992,Spectrum
27,split3_test_score,0.8376928236083165,1990_1992,Spectrum
28,split0_test_score,0.8337801608579088,1990_1992,Spectrum
28,split1_test_score,0.8390342052313883,1990_1992,Spectrum
28,split2_test_score,0.823608316566063,1990_1992,Spectrum
28,split3_test_score,0.8484238765928906,1990_1992,Spectrum
29,split0_test_score,0.8337801608579088,1990_1992,Spectrum
29,split1_test_score,0.8403755868544601,1990_1992,Spectrum
29,split2_test_score,0.8262910798122066,1990_1992,Spectrum
29,split3_test_score,0.8470824949698189,1990_1992,Spectrum
30,split0_test_score,0.8310991957104558,1990_1992,Spectrum
30,split1_test_score,0.8443997317236754,1990_1992,Spectrum
30,split2_test_score,0.8256203890006707,1990_1992,Spectrum
30,split3_test_score,0.8497652582159625,1990_1992,Spectrum
31,split0_test_score,0.8310991957104558,1990_1992,Spectrum
31,split1_test_score,0.8437290409121395,1990_1992,Spectrum
31,split2_test_score,0.8276324614352784,1990_1992,Spectrum
31,split3_test_score,0.8430583501006036,1990_1992,Spectrum
32,split0_test_score,0.8337801608579088,1990_1992,Spectrum
32,split1_test_score,0.8423876592890678,1990_1992,Spectrum
32,split2_test_score,0.8222669349429913,1990_1992,Spectrum
32,split3_test_score,0.8430583501006036,1990_1992,Spectrum
33,split0_test_score,0.8310991957104558,1990_1992,Spectrum
33,split1_test_score,0.8417169684775319,1990_1992,Spectrum
33,split2_test_score,0.8195841716968477,1990_1992,Spectrum
33,split3_test_score,0.8383635144198525,1990_1992,Spectrum
34,split0_test_score,0.8351206434316354,1990_1992,Spectrum
34,split1_test_score,0.8537894030851777,1990_1992,Spectrum
34,split2_test_score,0.8195841716968477,1990_1992,Spectrum
34,split3_test_score,0.8437290409121395,1990_1992,Spectrum
35,split0_test_score,0.8297587131367292,1990_1992,Spectrum
35,split1_test_score,0.8497652582159625,1990_1992,Spectrum
35,split2_test_score,0.8202548625083836,1990_1992,Spectrum
35,split3_test_score,0.8383635144198525,1990_1992,Spectrum
36,split0_test_score,0.8357908847184986,1990_1992,Spectrum
36,split1_test_score,0.8450704225352113,1990_1992,Spectrum
36,split2_test_score,0.8289738430583501,1990_1992,Spectrum
36,split3_test_score,0.8356807511737089,1990_1992,Spectrum
37,split0_test_score,0.8384718498659517,1990_1992,Spectrum
37,split1_test_score,0.8397048960429242,1990_1992,Spectrum
37,split2_test_score,0.8215962441314554,1990_1992,Spectrum
37,split3_test_score,0.852448021462106,1990_1992,Spectrum
38,split0_test_score,0.8357908847184986,1990_1992,Spectrum
38,split1_test_score,0.8417169684775319,1990_1992,Spectrum
38,split2_test_score,0.8256203890006707,1990_1992,Spectrum
38,split3_test_score,0.8423876592890678,1990_1992,Spectrum
39,split0_test_score,0.8404825737265416,1990_1992,Spectrum
39,split1_test_score,0.8417169684775319,1990_1992,Spectrum
39,split2_test_score,0.8329979879275654,1990_1992,Spectrum
39,split3_test_score,0.846411804158283,1990_1992,Spectrum
40,split0_test_score,0.8404825737265416,1990_1992,Spectrum
40,split1_test_score,0.8443997317236754,1990_1992,Spectrum
40,split2_test_score,0.8309859154929577,1990_1992,Spectrum
40,split3_test_score,0.8551307847082495,1990_1992,Spectrum
41,split0_test_score,0.8310991957104558,1990_1992,Spectrum
41,split1_test_score,0.8423876592890678,1990_1992,Spectrum
41,split2_test_score,0.824279007377599,1990_1992,Spectrum
41,split3_test_score,0.8484238765928906,1990_1992,Spectrum
42,split0_test_score,0.8331099195710456,1990_1992,Spectrum
42,split1_test_score,0.846411804158283,1990_1992,Spectrum
42,split2_test_score,0.8256203890006707,1990_1992,Spectrum
42,split3_test_score,0.8504359490274983,1990_1992,Spectrum
43,split0_test_score,0.8411528150134048,1990_1992,Spectrum
43,split1_test_score,0.8417169684775319,1990_1992,Spectrum
43,split2_test_score,0.8269617706237424,1990_1992,Spectrum
43,split3_test_score,0.8410462776659959,1990_1992,Spectrum
44,split0_test_score,0.8351206434316354,1990_1992,Spectrum
44,split1_test_score,0.8537894030851777,1990_1992,Spectrum
44,split2_test_score,0.8256203890006707,1990_1992,Spectrum
44,split3_test_score,0.8437290409121395,1990_1992,Spectrum
45,split0_test_score,0.8411528150134048,1990_1992,Spectrum
45,split1_test_score,0.8403755868544601,1990_1992,Spectrum
45,split2_test_score,0.8316566063044937,1990_1992,Spectrum
45,split3_test_score,0.8397048960429242,1990_1992,Spectrum
46,split0_test_score,0.839142091152815,1990_1992,Spectrum
46,split1_test_score,0.8410462776659959,1990_1992,Spectrum
46,split2_test_score,0.8256203890006707,1990_1992,Spectrum
46,split3_test_score,0.8457411133467472,1990_1992,Spectrum
47,split0_test_score,0.8304289544235925,1990_1992,Spectrum
47,split1_test_score,0.8417169684775319,1990_1992,Spectrum
47,split2_test_score,0.8303152246814218,1990_1992,Spectrum
47,split3_test_score,0.8450704225352113,1990_1992,Spectrum
48,split0_test_score,0.8344504021447721,1990_1992,Spectrum
48,split1_test_score,0.8423876592890678,1990_1992,Spectrum
48,split2_test_score,0.8316566063044937,1990_1992,Spectrum
48,split3_test_score,0.8470824949698189,1990_1992,Spectrum
49,split0_test_score,0.8384718498659517,1990_1992,Spectrum
49,split1_test_score,0.8443997317236754,1990_1992,Spectrum
49,split2_test_score,0.8343393695506371,1990_1992,Spectrum
49,split3_test_score,0.8390342052313883,1990_1992,Spectrum
50,split0_test_score,0.8384718498659517,1990_1992,Spectrum
50,split1_test_score,0.8443997317236754,1990_1992,Spectrum
50,split2_test_score,0.8323272971160295,1990_1992,Spectrum
50,split3_test_score,0.8504359490274983,1990_1992,Spectrum
51,split0_test_score,0.8351206434316354,1990_1992,Spectrum
51,split1_test_score,0.8450704225352113,1990_1992,Spectrum
51,split2_test_score,0.8222669349429913,1990_1992,Spectrum
51,split3_test_score,0.8457411133467472,1990_1992,Spectrum
52,split0_test_score,0.8371313672922251,1990_1992,Spectrum
